date;lme_price;lme_volume;lme_change
26.10.2023;2.197,50;43,57K;-0,97%
25.10.2023;2.219,00;47,39K;1,28%
24.10.2023;2.191,00;44,21K;0,69%
23.10.2023;2.176,00;31,71K;-0,25%
20.10.2023;2.181,50;27,91K;-0,16%
19.10.2023;2.185,00;36,40K;0,14%
18.10.2023;2.182,00;34,32K;0,23%
17.10.2023;2.177,00;70,35K;-0,16%
16.10.2023;2.180,50;43,47K;-0,86%
13.10.2023;2.199,50;40,02K;-0,02%
12.10.2023;2.200,00;48,57K;-0,63%
11.10.2023;2.214,00;32,77K;0,07%
10.10.2023;2.212,50;45,59K;-1,29%
09.10.2023;2.241,50;45,56K;0,09%
06.10.2023;2.239,50;42,62K;0,34%
05.10.2023;2.232,00;41,33K;-0,65%
04.10.2023;2.246,50;69,01K;-1,90%
03.10.2023;2.290,00;62,87K;-1,34%
02.10.2023;2.321,00;70,93K;-1,11%
29.09.2023;2.347,00;95,45K;3,05%
28.09.2023;2.277,50;70,49K;1,76%
27.09.2023;2.238,00;48,75K;-0,25%
26.09.2023;2.243,50;37,48K;0,45%
25.09.2023;2.233,50;40,26K;-0,31%
22.09.2023;2.240,50;54,99K;1,29%
21.09.2023;2.212,00;50,99K;-1,95%
20.09.2023;2.256,00;89,15K;1,83%
19.09.2023;2.215,50;39,69K;-0,20%
18.09.2023;2.220,00;57,00K;1,37%
15.09.2023;2.190,00;52,60K;-1,55%
14.09.2023;2.224,50;46,05K;0,32%
13.09.2023;2.217,50;45,41K;0,96%
12.09.2023;2.196,50;30,50K;-0,41%
11.09.2023;2.205,50;40,69K;1,01%
08.09.2023;2.183,50;41,26K;-0,57%
07.09.2023;2.196,00;42,47K;0,11%
06.09.2023;2.193,50;45,70K;0,02%
05.09.2023;2.193,00;38,79K;-0,88%
04.09.2023;2.212,50;34,40K;-1,10%
01.09.2023;2.237,00;77,49K;1,31%
31.08.2023;2.208,00;72,07K;0,30%
30.08.2023;2.201,50;57,95K;1,52%
29.08.2023;2.168,50;44,75K;0,84%
25.08.2023;2.150,50;38,07K;-0,32%
24.08.2023;2.157,50;36,01K;-1,01%
23.08.2023;2.179,50;34,33K;0,11%
22.08.2023;2.177,00;72,87K;1,54%
21.08.2023;2.144,00;50,07K;0,33%
18.08.2023;2.137,00;40,27K;-0,40%
17.08.2023;2.145,50;50,26K;0,12%
16.08.2023;2.143,00;39,48K;0,02%
15.08.2023;2.142,50;64,02K;-0,16%
14.08.2023;2.146,00;39,95K;-1,36%
11.08.2023;2.175,50;39,06K;-1,29%
10.08.2023;2.204,00;40,19K;0,41%
09.08.2023;2.195,00;38,00K;-0,25%
08.08.2023;2.200,50;108,55K;-1,32%
07.08.2023;2.230,00;24,38K;-0,11%
04.08.2023;2.232,50;39,68K;0,11%
03.08.2023;2.230,00;49,07K;0,95%
02.08.2023;2.209,00;54,76K;-2,06%
01.08.2023;2.255,50;54,10K;-1,18%
31.07.2023;2.282,50;60,80K;2,72%
28.07.2023;2.222,00;40,18K;0,77%
27.07.2023;2.205,00;39,96K;-0,36%
26.07.2023;2.213,00;39,26K;-1,21%
25.07.2023;2.240,00;48,35K;1,40%
24.07.2023;2.209,00;30,52K;0,20%
21.07.2023;2.204,50;30,01K;0,16%
20.07.2023;2.201,00;41,30K;0,48%
19.07.2023;2.190,50;49,97K;-0,59%
18.07.2023;2.203,50;53,98K;-2,28%
17.07.2023;2.255,00;39,24K;-0,94%
14.07.2023;2.276,50;52,99K;-0,07%
13.07.2023;2.278,00;78,30K;1,88%
12.07.2023;2.236,00;77,01K;3,11%
11.07.2023;2.168,50;47,22K;1,00%
10.07.2023;2.147,00;37,17K;0,07%
