date;australia_pmi
31.10.2023;48
30.09.2023;48,7
31.08.2023;49,6
31.07.2023;49,6
30.06.2023;48,2
31.05.2023;48,4
30.04.2023;48
31.03.2023;49,1
28.02.2023;50,5
31.01.2023;50
31.12.2022;50,2
30.11.2022;51,3
31.10.2022;52,7
30.09.2022;53,5
31.08.2022;53,8
31.07.2022;55,7
30.06.2022;56,2
31.05.2022;55,7
30.04.2022;58,8
31.03.2022;57,7
28.02.2022;57
31.01.2022;55,1
31.12.2021;57,7
30.11.2021;59,2
31.10.2021;58,2
30.09.2021;56,8
31.08.2021;52
31.07.2021;56,9
30.06.2021;58,6
31.05.2021;60,4
30.04.2021;59,7
31.03.2021;56,8
28.02.2021;56,9
31.01.2021;57,2
31.12.2020;55,7
30.11.2020;55,8
31.10.2020;54,2
30.09.2020;55,4
31.08.2020;53,6
31.07.2020;54
30.06.2020;51,2
31.05.2020;44
30.04.2020;44,1
31.03.2020;49,7
29.02.2020;50,2
31.01.2020;49,6
31.12.2019;49,2
30.11.2019;49,9
31.10.2019;50
30.09.2019;50,3
31.08.2019;50,9
31.07.2019;51,6
30.06.2019;52
31.05.2019;51
30.04.2019;50,9
31.03.2019;52
28.02.2019;52,9
31.01.2019;53,9
31.12.2018;54
30.11.2018;54,6
31.10.2018;54,5
30.09.2018;54
31.08.2018;53,2
31.07.2018;52,4
30.06.2018;55
31.05.2018;53,2
30.04.2018;55,5
31.03.2018;54,3
28.02.2018;55,6
31.01.2018;55,4
31.12.2017;57,1
