Date,Value,Prev_value
30.09.2023,"5,4",6
30.06.2023,6,7
31.03.2023,7,"7,8"
31.12.2022,"7,8","7,3"
30.09.2022,"7,3","6,1"
30.06.2022,"6,1","5,1"
31.03.2022,"5,1","3,5"
31.12.2021,"3,5",3
30.09.2021,3,"3,8"
30.06.2021,"3,8","1,1"
31.03.2021,"1,1","0,9"
31.12.2020,"0,9","0,7"
30.09.2020,"0,7","-0,3"
30.06.2020,"-0,3","2,2"
31.03.2020,"2,2","1,8"
31.12.2019,"1,8","1,7"
30.09.2019,"1,7","1,6"
30.06.2019,"1,6","1,3"
31.03.2019,"1,3","1,8"
31.12.2018,"1,8","1,9"
30.09.2018,"1,9","2,1"
30.06.2018,"2,1","1,9"
31.03.2018,"1,9","1,9"
31.12.2017,"1,9",
