Date,Value,Prev_value
30.06.2023,-3392,2625
31.03.2023,2625,1979
31.12.2022,1979,4688
30.09.2022,4688,1821
30.06.2022,1821,6570
31.03.2022,6570,1242
31.12.2021,1242,-2543
30.09.2021,-2543,2960
30.06.2021,2960,2647
31.03.2021,2647,-319
31.12.2020,-319,1211
30.09.2020,1211,-3488
30.06.2020,-3488,-734
31.03.2020,-734,-1110
31.12.2019,-1110,-564
30.09.2019,-564,-1744
30.06.2019,-1744,548
31.03.2019,548,273
31.12.2018,273,98
30.09.2018,98,1921
30.06.2018,1921,563
31.03.2018,563,534
31.12.2017,534,
