"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","160.58","163.99","164.64","160.08","","-1.73%"
"05/30/2024","163.40","166.38","166.64","162.59","","-2.20%"
"05/29/2024","167.08","167.61","169.11","166.06","","-0.15%"
"05/28/2024","167.34","166.22","168.12","165.76","","1.86%"
"05/24/2024","164.28","163.85","165.43","163.59","","0.19%"
"05/23/2024","163.98","164.30","165.28","162.28","","-0.81%"
"05/22/2024","165.32","171.87","172.27","164.92","","-3.92%"
"05/21/2024","172.06","169.92","173.68","168.25","","0.96%"
"05/20/2024","170.42","170.12","170.97","168.46","","1.31%"
"05/17/2024","168.22","163.83","168.43","163.24","","3.02%"
"05/16/2024","163.29","164.80","165.77","161.98","","-0.24%"
"05/15/2024","163.68","163.38","166.21","160.93","","0.93%"
"05/14/2024","162.17","160.59","163.74","160.09","","0.99%"
"05/13/2024","160.58","157.28","160.60","157.24","","1.59%"
"05/10/2024","158.06","158.17","160.38","157.51","","0.31%"
"05/09/2024","157.57","156.57","157.59","155.66","","0.63%"
"05/08/2024","156.58","156.79","157.50","155.20","","-1.36%"
"05/07/2024","158.75","158.77","159.17","157.20","","0.44%"
"05/06/2024","158.05","157.79","158.33","157.72","","0.46%"
"05/03/2024","157.33","155.75","157.64","155.12","","1.50%"
"05/02/2024","155.00","157.28","157.83","154.35","","-1.21%"
"05/01/2024","156.90","157.29","158.16","155.64","","-0.97%"
"04/30/2024","158.43","160.57","160.59","156.97","","-0.90%"
"04/29/2024","159.87","157.76","159.87","157.47","","1.63%"
"04/26/2024","157.30","157.67","159.32","156.62","","0.26%"
"04/25/2024","156.89","155.51","158.45","155.08","","0.43%"
"04/24/2024","156.21","155.21","157.27","155.11","","0.50%"
"04/23/2024","155.44","156.79","157.33","154.03","","-2.13%"
"04/22/2024","158.82","159.73","159.88","157.50","","0.00%"
"04/19/2024","158.81","157.06","159.51","155.73","","2.06%"
"04/18/2024","155.61","152.77","155.87","152.63","","1.36%"
"04/17/2024","153.52","151.38","154.12","150.94","","1.41%"
"04/16/2024","151.39","152.02","152.43","150.30","","-0.74%"
"04/15/2024","152.51","153.28","154.23","150.79","","1.31%"
"04/12/2024","150.54","150.13","152.50","149.72","","0.98%"
"04/11/2024","149.08","150.25","151.12","148.08","","-0.68%"
"04/10/2024","150.10","150.40","152.43","148.48","","0.21%"
"04/09/2024","149.79","148.26","150.51","147.79","","0.67%"
"04/08/2024","148.79","146.74","149.40","146.49","","0.58%"
"04/05/2024","147.93","145.78","147.96","145.77","","0.01%"
"04/04/2024","147.90","146.48","147.92","145.83","","1.74%"
"04/03/2024","145.37","141.89","145.64","141.04","","2.54%"
"04/02/2024","141.77","140.61","142.66","140.34","","1.07%"
"04/01/2024","140.27","140.24","140.63","139.98","","0.37%"
"03/28/2024","139.75","138.44","139.83","138.39","","0.86%"
"03/27/2024","138.56","138.44","138.71","137.62","","-0.24%"
"03/26/2024","138.89","140.20","140.32","138.74","","-1.04%"
"03/25/2024","140.35","140.72","141.30","140.01","","-0.04%"
"03/22/2024","140.41","140.87","141.05","140.02","","-0.93%"
"03/21/2024","141.72","142.75","143.14","141.27","","0.50%"
"03/20/2024","141.02","141.34","141.69","140.54","","-0.11%"
"03/19/2024","141.17","142.72","142.96","140.92","","-1.21%"
"03/18/2024","142.91","143.67","144.18","142.75","","-0.43%"
"03/15/2024","143.53","142.45","144.30","142.45","","0.93%"
"03/14/2024","142.20","143.51","143.53","141.51","","-0.75%"
"03/13/2024","143.27","141.25","143.49","141.18","","1.05%"
"03/12/2024","141.79","141.04","142.06","140.45","","0.26%"
"03/11/2024","141.41","139.60","141.56","139.27","","1.18%"
"03/08/2024","139.76","140.02","141.41","139.29","","-0.49%"
"03/07/2024","140.45","138.64","140.65","138.52","","1.30%"
"03/06/2024","138.64","137.50","138.99","137.41","","0.58%"
"03/05/2024","137.84","137.73","138.61","137.45","","-0.34%"
"03/04/2024","138.30","137.45","138.62","137.05","","0.33%"
"03/01/2024","137.85","137.83","138.11","136.28","","-0.04%"
"02/29/2024","137.91","137.25","138.04","137.02","","0.81%"
"02/28/2024","136.80","136.64","136.87","135.66","","-0.03%"
"02/27/2024","136.84","136.76","137.34","136.46","","0.54%"
"02/26/2024","136.11","136.78","137.04","136.02","","-0.87%"
"02/23/2024","137.30","137.65","137.86","136.32","","-0.10%"
"02/22/2024","137.44","134.45","137.72","134.23","","0.44%"
"02/21/2024","136.84","134.45","137.50","134.23","","1.22%"
"02/20/2024","135.20","134.45","135.53","134.23","","-0.21%"
"02/16/2024","135.48","132.05","135.72","131.72","","1.03%"
"02/15/2024","134.11","132.05","134.75","131.72","","0.63%"
"02/14/2024","133.26","132.05","134.08","131.72","","0.14%"
"02/13/2024","133.07","132.05","134.08","131.72","","-0.04%"
"02/12/2024","133.12","132.05","133.13","131.72","","0.72%"
"02/09/2024","132.17","133.17","133.20","131.83","","-0.60%"
"02/08/2024","132.96","136.12","136.64","132.65","","-0.98%"
"02/07/2024","134.28","136.12","136.64","134.23","","-0.65%"
"02/06/2024","135.17","136.12","136.64","134.64","","0.27%"
"02/05/2024","134.80","136.12","136.64","134.64","","-1.33%"
"02/02/2024","136.61","138.90","140.52","136.47","","-0.65%"
"02/01/2024","137.50","138.90","140.52","137.33","","-1.27%"
"01/31/2024","139.27","138.90","140.52","138.27","","-0.54%"
"01/30/2024","140.02","138.90","140.03","138.27","","0.55%"
"01/29/2024","139.25","138.90","139.35","138.27","","-0.41%"
"01/26/2024","139.82","138.44","140.51","138.32","","0.36%"
"01/25/2024","139.32","138.44","139.92","138.32","","-0.08%"
"01/24/2024","139.43","137.47","139.54","137.37","","1.64%"
"01/23/2024","137.18","134.83","137.55","134.66","","2.03%"
"01/22/2024","134.45","135.19","135.20","134.01","","-0.34%"
"01/19/2024","134.91","134.90","135.56","134.38","","0.39%"
"01/18/2024","134.38","134.24","135.16","133.62","","0.06%"
"01/17/2024","134.29","135.95","135.99","134.19","","-1.43%"
"01/16/2024","136.24","136.15","136.72","135.70","","0.18%"
"01/12/2024","136.00","137.37","137.59","135.98","","-0.55%"
"01/11/2024","136.75","137.31","138.03","136.61","","0.05%"
"01/10/2024","136.68","136.65","137.32","136.15","","0.15%"
"01/09/2024","136.48","137.59","137.86","136.42","","-0.42%"
"01/08/2024","137.05","137.97","138.22","136.74","","-0.95%"
"01/05/2024","138.36","138.74","139.58","137.33","","0.03%"
"01/04/2024","138.33","139.38","139.98","137.77","","-1.14%"
"01/03/2024","139.93","140.98","140.98","139.08","","-0.88%"
"01/02/2024","141.17","142.10","143.04","140.50","","-1.04%"
"12/29/2023","142.65","142.96","143.21","142.20","","-0.27%"
"12/28/2023","143.03","143.85","144.12","142.55","","-0.58%"
"12/27/2023","143.86","141.41","144.05","141.18","","1.89%"
"12/26/2023","141.19","141.49","141.72","141.16","","-0.03%"
"12/22/2023","141.23","140.72","141.99","140.07","","1.01%"
"12/21/2023","139.81","139.44","140.46","138.88","","-0.02%"
"12/20/2023","139.84","140.27","141.17","139.43","","-0.11%"
"12/19/2023","140.00","138.74","140.64","138.50","","0.64%"
"12/18/2023","139.10","138.99","139.98","138.88","","-0.42%"
"12/15/2023","139.68","138.50","140.64","138.10","","0.83%"
"12/14/2023","138.53","136.37","139.04","136.11","","2.89%"
"12/13/2023","134.64","134.05","134.78","133.34","","0.16%"
"12/12/2023","134.42","134.85","135.51","134.13","","0.16%"
"12/11/2023","134.21","134.50","135.32","133.83","","-0.76%"
"12/08/2023","135.23","135.46","136.59","135.04","","0.49%"
"12/07/2023","134.56","134.63","135.03","134.13","","0.39%"
"12/06/2023","134.05","136.22","136.45","134.02","","-0.65%"
"12/05/2023","134.92","136.51","136.63","134.69","","-1.51%"
"12/04/2023","136.99","139.00","139.00","136.89","","-2.02%"
"12/01/2023","139.81","137.89","139.83","137.31","","1.52%"
"11/30/2023","137.71","138.78","138.79","137.09","","-0.57%"
"11/29/2023","138.51","139.13","139.31","138.38","","-0.22%"
"11/28/2023","138.81","137.63","139.10","137.40","","0.91%"
"11/27/2023","137.55","138.39","138.78","137.32","","-0.71%"
"11/24/2023","138.54","138.69","139.18","138.01","","0.30%"
"11/22/2023","138.13","139.62","139.77","137.92","","-1.78%"
"11/21/2023","140.63","140.80","140.82","139.53","","0.16%"
"11/20/2023","140.41","139.81","140.45","139.03","","1.18%"
"11/17/2023","138.77","138.55","138.97","137.65","","0.01%"
"11/16/2023","138.76","139.42","139.84","138.47","","-1.12%"
"11/15/2023","140.32","139.24","140.50","138.98","","0.80%"
"11/14/2023","139.21","138.11","139.87","137.55","","0.78%"
"11/13/2023","138.13","137.08","138.15","136.94","","0.80%"
"11/10/2023","137.04","138.71","138.89","136.85","","-1.57%"
"11/09/2023","139.22","139.52","139.84","138.50","","-0.49%"
"11/08/2023","139.89","140.18","141.07","139.75","","0.02%"
"11/07/2023","139.87","140.47","140.53","139.02","","-1.04%"
"11/06/2023","141.34","139.66","141.37","139.55","","1.27%"
"11/03/2023","139.57","138.72","139.68","137.96","","1.05%"
"11/02/2023","138.12","138.81","139.28","137.96","","-0.05%"
"11/01/2023","138.18","137.53","139.57","137.12","","0.25%"
"10/31/2023","137.84","138.38","139.05","137.55","","-0.90%"
"10/30/2023","139.09","138.44","140.01","138.15","","0.73%"
"10/27/2023","138.09","135.99","138.21","135.99","","1.45%"
"10/26/2023","136.11","136.79","137.34","136.02","","-0.81%"
"10/25/2023","137.23","137.97","137.97","136.79","","0.26%"
"10/24/2023","136.87","135.73","137.08","134.95","","0.81%"
"10/23/2023","135.77","135.51","136.11","134.74","","-0.29%"
"10/20/2023","136.16","136.42","136.63","135.02","","-0.19%"
"10/19/2023","136.42","136.18","136.87","135.82","","-0.09%"
"10/18/2023","136.55","136.62","137.54","136.29","","0.40%"
"10/17/2023","136.00","135.82","136.38","134.73","","-0.24%"
"10/16/2023","136.32","136.95","137.26","136.20","","0.00%"
"10/13/2023","136.32","136.55","137.39","136.04","","-0.40%"
"10/12/2023","136.87","137.81","138.51","136.63","","-0.45%"
"10/11/2023","137.49","138.39","138.87","137.37","","-0.42%"
"10/10/2023","138.06","139.81","139.94","137.59","","-1.06%"
"10/09/2023","139.54","140.00","140.10","138.88","","0.44%"
"10/06/2023","138.94","137.67","139.29","137.26","","1.13%"
"10/05/2023","137.38","138.65","138.91","137.29","","-0.79%"
"10/04/2023","138.47","139.37","140.10","137.58","","-0.97%"
"10/03/2023","139.83","141.27","141.27","139.71","","-1.43%"
"10/02/2023","141.85","144.31","145.42","141.66","","-1.74%"
"09/29/2023","144.37","143.03","145.54","143.02","","1.25%"
"09/28/2023","142.59","139.83","143.35","139.20","","2.28%"
"09/27/2023","139.42","139.89","139.95","138.77","","-0.44%"
"09/26/2023","140.03","141.14","141.23","139.70","","-0.35%"
"09/25/2023","140.53","141.04","141.44","139.90","","-0.89%"
"09/22/2023","141.79","140.95","142.35","140.95","","1.02%"
"09/21/2023","140.37","141.94","142.12","139.03","","-1.96%"
"09/20/2023","143.17","142.50","143.62","141.83","","0.90%"
"09/19/2023","141.89","142.28","142.55","141.05","","-0.70%"
"09/18/2023","142.89","142.36","143.52","142.20","","0.23%"
"09/15/2023","142.57","144.02","144.96","142.39","","-1.21%"
"09/14/2023","144.31","142.96","145.01","142.62","","0.90%"
"09/13/2023","143.02","142.15","143.34","141.50","","0.68%"
"09/12/2023","142.05","143.04","143.54","141.76","","-0.96%"
"09/11/2023","143.43","141.18","143.46","141.12","","1.92%"
"09/08/2023","140.73","141.53","141.79","140.12","","-1.13%"
"09/07/2023","142.34","142.61","142.64","141.34","","-0.15%"
"09/06/2023","142.56","143.50","144.08","142.31","","-0.97%"
"09/05/2023","143.96","143.59","144.21","142.59","","-0.77%"
"09/01/2023","145.08","144.33","146.14","144.18","","1.64%"
"08/31/2023","142.74","143.03","143.43","142.25","","-0.29%"
"08/30/2023","143.14","142.65","143.72","142.07","","0.36%"
"08/29/2023","142.63","141.13","142.95","141.13","","1.02%"
"08/28/2023","141.19","141.34","141.44","141.03","","0.08%"
"08/25/2023","141.08","141.67","142.76","140.93","","-0.33%"
"08/24/2023","141.55","141.84","142.40","141.00","","-0.62%"
"08/23/2023","142.43","141.26","142.58","141.06","","1.16%"
"08/22/2023","140.79","139.61","141.44","139.44","","1.09%"
"08/21/2023","139.28","139.02","139.54","137.93","","0.35%"
"08/18/2023","138.80","139.35","139.54","138.14","","-0.07%"
"08/17/2023","138.90","137.54","140.03","137.16","","0.87%"
"08/16/2023","137.70","138.08","138.76","137.49","","-0.28%"
"08/15/2023","138.10","140.00","140.65","137.72","","-0.92%"
"08/14/2023","139.39","140.57","140.65","138.80","","-0.87%"
"08/11/2023","140.62","142.51","142.51","140.19","","-1.36%"
"08/10/2023","142.56","143.00","143.86","142.34","","-0.24%"
"08/09/2023","142.90","143.47","144.42","142.73","","0.03%"
"08/08/2023","142.86","144.42","145.08","141.80","","-1.49%"
"08/07/2023","145.02","145.47","146.34","144.86","","-0.57%"
"08/04/2023","145.85","147.33","147.44","144.57","","-0.41%"
"08/03/2023","146.45","145.78","146.48","144.39","","0.83%"
"08/02/2023","145.24","148.64","148.65","144.93","","-2.28%"
"08/01/2023","148.64","150.06","150.53","148.29","","-1.20%"
"07/31/2023","150.45","148.08","150.58","146.98","","1.87%"
"07/28/2023","147.69","145.43","147.77","145.07","","1.43%"
"07/27/2023","145.60","147.43","148.18","145.08","","-0.39%"
"07/26/2023","146.18","147.26","147.61","146.04","","-1.23%"
"07/25/2023","148.00","145.24","148.24","145.06","","2.11%"
"07/24/2023","144.94","143.91","145.02","142.24","","1.24%"
"07/21/2023","143.16","144.23","145.00","143.00","","-0.42%"
"07/20/2023","143.77","143.81","145.34","143.38","","0.83%"
"07/19/2023","142.59","143.53","143.57","141.96","","-0.69%"
"07/18/2023","143.59","144.97","145.18","142.95","","-0.86%"
"07/17/2023","144.84","146.06","146.44","143.59","","-1.73%"
"07/14/2023","147.39","147.38","147.88","146.26","","-0.14%"
"07/13/2023","147.60","145.17","148.02","144.77","","1.51%"
"07/12/2023","145.40","141.98","145.50","141.47","","2.97%"
"07/11/2023","141.21","141.90","143.11","140.93","","-0.12%"
"07/10/2023","141.38","141.21","141.87","140.35","","0.09%"
"07/07/2023","141.25","141.29","141.57","140.09","","0.35%"
"07/06/2023","140.76","141.89","142.18","140.28","","-0.52%"
"07/05/2023","141.50","141.70","142.09","140.01","","-0.12%"
"07/03/2023","141.67","142.01","142.33","140.65","","0.22%"
"06/30/2023","141.35","140.57","141.81","139.67","","0.85%"
"06/29/2023","140.16","140.89","140.93","139.04","","-0.31%"
"06/28/2023","140.59","142.35","142.96","140.06","","-1.56%"
"06/27/2023","142.82","142.37","143.33","142.08","","1.27%"
"06/26/2023","141.04","143.72","143.94","140.93","","-1.56%"
"06/23/2023","143.27","145.13","145.16","142.62","","-1.75%"
"06/22/2023","145.82","146.41","147.92","145.50","","-0.15%"
"06/21/2023","146.04","146.52","146.84","144.50","","0.00%"
"06/20/2023","146.04","146.51","147.19","145.69","","-1.99%"
"06/16/2023","149.00","148.79","150.38","148.56","","0.26%"
"06/15/2023","148.61","146.00","148.64","145.77","","0.39%"
"06/14/2023","148.03","145.86","148.23","145.34","","1.93%"
"06/13/2023","145.23","142.70","145.48","142.48","","1.86%"
"06/12/2023","142.58","143.61","143.92","142.30","","-1.47%"
"06/09/2023","144.71","144.27","146.02","144.07","","0.18%"
"06/08/2023","144.45","143.11","145.08","142.54","","0.64%"
"06/07/2023","143.54","143.13","144.43","141.96","","0.92%"
"06/06/2023","142.23","141.81","143.00","141.49","","-0.15%"
"06/05/2023","142.45","142.14","142.99","140.98","","-0.34%"
"06/02/2023","142.94","143.05","145.58","142.69","","0.06%"
"06/01/2023","142.86","141.60","143.14","141.37","","1.78%"
"05/31/2023","140.35","140.75","140.93","139.44","","-0.74%"
"05/30/2023","141.40","142.81","142.92","140.58","","-0.75%"
"05/26/2023","142.48","139.99","143.35","139.98","","1.42%"
"05/25/2023","140.48","139.78","141.33","138.85","","0.79%"
"05/24/2023","139.38","140.50","141.39","139.06","","-1.82%"
"05/23/2023","141.97","144.06","144.12","141.31","","-1.50%"
"05/22/2023","144.13","144.56","144.86","143.50","","-0.98%"
"05/19/2023","145.56","143.68","146.97","143.63","","0.91%"
"05/18/2023","144.26","145.99","146.62","143.70","","-1.45%"
"05/17/2023","146.38","144.11","147.26","143.75","","1.71%"
"05/16/2023","143.92","146.64","146.64","143.79","","-1.46%"
"05/15/2023","146.05","145.74","147.91","145.17","","0.02%"
"05/12/2023","146.02","145.08","146.96","144.76","","0.65%"
"05/11/2023","145.07","148.90","149.83","144.65","","-2.96%"
"05/10/2023","149.50","152.54","152.80","149.36","","-2.14%"
"05/09/2023","152.76","152.87","153.94","152.31","","-0.92%"
"05/08/2023","154.19","153.67","154.59","153.67","","0.41%"
"05/05/2023","153.56","151.83","153.77","151.10","","1.35%"
"05/04/2023","151.52","153.93","154.36","151.05","","-0.87%"
"05/03/2023","152.86","153.64","154.40","152.82","","-0.85%"
"05/02/2023","154.16","154.77","155.00","153.04","","-0.21%"
"05/01/2023","154.49","153.68","155.44","153.64","","0.38%"
"04/28/2023","153.90","153.51","154.32","151.92","","0.90%"
"04/27/2023","152.53","151.50","152.93","150.61","","0.22%"
"04/26/2023","152.19","152.86","153.24","151.83","","0.35%"
"04/25/2023","151.67","155.98","155.98","151.67","","-2.72%"
"04/24/2023","155.91","156.29","157.09","155.14","","-0.69%"
"04/21/2023","156.98","159.00","159.11","156.49","","-1.32%"
"04/20/2023","159.09","160.36","161.17","158.98","","-1.08%"
"04/19/2023","160.82","160.74","161.69","158.06","","-0.53%"
"04/18/2023","161.69","159.38","161.89","158.69","","1.80%"
"04/17/2023","158.83","159.46","160.35","158.36","","-0.34%"
"04/14/2023","159.37","159.67","161.80","158.61","","0.54%"
"04/13/2023","158.52","156.25","158.98","155.87","","1.28%"
"04/12/2023","156.52","155.12","156.54","153.55","","1.17%"
"04/11/2023","154.70","154.31","155.69","154.19","","0.23%"
"04/10/2023","154.34","154.80","155.19","154.17","","-0.34%"
"04/06/2023","154.87","155.60","155.87","154.24","","0.21%"
"04/05/2023","154.54","155.67","156.03","154.04","","-0.84%"
"04/04/2023","155.85","157.35","158.63","155.58","","-1.54%"
"04/03/2023","158.29","159.09","160.38","158.04","","-1.06%"
"03/31/2023","159.99","159.40","160.06","156.89","","0.59%"
"03/30/2023","159.04","159.00","160.87","158.69","","-0.49%"
"03/29/2023","159.83","159.60","162.06","158.53","","-0.09%"
"03/28/2023","159.98","159.55","160.26","158.38","","0.65%"
"03/27/2023","158.94","157.58","159.05","156.51","","0.70%"
"03/24/2023","157.83","157.12","159.07","156.82","","0.23%"
"03/23/2023","157.46","155.40","157.83","155.20","","1.47%"
"03/22/2023","155.18","154.25","155.76","153.59","","0.73%"
"03/21/2023","154.06","154.26","155.75","153.42","","-0.11%"
"03/20/2023","154.22","154.93","155.28","152.70","","0.13%"
"03/17/2023","154.02","154.98","155.80","153.47","","0.74%"
"03/16/2023","152.89","153.39","154.27","151.77","","0.17%"
"03/15/2023","152.63","157.09","157.27","152.38","","-2.61%"
"03/14/2023","156.73","156.69","157.85","156.10","","-0.48%"
"03/13/2023","157.49","155.69","158.45","153.76","","0.77%"
"03/10/2023","156.28","156.36","157.49","154.79","","-0.88%"
"03/09/2023","157.67","158.43","158.53","157.31","","-0.67%"
"03/08/2023","158.74","158.02","159.50","156.39","","0.53%"
"03/07/2023","157.91","161.36","161.45","157.44","","-2.07%"
"03/06/2023","161.24","161.40","162.00","159.40","","-0.47%"
"03/03/2023","162.00","161.95","163.29","161.57","","0.26%"
"03/02/2023","161.59","164.08","164.64","160.54","","-1.79%"
"03/01/2023","164.54","162.09","164.82","162.04","","2.09%"
"02/28/2023","161.17","160.67","161.20","159.38","","0.35%"
"02/27/2023","160.61","158.50","160.79","157.57","","1.67%"
"02/24/2023","157.97","162.08","162.37","157.93","","-2.44%"
"02/23/2023","161.92","165.53","165.62","161.82","","-2.20%"
"02/22/2023","165.56","167.35","167.73","164.53","","-1.70%"
"02/21/2023","168.42","166.78","168.80","166.54","","3.24%"
"02/17/2023","163.14","163.55","164.00","161.61","","-0.21%"
"02/16/2023","163.48","162.78","164.06","161.74","","1.01%"
"02/15/2023","161.85","164.09","164.25","161.63","","-1.52%"
"02/14/2023","164.34","164.92","166.15","163.99","","-0.11%"
"02/13/2023","164.53","165.43","165.98","163.02","","-0.31%"
"02/10/2023","165.05","168.56","169.01","164.53","","-2.65%"
"02/09/2023","169.55","167.36","169.60","166.86","","1.70%"
"02/08/2023","166.71","168.73","170.03","166.36","","-0.71%"
"02/07/2023","167.91","168.30","168.57","165.83","","0.27%"
"02/06/2023","167.46","170.37","171.36","166.03","","-2.01%"
"02/03/2023","170.90","174.42","175.24","170.88","","-2.33%"
"02/02/2023","174.98","176.19","176.72","173.48","","0.16%"
"02/01/2023","174.70","177.65","178.34","174.13","","-1.87%"
"01/31/2023","178.03","175.57","178.52","173.78","","1.04%"
"01/30/2023","176.20","176.15","177.40","175.39","","-0.23%"
"01/27/2023","176.61","178.86","179.58","175.43","","-1.23%"
"01/26/2023","178.81","178.30","179.01","177.58","","0.40%"
"01/25/2023","178.09","177.42","178.57","176.49","","0.46%"
