date;brazil_inflation
30.09.2023;5,19
31.08.2023;4,61
31.07.2023;3,99
30.06.2023;3,16
31.05.2023;3,94
30.04.2023;4,18
31.03.2023;4,65
28.02.2023;5,6
31.01.2023;5,77
31.12.2022;5,79
30.11.2022;5,9
31.10.2022;6,47
30.09.2022;7,17
31.08.2022;8,73
31.07.2022;10,07
30.06.2022;11,89
31.05.2022;11,73
30.04.2022;12,13
31.03.2022;11,3
28.02.2022;10,54
31.01.2022;10,38
31.12.2021;10,06
30.11.2021;10,74
31.10.2021;10,67
30.09.2021;10,25
31.08.2021;9,68
31.07.2021;8,99
30.06.2021;8,35
31.05.2021;8,06
30.04.2021;6,76
31.03.2021;6,1
28.02.2021;5,2
31.01.2021;4,56
31.12.2020;4,52
30.11.2020;4,31
31.10.2020;3,92
30.09.2020;3,14
31.08.2020;2,44
31.07.2020;2,31
30.06.2020;2,13
31.05.2020;1,88
30.04.2020;2,4
31.03.2020;3,3
29.02.2020;4,01
31.01.2020;4,19
31.12.2019;4,31
30.11.2019;3,27
31.10.2019;2,54
30.09.2019;2,89
31.08.2019;3,43
31.07.2019;3,22
30.06.2019;3,37
31.05.2019;4,66
30.04.2019;4,94
31.03.2019;4,58
28.02.2019;3,89
31.01.2019;3,78
31.12.2018;3,75
30.11.2018;4,05
31.10.2018;4,56
30.09.2018;4,53
31.08.2018;4,19
31.07.2018;4,48
30.06.2018;4,39
31.05.2018;2,86
30.04.2018;2,76
31.03.2018;2,68
28.02.2018;2,84
31.01.2018;2,86
31.12.2017;2,95
