Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,6.280000,6.290000,5.990000,6.080000,5.939948,52368844
2017-11-02,6.120000,6.340000,6.110000,6.160000,6.018105,46011457
2017-11-03,6.230000,6.240000,5.980000,6.020000,5.881330,36063779
2017-11-06,6.000000,6.040000,5.680000,6.000000,5.861791,58073517
2017-11-07,6.010000,6.140000,5.920000,6.120000,5.979027,46136135
2017-11-08,6.140000,6.140000,5.950000,5.980000,5.842251,26650127
2017-11-09,5.960000,6.010000,5.770000,5.780000,5.646859,64307899
2017-11-10,5.770000,5.850000,5.710000,5.810000,5.676167,33273131
2017-11-13,5.840000,5.840000,5.600000,5.600000,5.471005,39665051
2017-11-14,5.590000,5.800000,5.510000,5.750000,5.617550,29898329
2017-11-15,5.780000,5.780000,5.570000,5.700000,5.568701,40090351
2017-11-16,5.700000,5.700000,5.420000,5.420000,5.295151,50756000
2017-11-17,5.440000,5.500000,5.330000,5.350000,5.226764,47140849
2017-11-20,5.330000,5.380000,5.070000,5.070000,4.953214,85156000
2017-11-21,5.070000,5.250000,4.850000,5.250000,5.129067,76663957
2017-11-22,5.250000,5.300000,5.090000,5.170000,5.050910,37282962
2017-11-23,5.240000,5.650000,5.230000,5.480000,5.353769,84137842
2017-11-24,5.480000,5.520000,5.280000,5.320000,5.197454,39753371
2017-11-27,5.340000,5.400000,5.210000,5.280000,5.158376,48821763
2017-11-28,5.260000,5.350000,5.140000,5.350000,5.226764,30807629
2017-11-29,5.320000,5.510000,5.240000,5.260000,5.138837,42145420
2017-11-30,5.290000,5.300000,5.050000,5.180000,5.060679,55156312
2017-12-01,5.180000,5.260000,5.050000,5.130000,5.011831,18517330
2017-12-04,5.120000,5.290000,5.100000,5.240000,5.119297,43196050
2017-12-05,5.320000,5.430000,5.190000,5.190000,5.070449,34025622
2017-12-06,5.200000,5.220000,4.820000,4.850000,4.738281,68861702
2017-12-07,4.980000,4.980000,4.700000,4.760000,4.650354,51656173
2017-12-08,4.810000,4.950000,4.730000,4.900000,4.787129,51253203
2017-12-11,4.940000,5.040000,4.860000,4.990000,4.875056,27119130
2017-12-12,5.000000,5.020000,4.870000,4.870000,4.757820,22572984
2017-12-13,4.910000,4.980000,4.880000,4.940000,4.826208,11570487
2017-12-14,4.940000,5.200000,4.920000,5.070000,4.953214,50767010
2017-12-15,5.070000,5.090000,4.970000,5.040000,4.923904,29203777
2017-12-18,5.150000,5.380000,5.070000,5.320000,5.197454,53305836
2017-12-19,5.330000,5.430000,5.230000,5.390000,5.265842,38803308
2017-12-20,5.380000,5.490000,5.260000,5.450000,5.324460,35336948
2017-12-21,5.450000,5.650000,5.390000,5.550000,5.422157,46048057
2017-12-22,5.570000,5.620000,5.450000,5.490000,5.363539,15322528
2017-12-27,5.490000,5.770000,5.490000,5.600000,5.471005,51742930
2017-12-28,5.650000,5.780000,5.650000,5.690000,5.558932,49425031
2017-12-29,5.730000,5.760000,5.540000,5.590000,5.461236,30327585
2018-01-02,5.670000,5.900000,5.620000,5.840000,5.705477,47541965
2018-01-03,5.900000,6.100000,5.860000,6.010000,5.871561,63983100
2018-01-04,6.050000,6.090000,5.980000,6.010000,5.871561,36153810
2018-01-05,6.050000,6.130000,6.010000,6.070000,5.930179,21619561
2018-01-08,6.100000,6.100000,5.760000,5.790000,5.656628,70061802
2018-01-09,5.720000,5.770000,5.420000,5.500000,5.373308,105878780
2018-01-10,5.500000,5.630000,5.420000,5.520000,5.392848,71671403
2018-01-11,5.520000,5.690000,5.480000,5.650000,5.519853,54412483
2018-01-12,5.680000,5.820000,5.640000,5.770000,5.637089,65892675
2018-01-15,5.850000,5.860000,5.470000,5.560000,5.431926,141631459
2018-01-16,5.610000,5.640000,5.490000,5.570000,5.441696,82864087
2018-01-17,5.500000,5.550000,5.360000,5.420000,5.295151,56894387
2018-01-18,5.500000,5.520000,5.340000,5.360000,5.236533,78544687
2018-01-19,5.400000,5.900000,5.400000,5.900000,5.764094,127068376
2018-01-22,5.780000,6.270000,5.740000,5.880000,5.744555,94443869
2018-01-23,5.990000,6.050000,5.770000,5.850000,5.715246,64632774
2018-01-24,5.850000,5.890000,5.630000,5.760000,5.627319,47254231
2018-01-25,5.860000,6.140000,5.750000,5.780000,5.646859,73240725
2018-01-26,5.790000,5.870000,5.700000,5.750000,5.617550,34787258
2018-01-29,5.800000,6.020000,5.760000,5.880000,5.744555,62975329
2018-01-30,5.870000,5.870000,5.520000,5.540000,5.412387,58311870
2018-01-31,5.390000,5.390000,5.190000,5.300000,5.177916,119597865
2018-02-01,5.310000,5.470000,5.160000,5.170000,5.050910,89593402
2018-02-02,5.190000,5.400000,5.150000,5.350000,5.226764,110131352
2018-02-05,5.150000,5.330000,5.120000,5.280000,5.158376,74360612
2018-02-06,5.090000,5.180000,4.860000,4.860000,4.748051,146054645
2018-02-07,5.090000,5.150000,4.860000,4.870000,4.757820,75579571
2018-02-08,4.920000,4.990000,4.760000,4.850000,4.738281,75300573
2018-02-09,4.700000,4.700000,4.460000,4.550000,4.445191,81220862
2018-02-12,4.620000,4.750000,4.510000,4.580000,4.474501,47920788
2018-02-13,4.690000,4.740000,4.620000,4.620000,4.513579,29327231
2018-02-14,4.700000,4.790000,4.590000,4.760000,4.650354,28605735
2018-02-15,4.760000,4.970000,4.760000,4.940000,4.826208,19551166
2018-02-20,4.930000,5.010000,4.840000,4.960000,4.845747,25124655
2018-02-21,4.890000,4.980000,4.860000,4.940000,4.826208,17755616
2018-02-22,4.930000,5.030000,4.870000,4.940000,4.826208,23667476
2018-02-23,5.010000,5.080000,4.950000,5.020000,4.904365,36376921
2018-02-26,5.020000,5.040000,4.780000,4.810000,4.699202,50873689
2018-02-27,4.880000,4.890000,4.630000,4.700000,4.591736,47088849
2018-02-28,4.620000,4.780000,4.560000,4.750000,4.640584,52830031
2018-03-01,4.680000,4.770000,4.660000,4.710000,4.601506,35032795
2018-03-02,4.600000,4.700000,4.550000,4.590000,4.484270,32500674
2018-03-05,4.580000,4.600000,4.450000,4.530000,4.425653,33781745
2018-03-06,4.600000,4.810000,4.540000,4.720000,4.611275,53820661
2018-03-07,4.690000,4.720000,4.600000,4.600000,4.494040,21862480
2018-03-08,4.650000,4.700000,4.550000,4.600000,4.494040,30308314
2018-03-09,4.620000,4.650000,4.590000,4.610000,4.503809,16600860
2018-03-12,4.680000,4.710000,4.590000,4.620000,4.513579,30392395
2018-03-13,4.600000,4.670000,4.590000,4.620000,4.513579,14922059
2018-03-14,4.610000,4.680000,4.570000,4.620000,4.513579,28921436
2018-03-15,4.620000,4.630000,4.580000,4.620000,4.513579,27664230
2018-03-16,4.600000,4.610000,4.590000,4.600000,4.494040,26220031
2018-03-19,4.640000,4.640000,4.530000,4.570000,4.464731,19227673
2018-03-20,4.530000,4.570000,4.300000,4.350000,4.249798,58235000
2018-03-21,4.350000,4.410000,4.200000,4.260000,4.161871,40306415
2018-03-22,4.330000,4.380000,4.270000,4.350000,4.249798,21638000
2018-03-23,4.230000,4.240000,4.010000,4.240000,4.142332,53262896
2018-03-26,4.200000,4.270000,4.120000,4.270000,4.171641,30746518
2018-03-27,4.350000,4.380000,4.290000,4.330000,4.230259,18527222
2018-03-28,4.280000,4.330000,4.210000,4.290000,4.191181,29288709
2018-03-29,4.270000,4.390000,4.240000,4.350000,4.249798,25225560
2018-04-03,4.300000,4.320000,4.180000,4.310000,4.210720,28018228
2018-04-04,4.300000,4.360000,4.260000,4.300000,4.200950,17380642
2018-04-06,4.240000,4.410000,4.240000,4.360000,4.259568,16756280
2018-04-09,4.310000,4.550000,4.310000,4.550000,4.445191,34462888
2018-04-10,4.590000,4.950000,4.590000,4.820000,4.708972,113652702
2018-04-11,5.020000,5.080000,4.860000,4.890000,4.777359,78869115
2018-04-12,4.810000,4.840000,4.670000,4.790000,4.679663,43017945
2018-04-13,4.890000,4.970000,4.780000,4.800000,4.689433,47278000
2018-04-16,4.850000,4.890000,4.710000,4.890000,4.777359,35909000
2018-04-17,4.910000,4.960000,4.720000,4.740000,4.630815,36835568
2018-04-18,4.800000,4.810000,4.620000,4.780000,4.669894,25690933
2018-04-19,4.940000,5.150000,4.930000,5.150000,5.031371,247728808
2018-04-20,5.050000,5.080000,4.910000,5.020000,4.904365,58375788
2018-04-23,5.050000,5.050000,4.810000,4.810000,4.699202,31690914
2018-04-24,4.410000,4.510000,4.270000,4.470000,4.367034,107261324
2018-04-25,4.470000,4.470000,4.330000,4.420000,4.318186,41098000
2018-04-26,4.460000,4.460000,4.270000,4.290000,4.191181,31278578
2018-04-27,4.490000,4.550000,4.400000,4.510000,4.406113,35342406
2018-04-30,4.550000,4.560000,4.450000,4.490000,4.386573,14032848
2018-05-02,4.490000,4.490000,4.330000,4.410000,4.308416,40910626
2018-05-03,4.330000,4.370000,4.260000,4.310000,4.210720,35379463
2018-05-04,4.310000,4.370000,4.280000,4.290000,4.191181,17202630
2018-05-07,4.360000,4.370000,4.220000,4.320000,4.220490,18817292
2018-05-08,4.290000,4.420000,4.290000,4.380000,4.279108,14151892
2018-05-09,4.390000,4.410000,4.340000,4.390000,4.288877,10576665
2018-05-10,4.410000,4.490000,4.390000,4.410000,4.308416,13473940
2018-05-11,4.480000,4.540000,4.410000,4.420000,4.318186,14635969
2018-05-14,4.430000,4.450000,4.330000,4.380000,4.279108,22521305
2018-05-15,4.420000,4.420000,4.320000,4.350000,4.249798,26918396
2018-05-16,4.330000,4.350000,4.300000,4.350000,4.249798,14881591
2018-05-17,4.350000,4.360000,4.250000,4.310000,4.210720,34245551
2018-05-18,4.310000,4.430000,4.280000,4.380000,4.279108,25288943
2018-05-21,4.430000,4.470000,4.260000,4.300000,4.200950,40830726
2018-05-23,4.310000,4.310000,4.120000,4.180000,4.083714,53031779
2018-05-24,4.230000,4.240000,4.070000,4.130000,4.034866,37630586
2018-05-25,4.150000,4.150000,4.040000,4.070000,3.976249,24515990
2018-05-28,4.100000,4.190000,4.070000,4.150000,4.054405,14522000
2018-05-29,4.150000,4.170000,4.090000,4.120000,4.025096,11029141
2018-05-30,4.090000,4.090000,3.960000,3.990000,3.898091,24978253
2018-05-31,4.050000,4.130000,4.020000,4.130000,4.034866,31022173
2018-06-01,4.100000,4.170000,4.070000,4.120000,4.025096,15642679
2018-06-04,4.150000,4.240000,4.130000,4.200000,4.103253,17150000
2018-06-05,4.230000,4.230000,4.150000,4.200000,4.103253,14131852
2018-06-06,4.220000,4.240000,4.130000,4.240000,4.142332,28064000
2018-06-07,4.210000,4.280000,4.160000,4.240000,4.142332,35642000
2018-06-08,4.200000,4.250000,4.180000,4.250000,4.152102,16644000
2018-06-11,4.220000,4.290000,4.180000,4.210000,4.113023,14259360
2018-06-12,4.210000,4.240000,4.070000,4.130000,4.034866,55694997
2018-06-13,4.090000,4.150000,4.020000,4.070000,3.976249,30312817
2018-06-14,4.060000,4.080000,3.900000,4.020000,3.927400,34140246
2018-06-15,3.970000,4.010000,3.880000,3.880000,3.790625,58272932
2018-06-19,3.860000,3.880000,3.700000,3.720000,3.634310,53217036
2018-06-20,3.750000,3.760000,3.610000,3.640000,3.556153,34256890
2018-06-21,3.640000,3.740000,3.600000,3.630000,3.546383,21609352
2018-06-22,3.620000,3.630000,3.520000,3.600000,3.517074,20083342
2018-06-25,3.650000,3.740000,3.440000,3.470000,3.390069,33250986
2018-06-26,3.430000,3.550000,3.420000,3.500000,3.419378,33987489
2018-06-27,3.510000,3.560000,3.360000,3.400000,3.321681,25910000
2018-06-28,3.430000,3.450000,3.250000,3.330000,3.253294,27854109
2018-06-29,3.270000,3.470000,3.250000,3.460000,3.380300,45953218
2018-07-03,3.520000,3.520000,3.270000,3.360000,3.282603,41367294
2018-07-04,3.370000,3.370000,3.210000,3.250000,3.175137,15141070
2018-07-05,3.240000,3.320000,3.160000,3.220000,3.145828,17501300
2018-07-06,3.190000,3.250000,3.100000,3.190000,3.116519,25866241
2018-07-09,3.250000,3.300000,3.180000,3.290000,3.214215,20604000
2018-07-10,3.300000,3.370000,3.270000,3.270000,3.194676,22241160
2018-07-11,3.190000,3.260000,3.160000,3.250000,3.175137,12262927
2018-07-12,3.230000,3.300000,3.200000,3.270000,3.194676,14155298
2018-07-13,3.280000,3.300000,3.140000,3.180000,3.106749,21025747
2018-07-16,3.200000,3.230000,3.090000,3.110000,3.038362,16995796
2018-07-17,3.090000,3.200000,3.090000,3.170000,3.096980,15422150
2018-07-18,3.210000,3.210000,3.130000,3.150000,3.077440,11996195
2018-07-19,3.140000,3.260000,3.140000,3.190000,3.116519,11489284
2018-07-20,3.200000,3.230000,3.090000,3.210000,3.136058,18258872
2018-07-23,3.220000,3.280000,3.120000,3.240000,3.165367,20431622
2018-07-24,3.270000,3.620000,3.270000,3.520000,3.438917,65603201
2018-07-25,3.590000,3.600000,3.450000,3.540000,3.458457,34924277
2018-07-26,3.510000,3.590000,3.500000,3.590000,3.507305,22812635
2018-07-27,3.530000,3.600000,3.470000,3.540000,3.458457,17901080
2018-07-30,3.500000,3.640000,3.500000,3.620000,3.536614,16862037
2018-07-31,3.620000,3.670000,3.550000,3.570000,3.487766,19027158
2018-08-01,3.640000,3.640000,3.470000,3.470000,3.390069,23156214
2018-08-02,3.420000,3.450000,3.260000,3.270000,3.194676,36112800
2018-08-03,3.320000,3.370000,3.180000,3.190000,3.116519,31521070
2018-08-06,3.200000,3.290000,3.180000,3.190000,3.116519,19153389
2018-08-07,3.180000,3.320000,3.150000,3.260000,3.184906,23389664
2018-08-08,3.310000,3.330000,3.240000,3.290000,3.214215,14654000
2018-08-09,3.360000,3.630000,3.360000,3.510000,3.429147,64569990
2018-08-10,3.530000,3.540000,3.400000,3.420000,3.341221,20397145
2018-08-13,3.410000,3.410000,3.210000,3.260000,3.184906,39079306
2018-08-14,3.270000,3.270000,3.120000,3.160000,3.087210,28410000
2018-08-15,3.180000,3.190000,2.980000,3.040000,2.969974,39704656
2018-08-16,2.900000,3.100000,2.860000,3.040000,2.969974,48435240
2018-08-17,3.050000,3.100000,3.020000,3.050000,2.979744,36014000
2018-08-20,3.080000,3.220000,3.030000,3.170000,3.096980,46502618
2018-08-21,3.240000,3.260000,3.190000,3.230000,3.155597,45140473
2018-08-22,3.230000,3.250000,3.140000,3.170000,3.096980,51936466
2018-08-23,3.180000,3.200000,3.120000,3.180000,3.106749,24147618
2018-08-24,3.170000,3.210000,3.120000,3.160000,3.087210,24460000
2018-08-27,3.190000,3.250000,3.170000,3.210000,3.136058,42763747
2018-08-28,3.240000,3.450000,3.240000,3.400000,3.321681,56066754
2018-08-29,3.370000,3.490000,3.360000,3.430000,3.350991,31184425
2018-08-30,3.470000,3.510000,3.390000,3.390000,3.311912,47686516
2018-08-31,3.300000,3.380000,3.290000,3.320000,3.243524,20151905
2018-09-03,3.270000,3.300000,3.170000,3.220000,3.145828,23100500
2018-09-04,3.230000,3.330000,3.190000,3.300000,3.223985,12092000
2018-09-05,3.300000,3.300000,3.130000,3.180000,3.106749,21862000
2018-09-06,3.170000,3.270000,3.160000,3.240000,3.165367,18119590
2018-09-07,3.220000,3.240000,3.130000,3.180000,3.106749,26436191
2018-09-10,3.180000,3.190000,3.030000,3.070000,2.999283,30067444
2018-09-11,3.080000,3.150000,3.080000,3.120000,3.048131,21859480
2018-09-12,3.120000,3.120000,3.050000,3.110000,3.038362,18329722
2018-09-13,3.170000,3.240000,3.130000,3.220000,3.145828,14820232
2018-09-14,3.260000,3.320000,3.220000,3.270000,3.194676,15342781
2018-09-17,3.210000,3.240000,3.150000,3.230000,3.155597,8298000
2018-09-18,3.230000,3.240000,3.130000,3.230000,3.155597,16781100
2018-09-19,3.250000,3.420000,3.240000,3.350000,3.272833,28481688
2018-09-20,3.350000,3.410000,3.300000,3.340000,3.263064,9838000
2018-09-21,3.360000,3.500000,3.360000,3.500000,3.419378,26772259
2018-09-24,3.490000,3.500000,3.360000,3.430000,3.350991,11305224
2018-09-26,3.380000,3.470000,3.350000,3.360000,3.282603,21759440
2018-09-27,3.380000,3.400000,3.330000,3.340000,3.263064,8054104
2018-09-28,3.390000,3.490000,3.380000,3.480000,3.399839,18150275
2018-10-02,3.420000,3.530000,3.380000,3.450000,3.370530,28660801
2018-10-03,3.470000,3.770000,3.420000,3.720000,3.634310,31175046
2018-10-04,3.800000,3.910000,3.670000,3.760000,3.673389,114901300
2018-10-05,3.720000,3.890000,3.650000,3.830000,3.741776,38929187
2018-10-08,3.570000,3.570000,3.200000,3.270000,3.194676,106494341
2018-10-09,3.280000,3.380000,3.230000,3.330000,3.253294,43122940
2018-10-10,3.340000,3.360000,3.270000,3.290000,3.214215,19405288
2018-10-11,3.100000,3.170000,3.050000,3.140000,3.067671,58375547
2018-10-12,3.170000,3.200000,3.060000,3.180000,3.106749,35072704
2018-10-15,3.140000,3.160000,3.090000,3.110000,3.038362,37351552
2018-10-16,3.110000,3.140000,3.030000,3.110000,3.038362,25204110
2018-10-18,3.100000,3.110000,3.000000,3.020000,2.950435,26063584
2018-10-19,3.040000,3.080000,2.960000,3.040000,2.969974,28756671
2018-10-22,3.060000,3.170000,3.020000,3.100000,3.028592,30756122
2018-10-23,3.120000,3.150000,3.020000,3.030000,2.960204,25909880
2018-10-24,3.040000,3.080000,2.990000,3.040000,2.969974,18368935
2018-10-25,2.960000,3.030000,2.860000,3.000000,2.930895,22282321
2018-10-26,3.010000,3.020000,2.860000,2.870000,2.803890,41349051
2018-10-29,2.900000,2.940000,2.840000,2.860000,2.794120,20115656
2018-10-30,2.820000,2.880000,2.790000,2.800000,2.735502,17746748
2018-10-31,2.850000,2.910000,2.810000,2.840000,2.774581,24896757
2018-11-01,2.870000,2.980000,2.850000,2.950000,2.882047,22925228
2018-11-02,3.150000,3.150000,2.960000,3.020000,2.950435,51845055
2018-11-05,2.980000,3.070000,2.950000,3.020000,2.950435,24343697
2018-11-06,3.050000,3.130000,3.020000,3.110000,3.038362,27210505
2018-11-07,3.110000,3.170000,3.010000,3.020000,2.950435,29376197
2018-11-08,3.060000,3.120000,3.020000,3.030000,2.960204,31750000
2018-11-09,3.000000,3.050000,2.960000,2.990000,2.921126,19381720
2018-11-12,3.040000,3.060000,2.980000,3.000000,2.930895,13744856
2018-11-13,2.950000,2.990000,2.860000,2.910000,2.842969,31723396
2018-11-14,2.920000,2.990000,2.920000,2.950000,2.882047,23627103
2018-11-15,2.980000,2.980000,2.910000,2.950000,2.882047,23967400
2018-11-16,2.950000,3.020000,2.920000,2.980000,2.911356,19949036
2018-11-19,2.970000,3.010000,2.930000,2.990000,2.921126,15372000
2018-11-20,2.970000,2.970000,2.910000,2.930000,2.862508,20929242
2018-11-21,2.900000,2.920000,2.870000,2.900000,2.833199,22804851
2018-11-22,2.920000,2.920000,2.870000,2.910000,2.842969,10855975
2018-11-23,2.890000,2.920000,2.840000,2.870000,2.803890,14426000
2018-11-26,2.890000,2.890000,2.840000,2.870000,2.803890,11427752
2018-11-27,2.890000,2.890000,2.760000,2.770000,2.706193,33243467
2018-11-28,2.800000,2.810000,2.700000,2.760000,2.696424,31841447
2018-11-29,2.810000,2.830000,2.740000,2.770000,2.706193,27288212
2018-11-30,2.780000,2.800000,2.760000,2.800000,2.735502,27494442
2018-12-03,2.870000,2.880000,2.800000,2.880000,2.813660,45800802
2018-12-04,2.880000,2.910000,2.850000,2.910000,2.842969,27788613
2018-12-05,2.850000,2.890000,2.840000,2.890000,2.823429,18732000
2018-12-06,2.850000,2.860000,2.760000,2.790000,2.725733,19861776
2018-12-07,2.800000,2.800000,2.730000,2.740000,2.676884,9632000
2018-12-10,2.710000,2.730000,2.620000,2.680000,2.618267,18622329
2018-12-11,2.680000,2.680000,2.610000,2.630000,2.569418,11088856
2018-12-12,2.640000,2.670000,2.620000,2.650000,2.588958,13923909
2018-12-13,2.690000,2.800000,2.650000,2.800000,2.735502,25643575
2018-12-14,2.750000,2.780000,2.680000,2.710000,2.647576,21311000
2018-12-17,2.700000,2.700000,2.630000,2.690000,2.628036,13325476
2018-12-18,2.670000,2.670000,2.610000,2.630000,2.569418,15854500
2018-12-19,2.630000,2.660000,2.610000,2.660000,2.598727,9643390
2018-12-20,2.630000,2.640000,2.540000,2.580000,2.520570,22927636
2018-12-21,2.550000,2.570000,2.470000,2.490000,2.432643,42497521
2018-12-24,2.480000,2.500000,2.390000,2.410000,2.354486,24726916
2018-12-27,2.450000,2.510000,2.430000,2.470000,2.413104,11192280
2018-12-28,2.440000,2.500000,2.390000,2.490000,2.432643,9426500
2018-12-31,2.480000,2.530000,2.450000,2.520000,2.461952,5717058
2019-01-02,2.490000,2.490000,2.410000,2.450000,2.393565,14064036
2019-01-03,2.410000,2.440000,2.360000,2.410000,2.354486,17128000
2019-01-04,2.400000,2.450000,2.360000,2.420000,2.364256,16667559
