Date,Open,High,Low,Close,Adj Close,Volume
2018-10-31,2.850000,2.910000,2.810000,2.840000,2.774581,24896757
2018-11-01,2.870000,2.980000,2.850000,2.950000,2.882047,22925228
2018-11-02,3.150000,3.150000,2.960000,3.020000,2.950435,51845055
2018-11-05,2.980000,3.070000,2.950000,3.020000,2.950435,24343697
2018-11-06,3.050000,3.130000,3.020000,3.110000,3.038362,27210505
2018-11-07,3.110000,3.170000,3.010000,3.020000,2.950435,29376197
2018-11-08,3.060000,3.120000,3.020000,3.030000,2.960204,31750000
2018-11-09,3.000000,3.050000,2.960000,2.990000,2.921126,19381720
2018-11-12,3.040000,3.060000,2.980000,3.000000,2.930895,13744856
2018-11-13,2.950000,2.990000,2.860000,2.910000,2.842969,31723396
2018-11-14,2.920000,2.990000,2.920000,2.950000,2.882047,23627103
2018-11-15,2.980000,2.980000,2.910000,2.950000,2.882047,23967400
2018-11-16,2.950000,3.020000,2.920000,2.980000,2.911356,19949036
2018-11-19,2.970000,3.010000,2.930000,2.990000,2.921126,15372000
2018-11-20,2.970000,2.970000,2.910000,2.930000,2.862508,20929242
2018-11-21,2.900000,2.920000,2.870000,2.900000,2.833199,22804851
2018-11-22,2.920000,2.920000,2.870000,2.910000,2.842969,10855975
2018-11-23,2.890000,2.920000,2.840000,2.870000,2.803890,14426000
2018-11-26,2.890000,2.890000,2.840000,2.870000,2.803890,11427752
2018-11-27,2.890000,2.890000,2.760000,2.770000,2.706193,33243467
2018-11-28,2.800000,2.810000,2.700000,2.760000,2.696424,31841447
2018-11-29,2.810000,2.830000,2.740000,2.770000,2.706193,27288212
2018-11-30,2.780000,2.800000,2.760000,2.800000,2.735502,27494442
2018-12-03,2.870000,2.880000,2.800000,2.880000,2.813660,45800802
2018-12-04,2.880000,2.910000,2.850000,2.910000,2.842969,27788613
2018-12-05,2.850000,2.890000,2.840000,2.890000,2.823429,18732000
2018-12-06,2.850000,2.860000,2.760000,2.790000,2.725733,19861776
2018-12-07,2.800000,2.800000,2.730000,2.740000,2.676885,9632000
2018-12-10,2.710000,2.730000,2.620000,2.680000,2.618267,18622329
2018-12-11,2.680000,2.680000,2.610000,2.630000,2.569419,11088856
2018-12-12,2.640000,2.670000,2.620000,2.650000,2.588958,13923909
2018-12-13,2.690000,2.800000,2.650000,2.800000,2.735502,25643575
2018-12-14,2.750000,2.780000,2.680000,2.710000,2.647576,21311000
2018-12-17,2.700000,2.700000,2.630000,2.690000,2.628036,13325476
2018-12-18,2.670000,2.670000,2.610000,2.630000,2.569419,15854500
2018-12-19,2.630000,2.660000,2.610000,2.660000,2.598727,9643390
2018-12-20,2.630000,2.640000,2.540000,2.580000,2.520570,22927636
2018-12-21,2.550000,2.570000,2.470000,2.490000,2.432643,42497521
2018-12-24,2.480000,2.500000,2.390000,2.410000,2.354486,24726916
