date;chalco_price;chalco_adj;chalco_volume
02.01.2018;5.670000;5.705476;47541965
03.01.2018;5.900000;5.871561;63983100
04.01.2018;6.050000;5.871561;36153810
05.01.2018;6.050000;5.930179;21619561
08.01.2018;6.100000;5.656628;70061802
09.01.2018;5.720000;5.373308;105878780
10.01.2018;5.500000;5.392848;71671403
11.01.2018;5.520000;5.519854;54412483
12.01.2018;5.680000;5.637089;65892675
15.01.2018;5.850000;5.431926;141631459
16.01.2018;5.610000;5.441696;82864087
17.01.2018;5.500000;5.295151;56894387
18.01.2018;5.500000;5.236533;78544687
19.01.2018;5.400000;5.764095;127068376
22.01.2018;5.780000;5.744555;94443869
23.01.2018;5.990000;5.715246;64632774
24.01.2018;5.850000;5.627320;47254231
25.01.2018;5.860000;5.646859;73240725
26.01.2018;5.790000;5.617549;34787258
29.01.2018;5.800000;5.744555;62975329
30.01.2018;5.870000;5.412387;58311870
31.01.2018;5.390000;5.177916;119597865
01.02.2018;5.310000;5.050910;89593402
02.02.2018;5.190000;5.226764;110131352
05.02.2018;5.150000;5.158376;74360612
06.02.2018;5.090000;4.748051;146054645
07.02.2018;5.090000;4.757821;75579571
08.02.2018;4.920000;4.738281;75300573
09.02.2018;4.700000;4.445192;81220862
12.02.2018;4.620000;4.474500;47920788
13.02.2018;4.690000;4.513579;29327231
14.02.2018;4.700000;4.650354;28605735
15.02.2018;4.760000;4.826208;19551166
20.02.2018;4.930000;4.845747;25124655
21.02.2018;4.890000;4.826208;17755616
22.02.2018;4.930000;4.826208;23667476
23.02.2018;5.010000;4.904365;36376921
26.02.2018;5.020000;4.699202;50873689
27.02.2018;4.880000;4.591736;47088849
28.02.2018;4.620000;4.640584;52830031
01.03.2018;4.680000;4.601506;35032795
02.03.2018;4.600000;4.484270;32500674
05.03.2018;4.580000;4.425652;33781745
06.03.2018;4.600000;4.611275;53820661
07.03.2018;4.690000;4.494040;21862480
08.03.2018;4.650000;4.494040;30308314
09.03.2018;4.620000;4.503809;16600860
12.03.2018;4.680000;4.513579;30392395
13.03.2018;4.600000;4.513579;14922059
14.03.2018;4.610000;4.513579;28921436
15.03.2018;4.620000;4.513579;27664230
16.03.2018;4.600000;4.494040;26220031
19.03.2018;4.640000;4.464731;19227673
20.03.2018;4.530000;4.249798;58235000
21.03.2018;4.350000;4.161872;40306415
22.03.2018;4.330000;4.249798;21638000
23.03.2018;4.230000;4.142332;53262896
26.03.2018;4.200000;4.171641;30746518
27.03.2018;4.350000;4.230259;18527222
28.03.2018;4.280000;4.191181;29288709
29.03.2018;4.270000;4.249798;25225560
03.04.2018;4.300000;4.210720;28018228
04.04.2018;4.300000;4.200950;17380642
06.04.2018;4.240000;4.259568;16756280
09.04.2018;4.310000;4.445192;34462888
10.04.2018;4.590000;4.708972;113652702
11.04.2018;5.020000;4.777359;78869115
12.04.2018;4.810000;4.679663;43017945
13.04.2018;4.890000;4.689433;47278000
16.04.2018;4.850000;4.777359;35909000
17.04.2018;4.910000;4.630815;36835568
18.04.2018;4.800000;4.669893;25690933
19.04.2018;4.940000;5.031371;247728808
20.04.2018;5.050000;4.904365;58375788
23.04.2018;5.050000;4.699202;31690914
24.04.2018;4.410000;4.367034;107261324
25.04.2018;4.470000;4.318186;41098000
26.04.2018;4.460000;4.191181;31278578
27.04.2018;4.490000;4.406113;35342406
30.04.2018;4.550000;4.386573;14032848
02.05.2018;4.490000;4.308416;40910626
03.05.2018;4.330000;4.210720;35379463
04.05.2018;4.310000;4.191181;17202630
07.05.2018;4.360000;4.220490;18817292
