date;hongqiao_price;hongqiao_adj;hongqiao_volume
02.01.2018;8.720000;5.693304;5146500
03.01.2018;8.840000;5.795655;6620000
04.01.2018;9.050000;5.840434;3495000
05.01.2018;9.130000;6.025946;7438194
08.01.2018;9.390000;6.269031;12192500
09.01.2018;9.900000;6.269031;3661500
10.01.2018;9.680000;6.435352;8472000
11.01.2018;10.060000;6.473733;6249500
12.01.2018;10.120000;6.857553;14100500
15.01.2018;10.720000;6.857553;0
16.01.2018;9.780000;6.390572;68840677
17.01.2018;10.000000;6.448145;28306090
18.01.2018;10.140000;6.173076;13505500
19.01.2018;9.870000;6.716819;21676750
22.01.2018;10.500000;7.100638;12397500
23.01.2018;11.200000;7.113431;7322700
24.01.2018;11.080000;7.202988;7698943
25.01.2018;11.100000;7.023873;6494326
26.01.2018;10.980000;7.190195;7430963
29.01.2018;11.000000;6.734294;8829509
30.01.2018;10.400000;6.551935;4132745
31.01.2018;10.020000;6.499832;11664963
01.02.2018;9.930000;6.350036;7378948
02.02.2018;9.920000;6.564960;7717130
05.02.2018;9.830000;6.415165;6590936
06.02.2018;9.670000;6.128599;12740500
07.02.2018;9.700000;5.907161;7245342
08.02.2018;9.010000;5.855059;6741000
09.02.2018;8.700000;5.347056;14365779
12.02.2018;8.210000;5.535929;4247000
13.02.2018;8.750000;5.548954;5665000
14.02.2018;8.580000;5.835520;3428500
15.02.2018;8.960000;6.200241;2148250
20.02.2018;9.490000;6.089522;2014500
21.02.2018;9.340000;6.037418;3189000
22.02.2018;9.220000;6.004855;1887805
23.02.2018;9.350000;6.050445;3051000
26.02.2018;9.260000;6.050445;2430658
27.02.2018;9.390000;5.887623;2857577
28.02.2018;8.990000;5.952752;2874000
01.03.2018;9.230000;5.842034;2880000
02.03.2018;8.970000;5.614083;3545500
05.03.2018;8.800000;6.037418;15702500
06.03.2018;9.390000;6.454242;21299000
07.03.2018;9.750000;6.460754;6754795
08.03.2018;9.800000;6.441217;2883000
09.03.2018;9.960000;6.591012;8009500
12.03.2018;10.060000;6.591012;9895500
13.03.2018;10.080000;6.486806;5511484
14.03.2018;9.850000;6.297934;8451710
15.03.2018;9.620000;6.122086;5961000
16.03.2018;9.390000;6.056958;4138000
19.03.2018;9.250000;5.972290;4706500
20.03.2018;9.030000;6.017880;4103500
21.03.2018;9.180000;6.004855;7999000
22.03.2018;9.290000;5.900649;5666500
23.03.2018;9.030000;5.711777;8945389
26.03.2018;8.690000;5.659673;7829935
27.03.2018;8.740000;5.744339;12675500
28.03.2018;8.880000;5.588031;9764889
29.03.2018;8.700000;5.581518;8547246
03.04.2018;8.500000;5.588031;4985000
04.04.2018;8.980000;5.620596;4278500
06.04.2018;8.840000;5.529416;4184500
09.04.2018;8.650000;5.711777;5570200
10.04.2018;8.980000;6.017880;16441500
11.04.2018;9.500000;6.122086;13087055
12.04.2018;9.610000;5.939726;5861000
13.04.2018;9.180000;5.763879;7501000
16.04.2018;8.900000;5.750853;3562000
17.04.2018;9.050000;5.783418;7854800
18.04.2018;9.040000;5.763879;6275500
19.04.2018;9.180000;6.096035;16178500
