Date,Value,Prev_value
30.09.2023,"50,6","50,6"
31.08.2023,51,51
31.07.2023,"49,2","49,2"
30.06.2023,"50,5","50,5"
31.05.2023,"50,9","50,9"
30.04.2023,"49,5","49,5"
31.03.2023,50,50
28.02.2023,"51,6","51,6"
31.01.2023,"49,2","49,2"
31.12.2022,49,49
30.11.2022,"49,4","49,4"
31.10.2022,"49,2","49,2"
30.09.2022,"48,1","48,1"
31.08.2022,"49,5","49,5"
31.07.2022,"50,4","50,4"
30.06.2022,"51,7","51,7"
31.05.2022,"48,1","48,1"
30.04.2022,46,46
31.03.2022,"48,1","48,1"
28.02.2022,"50,4","50,4"
31.01.2022,"49,1","49,1"
31.12.2021,"50,9","50,9"
30.11.2021,"49,9","49,9"
31.10.2021,"50,6","50,6"
30.09.2021,50,50
31.08.2021,"50,1","50,1"
31.07.2021,"50,3","50,3"
30.06.2021,"51,3","51,3"
31.05.2021,52,52
30.04.2021,"51,9","51,9"
31.03.2021,"50,6","50,6"
28.02.2021,"50,9","50,9"
31.01.2021,"51,5","51,5"
31.12.2020,53,53
30.11.2020,"54,9","54,9"
31.10.2020,"53,6","53,6"
30.09.2020,53,53
31.08.2020,"53,1","53,1"
31.07.2020,"52,8","52,8"
30.06.2020,"51,2","51,2"
31.05.2020,"50,7","50,7"
30.04.2020,"49,4","49,4"
31.03.2020,"50,1","50,1"
29.02.2020,"40,3","40,3"
31.01.2020,"51,1","51,1"
31.12.2019,"51,5","51,5"
30.11.2019,"51,8","51,8"
31.10.2019,"51,7","51,7"
30.09.2019,"51,4","51,4"
31.08.2019,"50,4","50,4"
31.07.2019,"49,9","49,9"
30.06.2019,"49,4","49,4"
31.05.2019,"50,2","50,2"
30.04.2019,"50,2","50,2"
31.03.2019,"50,8","50,8"
28.02.2019,"49,9","49,9"
31.01.2019,"48,3","48,3"
31.12.2018,"49,7","49,7"
30.11.2018,"50,2","50,2"
31.10.2018,"50,1","50,1"
30.09.2018,50,50
31.08.2018,"50,6","50,6"
31.07.2018,"50,8","50,8"
30.06.2018,51,51
31.05.2018,"51,1","51,1"
30.04.2018,"51,1","51,1"
31.03.2018,51,51
28.02.2018,"51,6","51,6"
31.01.2018,"51,5","51,5"
31.12.2017,"51,5","51,5"
