Date,Value,Prev_value
30.09.2023,0,"0,1"
31.08.2023,"0,1","-0,3"
31.07.2023,"-0,3",0
30.06.2023,0,"0,2"
31.05.2023,"0,2","0,1"
30.04.2023,"0,1","0,7"
31.03.2023,"0,7",1
28.02.2023,1,"2,1"
31.01.2023,"2,1","1,8"
31.12.2022,"1,8","1,6"
30.11.2022,"1,6","2,1"
31.10.2022,"2,1","2,8"
30.09.2022,"2,8","2,5"
31.08.2022,"2,5","2,7"
31.07.2022,"2,7","2,5"
30.06.2022,"2,5","2,1"
31.05.2022,"2,1","2,1"
30.04.2022,"2,1","1,5"
31.03.2022,"1,5","0,9"
28.02.2022,"0,9","0,9"
31.01.2022,"0,9","1,5"
31.12.2021,"1,5","2,3"
30.11.2021,"2,3","1,5"
31.10.2021,"1,5","0,7"
30.09.2021,"0,7","0,8"
31.08.2021,"0,8",1
31.07.2021,1,"1,1"
30.06.2021,"1,1","1,3"
31.05.2021,"1,3","0,9"
30.04.2021,"0,9","0,4"
31.03.2021,"0,4","-0,2"
28.02.2021,"-0,2","-0,3"
31.01.2021,"-0,3","0,2"
31.12.2020,"0,2","-0,5"
30.11.2020,"-0,5","0,5"
31.10.2020,"0,5","1,7"
30.09.2020,"1,7","2,4"
31.08.2020,"2,4","2,7"
31.07.2020,"2,7","2,5"
30.06.2020,"2,5","2,4"
31.05.2020,"2,4","3,3"
30.04.2020,"3,3","4,3"
31.03.2020,"4,3","5,2"
29.02.2020,"5,2","5,4"
31.01.2020,"5,4","4,5"
31.12.2019,"4,5","4,5"
30.11.2019,"4,5","3,8"
31.10.2019,"3,8",3
30.09.2019,3,"2,8"
31.08.2019,"2,8","2,8"
31.07.2019,"2,8","2,7"
30.06.2019,"2,7","2,7"
31.05.2019,"2,7","2,5"
30.04.2019,"2,5","2,3"
31.03.2019,"2,3","1,5"
28.02.2019,"1,5","1,7"
31.01.2019,"1,7","1,9"
31.12.2018,"1,9","2,2"
30.11.2018,"2,2","2,5"
31.10.2018,"2,5","2,5"
30.09.2018,"2,5","2,3"
31.08.2018,"2,3","2,1"
31.07.2018,"2,1","1,9"
30.06.2018,"1,9","1,8"
31.05.2018,"1,8","1,8"
30.04.2018,"1,8","2,1"
31.03.2018,"2,1","2,9"
28.02.2018,"2,9","1,5"
31.01.2018,"1,5","1,8"
