Date,Value,Prev_value
30.09.2023,82100,86400
31.08.2023,86400,90800
31.07.2023,90800,91100
30.06.2023,91100,90100
31.05.2023,90100,92600
30.04.2023,92600,95700
31.03.2023,95700,80100
28.02.2023,80100,88600
31.01.2023,88600,77900
31.12.2022,77900,74500
30.11.2022,74500,79800
31.10.2022,79800,87000
30.09.2022,87000,83900
31.08.2022,83900,81400
31.07.2022,81400,90700
30.06.2022,90700,96600
31.05.2022,96600,92800
30.04.2022,92800,88300
31.03.2022,88300,75000
28.02.2022,75000,81700
31.01.2022,81700,86200
31.12.2021,86200,69300
30.11.2021,69300,71600
31.10.2021,71600,73800
30.09.2021,73800,83200
31.08.2021,83200,86800
31.07.2021,86800,93900
30.06.2021,93900,99500
31.05.2021,99500,97900
30.04.2021,97900,94000
31.03.2021,94000,83000
28.02.2021,83000,90200
31.01.2021,90200,91252
31.12.2020,91252,87660
30.11.2020,87660,92202
31.10.2020,92202,92555
30.09.2020,92555,94845
31.08.2020,94845,93359
31.07.2020,93359,91579
30.06.2020,91579,92267
31.05.2020,92267,85033
30.04.2020,85033,78975
31.03.2020,78975,74773
29.02.2020,74773,79929
31.01.2020,79929,84265
31.12.2019,84265,80287
30.11.2019,80287,81521
31.10.2019,81521,82773
30.09.2019,82773,87251
31.08.2019,87251,85223
31.07.2019,85223,87533
30.06.2019,87533,89091
31.05.2019,89091,85032
30.04.2019,85032,80341
31.03.2019,80341,71231
28.02.2019,71231,78863
31.01.2019,78863,75489
31.12.2018,75489,77213
30.11.2018,77213,82014
31.10.2018,82014,80959
30.09.2018,80959,79834
31.08.2018,79834,81180
31.07.2018,81180,79585
30.06.2018,79585,81018
31.05.2018,81018,75453
30.04.2018,75453,73047
31.03.2018,73047,65020
28.02.2018,65020,71986
31.01.2018,71986,70350
