date;ftse_index;ftse_index_change
27.10.2023;4.741,72;1,18%
26.10.2023;4.686,37;0,40%
25.10.2023;4.667,83;2,19%
24.10.2023;4.567,76;1,82%
23.10.2023;4.486,17;-2,73%
20.10.2023;4.612,03;-0,15%
19.10.2023;4.618,92;-1,91%
18.10.2023;4.709,04;-1,28%
17.10.2023;4.770,23;0,37%
16.10.2023;4.752,73;-1,25%
13.10.2023;4.813,00;-1,45%
12.10.2023;4.884,03;2,04%
11.10.2023;4.786,27;-0,61%
10.10.2023;4.815,43;-0,40%
09.10.2023;4.834,72;-0,08%
28.09.2023;4.838,59;0,07%
27.09.2023;4.835,23;-0,24%
26.09.2023;4.846,84;-0,62%
25.09.2023;4.876,99;-0,74%
22.09.2023;4.913,38;0,05%
21.09.2023;4.910,85;-1,15%
20.09.2023;4.967,79;-0,68%
19.09.2023;5.002,00;0,13%
18.09.2023;4.995,74;-0,05%
15.09.2023;4.998,20;-0,02%
14.09.2023;4.999,21;0,51%
13.09.2023;4.973,90;-0,33%
12.09.2023;4.990,16;-0,21%
11.09.2023;5.000,60;0,98%
08.09.2023;4.952,13;-1,08%
07.09.2023;5.006,25;-1,62%
06.09.2023;5.088,72;-0,48%
05.09.2023;5.113,50;-0,65%
04.09.2023;5.146,84;3,37%
01.09.2023;4.978,91;2,76%
31.08.2023;4.845,00;-0,86%
30.08.2023;4.886,81;-0,38%
29.08.2023;4.905,44;0,66%
28.08.2023;4.873,51;1,18%
25.08.2023;4.816,55;-1,01%
24.08.2023;4.865,65;0,77%
23.08.2023;4.828,30;-2,11%
22.08.2023;4.932,39;0,48%
21.08.2023;4.908,69;-1,20%
18.08.2023;4.968,25;-1,64%
17.08.2023;5.051,12;0,28%
16.08.2023;5.037,07;-0,69%
15.08.2023;5.071,83;-0,57%
14.08.2023;5.101,16;-0,56%
11.08.2023;5.129,68;-2,22%
10.08.2023;5.246,22;0,05%
09.08.2023;5.243,62;-0,73%
08.08.2023;5.282,05;-0,07%
07.08.2023;5.285,78;-0,36%
04.08.2023;5.304,65;0,24%
03.08.2023;5.291,88;-0,53%
02.08.2023;5.320,24;-0,41%
01.08.2023;5.341,98;0,76%
31.07.2023;5.301,83;0,84%
28.07.2023;5.257,90;1,53%
27.07.2023;5.178,56;0,03%
26.07.2023;5.177,01;0,47%
25.07.2023;5.153,03;3,58%
24.07.2023;4.975,09;-1,20%
21.07.2023;5.035,27;-0,69%
20.07.2023;5.070,03;0,12%
19.07.2023;5.064,12;0,17%
18.07.2023;5.055,35;0,22%
17.07.2023;5.044,39;-1,55%
14.07.2023;5.123,70;-0,46%
13.07.2023;5.147,40;1,61%
12.07.2023;5.065,73;-0,66%
11.07.2023;5.099,46;0,43%
10.07.2023;5.077,60;-0,20%
07.07.2023;5.087,89;0,09%
06.07.2023;5.083,08;-1,79%
05.07.2023;5.175,67;2,13%
04.07.2023;5.067,90;0,33%
03.07.2023;5.051,02;1,53%
30.06.2023;4.974,93;1,10%
29.06.2023;4.920,61;-0,59%
28.06.2023;4.949,77;-0,24%
27.06.2023;4.961,53;1,68%
26.06.2023;4.879,32;-1,29%
21.06.2023;4.942,99;-1,60%
20.06.2023;5.023,61;-0,81%
19.06.2023;5.064,84;-1,70%
16.06.2023;5.152,47;0,76%
15.06.2023;5.113,68;1,18%
14.06.2023;5.053,86;0,05%
13.06.2023;5.051,51;-0,20%
12.06.2023;5.061,46;0,03%
09.06.2023;5.059,75;0,58%
08.06.2023;5.030,73;0,55%
07.06.2023;5.003,45;-0,54%
06.06.2023;5.030,56;-1,39%
05.06.2023;5.101,71;-0,60%
02.06.2023;5.132,33;2,39%
01.06.2023;5.012,29;0,44%
31.05.2023;4.990,40;-0,77%
30.05.2023;5.029,32;-0,18%
29.05.2023;5.038,17;-0,37%
26.05.2023;5.056,99;0,16%
25.05.2023;5.048,85;-0,78%
24.05.2023;5.088,64;-1,28%
23.05.2023;5.154,85;-1,48%
22.05.2023;5.232,24;0,07%
19.05.2023;5.228,36;-0,45%
18.05.2023;5.252,20;-0,78%
17.05.2023;5.293,36;-0,42%
16.05.2023;5.315,46;-0,84%
15.05.2023;5.360,55;2,39%
12.05.2023;5.235,52;-2,54%
11.05.2023;5.371,82;-0,59%
10.05.2023;5.403,83;0,19%
09.05.2023;5.393,63;-0,65%
08.05.2023;5.428,78;2,48%
05.05.2023;5.297,47;-1,44%
04.05.2023;5.375,11;-0,26%
28.04.2023;5.388,90;1,05%
27.04.2023;5.333,08;-0,02%
26.04.2023;5.334,27;0,91%
25.04.2023;5.286,05;-2,43%
24.04.2023;5.417,90;-2,01%
21.04.2023;5.529,21;-2,36%
20.04.2023;5.663,05;-1,99%
