"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","9,556.85","9,556.85","9,556.85","9,556.85","","-0.25%"
"05/30/2024","9,581.26","9,581.26","9,581.26","9,581.26","","-0.59%"
"05/29/2024","9,638.36","9,638.36","9,638.36","9,638.36","","0.19%"
"05/28/2024","9,620.38","9,620.38","9,620.38","9,620.38","","-0.75%"
"05/27/2024","9,693.48","9,693.48","9,693.48","9,693.48","","1.03%"
"05/24/2024","9,594.24","9,594.24","9,594.24","9,594.24","","-1.07%"
"05/23/2024","9,698.34","9,698.34","9,698.34","9,698.34","","-1.31%"
"05/22/2024","9,826.92","9,826.92","9,826.92","9,826.92","","0.03%"
"05/21/2024","9,824.45","9,824.45","9,824.45","9,824.45","","-0.53%"
"05/20/2024","9,876.85","9,876.85","9,876.85","9,876.85","","0.39%"
"05/17/2024","9,838.81","9,838.81","9,838.81","9,838.81","","0.99%"
"05/16/2024","9,742.64","9,742.64","9,742.64","9,742.64","","0.28%"
"05/15/2024","9,715.42","9,715.42","9,715.42","9,715.42","","-0.66%"
"05/14/2024","9,780.12","9,780.12","9,780.12","9,780.12","","-0.21%"
"05/13/2024","9,800.67","9,800.67","9,800.67","9,800.67","","-0.26%"
"05/10/2024","9,826.16","9,826.16","9,826.16","9,826.16","","0.03%"
"05/09/2024","9,823.08","9,823.08","9,823.08","9,823.08","","0.99%"
"05/08/2024","9,726.48","9,726.48","9,726.48","9,726.48","","-0.94%"
"05/07/2024","9,818.73","9,818.73","9,818.73","9,818.73","","-0.03%"
"05/06/2024","9,821.52","9,821.52","9,821.52","9,821.52","","1.92%"
"04/30/2024","9,636.26","9,636.26","9,636.26","9,636.26","","0.65%"
"04/26/2024","9,573.56","9,573.56","9,573.56","9,573.56","","1.64%"
"04/25/2024","9,418.65","9,418.65","9,418.65","9,418.65","","0.16%"
"04/24/2024","9,403.26","9,403.26","9,403.26","9,403.26","","0.55%"
"04/23/2024","9,352.04","9,352.04","9,352.04","9,352.04","","-0.79%"
"04/22/2024","9,426.52","9,426.52","9,426.52","9,426.52","","-0.55%"
"04/19/2024","9,478.22","9,478.22","9,478.22","9,478.22","","-0.72%"
"04/18/2024","9,547.27","9,547.27","9,547.27","9,547.27","","0.08%"
"04/17/2024","9,539.84","9,539.84","9,539.84","9,539.84","","1.74%"
"04/16/2024","9,376.60","9,376.60","9,376.60","9,376.60","","-1.36%"
"04/15/2024","9,505.69","9,505.69","9,505.69","9,505.69","","2.01%"
"04/12/2024","9,318.56","9,318.56","9,318.56","9,318.56","","-0.60%"
"04/11/2024","9,374.87","9,374.87","9,374.87","9,374.87","","0.14%"
"04/10/2024","9,361.44","9,361.44","9,361.44","9,361.44","","-0.79%"
"04/09/2024","9,435.66","9,435.66","9,435.66","9,435.66","","0.02%"
"04/08/2024","9,433.96","9,433.96","9,433.96","9,433.96","","-0.88%"
"04/03/2024","9,517.30","9,517.30","9,517.30","9,517.30","","-0.28%"
