date;guinea_inflation
31.08.2023;8,02
31.07.2023;6
30.06.2023;6,21
31.05.2023;7,91
30.04.2023;8,27
31.03.2023;8,04
28.02.2023;8,11
31.01.2023;8,32
31.12.2022;8,6
30.11.2022;8,54
31.10.2022;8,66
30.09.2022;8,52
31.08.2022;8,46
31.07.2022;12,4
30.06.2022;12,5
31.05.2022;11,1
30.04.2022;11
31.03.2022;12,4
28.02.2022;12,3
31.01.2022;11,8
31.12.2021;12,5
30.11.2021;12,6
31.10.2021;12,7
30.09.2021;13,1
31.08.2021;13,5
31.07.2021;12,3
30.06.2021;12,2
31.05.2021;12,4
30.04.2021;12,4
31.03.2021;12,3
28.02.2021;12,6
31.01.2021;12,6
31.12.2020;10,6
30.11.2020;10,7
31.10.2020;10,8
30.09.2020;10,6
31.08.2020;11
31.07.2020;11,3
30.06.2020;11,3
31.05.2020;11,5
30.04.2020;11,6
31.03.2020;9,5
29.02.2020;9,3
31.01.2020;9,1
31.12.2019;9,1
30.11.2019;9,3
31.10.2019;9,3
30.09.2019;9,4
31.08.2019;9,4
31.07.2019;9,4
30.06.2019;9,6
31.05.2019;9,6
30.04.2019;9,5
31.03.2019;9,7
28.02.2019;9,7
31.01.2019;9,7
31.12.2018;9,9
30.11.2018;9,8
31.10.2018;9,8
30.09.2018;9,9
31.08.2018;9,9
31.07.2018;10,3
30.06.2018;9,9
31.05.2018;9,8
30.04.2018;9,6
31.03.2018;9,7
28.02.2018;9,7
31.01.2018;9,6
