date;usd_to_hkd
02.01.2018;7.813530
03.01.2018;7.816300
04.01.2018;7.817000
05.01.2018;7.817500
08.01.2018;7.819300
09.01.2018;7.820900
10.01.2018;7.820880
11.01.2018;7.822100
12.01.2018;7.823400
15.01.2018;7.822200
16.01.2018;7.823500
17.01.2018;7.823500
18.01.2018;7.817570
19.01.2018;7.817500
22.01.2018;7.816300
23.01.2018;7.818200
24.01.2018;7.818500
25.01.2018;7.817600
26.01.2018;7.817300
29.01.2018;7.817600
30.01.2018;7.817500
31.01.2018;7.820400
01.02.2018;7.821200
02.02.2018;7.819600
05.02.2018;7.820700
06.02.2018;7.820000
07.02.2018;7.818400
08.02.2018;7.817800
09.02.2018;7.819700
12.02.2018;7.818160
13.02.2018;7.819500
14.02.2018;7.821200
15.02.2018;7.822000
16.02.2018;7.820000
19.02.2018;7.821400
20.02.2018;7.821420
21.02.2018;7.824040
22.02.2018;7.825100
23.02.2018;7.824100
26.02.2018;7.823120
27.02.2018;7.822900
28.02.2018;7.827500
01.03.2018;7.825900
02.03.2018;7.827070
05.03.2018;7.831060
06.03.2018;7.831800
07.03.2018;7.833020
08.03.2018;7.834360
09.03.2018;7.839960
12.03.2018;7.836600
13.03.2018;7.839600
14.03.2018;7.839600
15.03.2018;7.840000
16.03.2018;7.841510
19.03.2018;7.843100
20.03.2018;7.842660
21.03.2018;7.844600
22.03.2018;7.844800
23.03.2018;7.848000
26.03.2018;7.846050
27.03.2018;7.846400
28.03.2018;7.846600
29.03.2018;7.846580
30.03.2018;7.847800
02.04.2018;7.848600
03.04.2018;7.848200
04.04.2018;7.848500
05.04.2018;7.849300
06.04.2018;7.848900
09.04.2018;7.848170
10.04.2018;7.848900
11.04.2018;7.849270
12.04.2018;7.849300
13.04.2018;7.849600
16.04.2018;7.849800
17.04.2018;7.849800
18.04.2018;7.849700
19.04.2018;7.849200
20.04.2018;7.848000
23.04.2018;7.844300
24.04.2018;7.842600
25.04.2018;7.847000
26.04.2018;7.847040
27.04.2018;7.846100
30.04.2018;7.848100
01.05.2018;7.848200
02.05.2018;7.849000
03.05.2018;7.849400
04.05.2018;7.849100
07.05.2018;7.849300
08.05.2018;7.849800
09.05.2018;7.849430
10.05.2018;7.849200
11.05.2018;7.849400
14.05.2018;7.849500
15.05.2018;7.849600
16.05.2018;7.849800
17.05.2018;7.849420
18.05.2018;7.849800
21.05.2018;7.849600
22.05.2018;7.847600
23.05.2018;7.849700
24.05.2018;7.847820
25.05.2018;7.847120
28.05.2018;7.845100
29.05.2018;7.845000
30.05.2018;7.845470
31.05.2018;7.846700
01.06.2018;7.845970
04.06.2018;7.845220
05.06.2018;7.845800
06.06.2018;7.847200
07.06.2018;7.847100
08.06.2018;7.846100
11.06.2018;7.846200
12.06.2018;7.845900
13.06.2018;7.846720
14.06.2018;7.847600
15.06.2018;7.849040
18.06.2018;7.849070
19.06.2018;7.849300
20.06.2018;7.849200
21.06.2018;7.845420
22.06.2018;7.845300
25.06.2018;7.846300
26.06.2018;7.846500
27.06.2018;7.848800
28.06.2018;7.847990
29.06.2018;7.848000
02.07.2018;7.846950
03.07.2018;7.844500
04.07.2018;7.844600
05.07.2018;7.842900
06.07.2018;7.846930
09.07.2018;7.847900
10.07.2018;7.847910
11.07.2018;7.848300
12.07.2018;7.848400
13.07.2018;7.848500
16.07.2018;7.848500
17.07.2018;7.848390
18.07.2018;7.848550
19.07.2018;7.848600
20.07.2018;7.849300
23.07.2018;7.849200
24.07.2018;7.848000
25.07.2018;7.845900
26.07.2018;7.845100
27.07.2018;7.847600
30.07.2018;7.847700
31.07.2018;7.847930
