date;rub_to_cny;rub_to_cny_change
27.10.2023;0,0777;-0,51%
26.10.2023;0,0781;0,39%
25.10.2023;0,0778;-0,51%
24.10.2023;0,0782;1,03%
23.10.2023;0,0774;1,04%
20.10.2023;0,0766;0,39%
19.10.2023;0,0763;2,28%
18.10.2023;0,0746;0,00%
17.10.2023;0,0746;-0,53%
16.10.2023;0,075;0,27%
13.10.2023;0,0748;0,13%
12.10.2023;0,0747;2,82%
11.10.2023;0,0727;-0,07%
10.10.2023;0,0727;-0,75%
09.10.2023;0,0733;1,31%
06.10.2023;0,0723;-0,89%
05.10.2023;0,0729;-0,27%
04.10.2023;0,0732;0,27%
03.10.2023;0,0729;-1,35%
02.10.2023;0,074;-0,74%
29.09.2023;0,0745;-1,84%
28.09.2023;0,0759;0,80%
27.09.2023;0,0753;-0,53%
26.09.2023;0,0757;-1,69%
25.09.2023;0,077;1,58%
22.09.2023;0,0758;-1,30%
21.09.2023;0,0768;1,19%
20.09.2023;0,0759;-0,13%
19.09.2023;0,076;0,00%
18.09.2023;0,076;1,13%
15.09.2023;0,0751;-0,60%
14.09.2023;0,0756;0,00%
13.09.2023;0,0756;-0,40%
12.09.2023;0,0759;-1,04%
11.09.2023;0,0767;2,06%
08.09.2023;0,0751;0,94%
07.09.2023;0,0745;0,13%
06.09.2023;0,0743;-1,26%
05.09.2023;0,0753;0,27%
04.09.2023;0,0751;-0,27%
01.09.2023;0,0753;-0,53%
31.08.2023;0,0757;-0,13%
30.08.2023;0,0758;-0,66%
29.08.2023;0,0763;-1,04%
28.08.2023;0,0771;0,52%
25.08.2023;0,0767;-0,45%
24.08.2023;0,0771;-0,45%
23.08.2023;0,0774;0,26%
22.08.2023;0,0772;-0,90%
21.08.2023;0,0779;1,83%
18.08.2023;0,0765;-0,84%
17.08.2023;0,0772;2,87%
16.08.2023;0,075;1,97%
15.08.2023;0,0736;-0,20%
14.08.2023;0,0737;1,80%
11.08.2023;0,0724;-2,36%
10.08.2023;0,0742;-0,34%
09.08.2023;0,0744;0,20%
08.08.2023;0,0742;-1,26%
07.08.2023;0,0752;0,53%
04.08.2023;0,0748;-1,38%
03.08.2023;0,0759;-0,52%
02.08.2023;0,0763;-1,87%
01.08.2023;0,0777;-0,13%
31.07.2023;0,0778;0,19%
28.07.2023;0,0777;-1,83%
27.07.2023;0,0791;-0,38%
26.07.2023;0,0794;0,38%
25.07.2023;0,0791;-0,38%
24.07.2023;0,0794;0,00%
21.07.2023;0,0794;0,00%
20.07.2023;0,0794;0,76%
19.07.2023;0,0788;-0,38%
18.07.2023;0,0791;-0,38%
17.07.2023;0,0794;0,38%
14.07.2023;0,0791;-0,25%
13.07.2023;0,0793;0,13%
12.07.2023;0,0792;-0,63%
11.07.2023;0,0797;0,38%
10.07.2023;0,0794;0,38%
07.07.2023;0,0791;-0,38%
06.07.2023;0,0794;-0,50%
05.07.2023;0,0798;0,63%
04.07.2023;0,0793;-1,98%
03.07.2023;0,0809;-1,88%
30.06.2023;0,0825;-1,26%
29.06.2023;0,0835;-0,83%
28.06.2023;0,0842;-0,36%
27.06.2023;0,0845;-1,40%
26.06.2023;0,0857;-0,12%
23.06.2023;0,0858;-3,16%
22.06.2023;0,0886;3,20%
21.06.2023;0,0859;0,23%
20.06.2023;0,0856;0,29%
19.06.2023;0,0854;0,06%
16.06.2023;0,0853;0,06%
15.06.2023;0,0853;0,00%
14.06.2023;0,0853;-0,12%
13.06.2023;0,0854;0,23%
12.06.2023;0,0852;-1,16%
09.06.2023;0,0862;-0,58%
08.06.2023;0,0867;-0,86%
07.06.2023;0,0874;-0,06%
06.06.2023;0,0875;-0,68%
