date;sp_metals_price;sp_metals_change
27.10.2023;2.527,9;0,79%
26.10.2023;2.508,1;0,16%
25.10.2023;2.504,1;-0,79%
24.10.2023;2.524,0;1,49%
23.10.2023;2.486,9;-0,72%
20.10.2023;2.504,9;-1,49%
19.10.2023;2.542,7;-1,92%
18.10.2023;2.592,4;-2,63%
17.10.2023;2.662,4;2,09%
16.10.2023;2.608,0;0,93%
13.10.2023;2.584,0;0,07%
12.10.2023;2.582,1;-3,25%
11.10.2023;2.668,8;0,13%
10.10.2023;2.665,2;1,29%
09.10.2023;2.631,2;1,16%
06.10.2023;2.600,9;1,73%
05.10.2023;2.556,6;-0,13%
04.10.2023;2.559,9;-0,85%
03.10.2023;2.581,8;-1,28%
02.10.2023;2.615,3;-2,70%
29.09.2023;2.688,0;-0,17%
28.09.2023;2.692,6;1,77%
27.09.2023;2.645,6;1,20%
26.09.2023;2.614,4;-1,93%
25.09.2023;2.665,9;0,97%
22.09.2023;2.640,1;0,93%
21.09.2023;2.615,7;-2,04%
20.09.2023;2.670,2;-0,49%
19.09.2023;2.683,3;-0,67%
18.09.2023;2.701,4;-0,77%
15.09.2023;2.722,5;-1,12%
14.09.2023;2.753,3;3,43%
13.09.2023;2.662,1;0,73%
12.09.2023;2.642,8;0,37%
11.09.2023;2.633,1;0,28%
08.09.2023;2.625,8;-0,54%
07.09.2023;2.639,9;-0,73%
06.09.2023;2.659,2;-0,74%
05.09.2023;2.679,1;-1,39%
01.09.2023;2.717,0;2,07%
31.08.2023;2.661,9;0,21%
30.08.2023;2.656,4;-0,41%
29.08.2023;2.667,3;2,43%
28.08.2023;2.603,9;0,97%
25.08.2023;2.579,0;0,07%
24.08.2023;2.577,2;-1,62%
23.08.2023;2.619,6;0,12%
22.08.2023;2.616,5;0,51%
21.08.2023;2.603,3;-0,59%
18.08.2023;2.618,7;0,16%
17.08.2023;2.614,6;0,24%
16.08.2023;2.608,4;0,21%
15.08.2023;2.603,0;-2,36%
14.08.2023;2.665,8;2,26%
11.08.2023;2.606,9;0,25%
10.08.2023;2.600,4;-1,70%
09.08.2023;2.645,4;-0,06%
08.08.2023;2.646,9;-0,11%
07.08.2023;2.649,9;0,22%
04.08.2023;2.644,1;0,07%
03.08.2023;2.642,4;-0,23%
02.08.2023;2.648,4;-2,93%
01.08.2023;2.728,3;-1,12%
31.07.2023;2.759,2;2,36%
28.07.2023;2.695,6;0,83%
27.07.2023;2.673,6;-1,88%
26.07.2023;2.724,8;-0,13%
25.07.2023;2.728,4;2,04%
24.07.2023;2.673,9;1,16%
21.07.2023;2.643,2;-0,83%
20.07.2023;2.665,4;-0,65%
19.07.2023;2.682,8;-0,30%
18.07.2023;2.690,9;1,52%
17.07.2023;2.650,7;0,47%
14.07.2023;2.638,2;-1,94%
13.07.2023;2.690,4;0,93%
12.07.2023;2.665,6;1,19%
11.07.2023;2.634,4;0,69%
10.07.2023;2.616,3;1,06%
07.07.2023;2.589,0;2,01%
06.07.2023;2.537,9;-1,77%
05.07.2023;2.583,7;-1,78%
03.07.2023;2.630,5;1,08%
30.06.2023;2.602,4;0,43%
29.06.2023;2.591,4;2,06%
28.06.2023;2.539,2;-0,31%
27.06.2023;2.547,2;1,35%
26.06.2023;2.513,3;0,73%
23.06.2023;2.495,0;-1,41%
22.06.2023;2.530,8;-0,63%
21.06.2023;2.546,7;0,80%
20.06.2023;2.526,6;-0,48%
16.06.2023;2.538,8;-0,63%
15.06.2023;2.554,8;1,72%
14.06.2023;2.511,6;-0,98%
13.06.2023;2.536,4;2,70%
12.06.2023;2.469,8;0,09%
09.06.2023;2.467,5;-0,93%
08.06.2023;2.490,8;-0,18%
07.06.2023;2.495,3;1,28%
06.06.2023;2.463,8;2,38%
05.06.2023;2.406,6;-0,80%
02.06.2023;2.426,0;4,20%
01.06.2023;2.328,3;2,42%
31.05.2023;2.273,3;-0,66%
30.05.2023;2.288,5;-1,89%
26.05.2023;2.332,6;0,17%
25.05.2023;2.328,5;-0,80%
24.05.2023;2.347,2;-2,49%
23.05.2023;2.407,3;-0,66%
22.05.2023;2.423,3;0,90%
19.05.2023;2.401,7;-0,67%
18.05.2023;2.417,9;-0,16%
17.05.2023;2.421,8;1,82%
16.05.2023;2.378,6;-2,82%
15.05.2023;2.447,7;1,32%
12.05.2023;2.415,9;-0,39%
11.05.2023;2.425,4;-2,75%
10.05.2023;2.494,0;-0,42%
09.05.2023;2.504,4;0,26%
08.05.2023;2.498,0;0,62%
05.05.2023;2.482,6;2,64%
04.05.2023;2.418,7;-2,02%
03.05.2023;2.468,6;-1,04%
02.05.2023;2.494,6;-0,21%
01.05.2023;2.499,9;-1,22%
28.04.2023;2.530,7;-0,20%
27.04.2023;2.535,7;1,89%
26.04.2023;2.488,7;-1,13%
25.04.2023;2.517,1;-3,03%
24.04.2023;2.595,7;0,94%
21.04.2023;2.571,6;-2,57%
20.04.2023;2.639,5;-1,53%
19.04.2023;2.680,5;-1,38%
18.04.2023;2.718,1;0,69%
17.04.2023;2.699,6;0,55%
14.04.2023;2.684,8;-1,59%
13.04.2023;2.728,1;2,15%
12.04.2023;2.670,5;-0,79%
11.04.2023;2.691,9;1,49%
10.04.2023;2.652,4;0,82%
