"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","3,296.3","3,273.4","3,311.5","3,243.1","","0.70%"
"05/30/2024","3,273.4","3,235.9","3,289.9","3,227.7","","1.16%"
"05/29/2024","3,235.9","3,289.3","3,289.3","3,232.6","","-1.62%"
"05/28/2024","3,289.3","3,241.4","3,302.9","3,241.4","","1.48%"
"05/24/2024","3,241.4","3,214.3","3,256.3","3,214.3","","0.85%"
"05/23/2024","3,214.3","3,253.0","3,259.4","3,192.6","","-1.19%"
"05/22/2024","3,253.0","3,331.8","3,331.8","3,236.3","","-2.37%"
"05/21/2024","3,331.8","3,319.6","3,343.1","3,304.4","","0.37%"
"05/20/2024","3,319.6","3,275.1","3,327.7","3,268.4","","1.36%"
"05/17/2024","3,275.1","3,215.2","3,287.1","3,215.2","","1.86%"
"05/16/2024","3,215.2","3,236.9","3,243.0","3,214.7","","-0.67%"
"05/15/2024","3,236.9","3,195.8","3,239.2","3,186.1","","1.29%"
"05/14/2024","3,195.8","3,162.4","3,208.7","3,162.4","","1.06%"
"05/13/2024","3,162.4","3,153.2","3,193.4","3,153.2","","0.29%"
"05/10/2024","3,153.2","3,178.9","3,208.3","3,150.1","","-0.81%"
"05/09/2024","3,178.9","3,112.0","3,185.3","3,111.0","","2.15%"
"05/08/2024","3,112.0","3,142.8","3,142.8","3,099.4","","-0.98%"
"05/07/2024","3,142.8","3,126.7","3,166.3","3,123.3","","0.52%"
"05/06/2024","3,126.7","3,112.0","3,170.2","3,112.0","","0.47%"
"05/03/2024","3,112.0","3,077.2","3,127.8","3,077.2","","1.13%"
"05/02/2024","3,077.2","3,037.3","3,088.3","3,029.1","","1.32%"
"05/01/2024","3,037.3","3,035.4","3,105.6","3,016.0","","0.06%"
"04/30/2024","3,035.4","3,140.8","3,140.8","3,034.3","","-3.35%"
"04/29/2024","3,140.8","3,114.0","3,147.4","3,100.2","","0.86%"
"04/26/2024","3,114.0","3,088.0","3,122.3","3,084.4","","0.84%"
"04/25/2024","3,088.0","3,036.1","3,098.1","2,992.2","","1.71%"
"04/24/2024","3,036.1","3,049.5","3,068.5","3,008.1","","-0.44%"
"04/23/2024","3,049.5","3,088.0","3,088.0","3,011.8","","-1.25%"
"04/22/2024","3,088.0","3,117.1","3,117.1","3,053.6","","-0.94%"
"04/19/2024","3,117.1","3,119.0","3,146.0","3,100.4","","-0.06%"
"04/18/2024","3,119.0","3,136.8","3,171.7","3,107.0","","-0.57%"
"04/17/2024","3,136.8","3,143.3","3,212.8","3,131.7","","-0.21%"
"04/16/2024","3,143.3","3,136.2","3,149.2","3,065.1","","0.23%"
"04/15/2024","3,136.2","3,140.9","3,193.0","3,124.3","","-0.15%"
"04/12/2024","3,140.9","3,198.4","3,256.0","3,121.4","","-1.80%"
"04/11/2024","3,198.4","3,184.6","3,202.9","3,156.6","","0.43%"
"04/10/2024","3,184.6","3,217.0","3,217.0","3,122.6","","-1.01%"
"04/09/2024","3,217.0","3,183.1","3,249.0","3,181.3","","1.06%"
"04/08/2024","3,183.1","3,176.0","3,211.9","3,164.9","","0.23%"
"04/05/2024","3,176.0","3,129.2","3,180.3","3,117.3","","1.50%"
"04/04/2024","3,129.2","3,183.7","3,197.1","3,118.1","","-1.71%"
"04/03/2024","3,183.7","3,113.1","3,186.4","3,113.1","","2.27%"
"04/02/2024","3,113.1","3,113.9","3,125.1","3,086.9","","-0.03%"
"04/01/2024","3,113.9","3,085.7","3,125.3","3,085.7","","0.91%"
"03/28/2024","3,085.7","3,048.3","3,092.7","3,046.4","","1.23%"
"03/27/2024","3,048.3","2,954.0","3,050.2","2,954.0","","3.19%"
"03/26/2024","2,954.0","2,977.3","2,990.3","2,947.9","","-0.78%"
"03/25/2024","2,977.3","2,965.9","3,044.7","2,965.9","","0.38%"
