date;alcoa_price;alcoa_volume
02.01.2018;54.0600000;2572832
03.01.2018;54.9200000;3609879
04.01.2018;54.8100000;2757949
05.01.2018;54.6500000;2967543
08.01.2018;53.9600000;4369766
09.01.2018;55.0000000;2954190
10.01.2018;54.3700000;4556992
11.01.2018;56.6000000;2323205
12.01.2018;57.0500000;3721785
16.01.2018;56.0900000;3313486
17.01.2018;56.0800000;6821734
18.01.2018;53.7400000;17017327
19.01.2018;52.8600000;4413226
22.01.2018;52.8000000;3770510
23.01.2018;52.3400000;4350123
24.01.2018;52.9000000;2194946
25.01.2018;53.7400000;3354552
26.01.2018;53.5000000;2411560
29.01.2018;53.8900000;2876096
30.01.2018;53.6700000;3047502
31.01.2018;52.7500000;3756349
01.02.2018;51.4100000;2488821
02.02.2018;52.0000000;5247416
05.02.2018;48.6100000;3196235
06.02.2018;47.4400000;2293373
07.02.2018;49.2300000;2712136
08.02.2018;47.8100000;3172866
09.02.2018;46.5400000;3966398
12.02.2018;46.0500000;2971097
13.02.2018;46.3900000;2500047
14.02.2018;46.7100000;2086293
15.02.2018;48.9900000;3673228
16.02.2018;47.5000000;7613841
20.02.2018;46.8400000;3818093
21.02.2018;48.2100000;2598463
22.02.2018;47.9900000;2898695
23.02.2018;48.0600000;2731056
26.02.2018;47.4200000;2667653
27.02.2018;46.5000000;2794540
28.02.2018;46.2500000;2134531
01.03.2018;45.9300000;5088282
02.03.2018;44.7200000;3247237
05.03.2018;45.1800000;3402799
06.03.2018;46.1900000;3481842
07.03.2018;46.6000000;3102606
08.03.2018;47.8800000;2668491
09.03.2018;48.0500000;2158438
12.03.2018;48.0100000;1226641
13.03.2018;48.5600000;2346622
14.03.2018;49.3200000;3107889
15.03.2018;46.5100000;2532524
16.03.2018;46.8000000;1986805
19.03.2018;47.0300000;2081131
20.03.2018;46.3700000;1159080
21.03.2018;46.4200000;1796374
22.03.2018;47.4000000;3455808
23.03.2018;45.1700000;2686588
26.03.2018;45.2600000;4279845
27.03.2018;46.2500000;2468721
28.03.2018;44.5100000;1380567
29.03.2018;44.7400000;1858088
02.04.2018;44.7300000;1714765
03.04.2018;44.6300000;1559246
04.04.2018;44.4000000;3091516
05.04.2018;47.2000000;2608510
06.04.2018;47.1800000;3534168
09.04.2018;49.7800000;5817840
10.04.2018;51.8000000;8206609
11.04.2018;53.8000000;4392730
12.04.2018;53.7800000;3994457
13.04.2018;54.9500000;2135954
16.04.2018;55.5500000;4431493
17.04.2018;55.2800000;4908563
18.04.2018;58.2600000;6955924
19.04.2018;60.5400000;10300046
20.04.2018;59.7700000;6387335
23.04.2018;54.5000000;11631946
24.04.2018;51.4700000;6336823
25.04.2018;50.5900000;3877704
26.04.2018;54.2500000;3654514
27.04.2018;52.5600000;3420684
30.04.2018;51.4000000;2172571
01.05.2018;51.0400000;2103605
02.05.2018;52.4500000;2914667
03.05.2018;52.8300000;3094122
04.05.2018;53.0400000;2177526
07.05.2018;54.8000000;2091785
08.05.2018;54.2600000;2201995
09.05.2018;53.7200000;3022575
10.05.2018;53.4000000;2574833
11.05.2018;53.7900000;2461551
14.05.2018;54.3800000;2960796
15.05.2018;51.7900000;5165287
16.05.2018;50.5400000;3876306
17.05.2018;49.8300000;2301621
18.05.2018;50.5300000;1782450
21.05.2018;51.2000000;1444217
22.05.2018;50.6400000;2225307
23.05.2018;49.2600000;1886248
24.05.2018;48.6200000;1129585
25.05.2018;48.7400000;2152919
29.05.2018;47.5700000;1598727
30.05.2018;48.1100000;1350138
31.05.2018;49.9800000;2889726
01.06.2018;48.3900000;2063551
04.06.2018;48.1300000;1871438
05.06.2018;48.6200000;1835491
06.06.2018;49.8900000;2414016
07.06.2018;50.0400000;1926122
08.06.2018;49.0100000;1896532
11.06.2018;48.5000000;2835208
12.06.2018;49.9500000;1239570
13.06.2018;49.3400000;1339744
14.06.2018;48.4400000;1824060
15.06.2018;47.4000000;4113718
18.06.2018;45.0100000;1699287
19.06.2018;44.7100000;2708397
20.06.2018;44.8800000;1864559
21.06.2018;45.0100000;1782410
