date;kaiser_price;kaiser_volume
02.01.2018;107.6900000;56534
03.01.2018;109.9000000;47928
04.01.2018;109.6000000;45339
05.01.2018;110.9100000;35258
08.01.2018;110.2800000;38228
09.01.2018;111.2100000;83215
10.01.2018;110.0500000;56068
11.01.2018;110.3100000;63369
12.01.2018;113.3300000;35559
16.01.2018;112.3900000;70354
17.01.2018;111.0000000;93041
18.01.2018;112.9500000;53950
19.01.2018;113.6500000;46633
22.01.2018;115.0600000;44091
23.01.2018;115.6700000;55587
24.01.2018;115.8600000;156416
25.01.2018;114.4000000;130079
26.01.2018;114.1600000;42861
29.01.2018;113.0600000;55510
30.01.2018;112.1000000;68434
31.01.2018;111.1300000;76384
01.02.2018;109.5700000;113585
02.02.2018;108.8700000;63262
05.02.2018;105.4500000;61360
06.02.2018;101.8100000;86152
07.02.2018;105.4200000;39875
08.02.2018;105.2600000;52176
09.02.2018;103.2400000;100541
12.02.2018;105.6300000;51602
13.02.2018;104.6700000;44038
14.02.2018;105.9800000;56463
15.02.2018;109.3100000;30685
16.02.2018;108.0600000;93230
20.02.2018;107.7600000;64001
21.02.2018;106.2600000;117801
22.02.2018;101.0000000;120651
23.02.2018;104.9700000;65454
26.02.2018;106.2100000;72103
27.02.2018;104.5200000;123096
28.02.2018;104.3700000;105876
01.03.2018;100.9900000;71983
02.03.2018;101.5300000;73059
05.03.2018;100.2600000;53559
06.03.2018;102.7400000;62673
07.03.2018;103.2100000;70616
08.03.2018;104.0300000;65779
09.03.2018;105.3100000;153846
12.03.2018;106.8200000;45379
13.03.2018;107.3500000;65920
14.03.2018;108.4000000;59999
15.03.2018;105.0200000;42746
16.03.2018;103.5100000;95131
19.03.2018;105.0900000;46571
20.03.2018;105.2000000;41654
21.03.2018;103.7900000;33911
22.03.2018;103.7900000;110749
23.03.2018;101.7200000;65460
26.03.2018;101.7000000;79384
27.03.2018;101.1000000;57140
28.03.2018;99.4500000;78687
29.03.2018;99.5000000;50477
02.04.2018;101.0800000;48787
03.04.2018;99.2400000;49818
04.04.2018;98.3600000;85258
05.04.2018;100.9100000;55677
06.04.2018;103.1400000;37187
09.04.2018;102.9000000;68562
10.04.2018;103.7100000;94021
11.04.2018;106.6400000;47778
12.04.2018;105.8400000;47510
13.04.2018;106.2300000;39893
16.04.2018;105.4100000;36294
17.04.2018;107.5100000;90381
18.04.2018;108.6700000;53281
19.04.2018;108.1100000;59100
20.04.2018;107.3000000;67155
23.04.2018;104.8800000;78406
24.04.2018;102.7500000;147571
25.04.2018;99.2900000;111002
26.04.2018;101.2800000;183741
27.04.2018;99.5300000;95623
30.04.2018;100.1100000;109526
01.05.2018;98.2600000;131737
02.05.2018;97.8500000;79782
03.05.2018;99.3200000;65357
04.05.2018;100.1400000;60426
07.05.2018;101.0600000;48041
08.05.2018;100.4100000;55717
09.05.2018;100.4300000;117695
10.05.2018;103.6800000;39595
11.05.2018;105.1600000;50753
14.05.2018;106.4300000;57629
15.05.2018;103.4000000;48079
16.05.2018;105.3100000;70702
17.05.2018;105.3700000;49015
18.05.2018;106.8900000;70361
21.05.2018;106.8800000;91405
22.05.2018;109.7000000;76722
23.05.2018;108.3700000;222202
24.05.2018;108.1200000;185239
25.05.2018;108.7600000;161235
29.05.2018;107.8400000;56117
30.05.2018;107.0900000;84517
31.05.2018;111.2900000;140383
01.06.2018;111.2500000;113450
04.06.2018;110.9300000;48758
05.06.2018;110.3900000;38036
06.06.2018;111.6300000;115199
07.06.2018;112.6400000;34156
08.06.2018;112.1800000;36894
11.06.2018;110.8100000;82518
12.06.2018;113.1600000;74815
13.06.2018;113.3900000;52152
14.06.2018;112.7500000;53665
15.06.2018;112.6600000;109596
18.06.2018;113.2300000;71165
19.06.2018;112.4900000;58594
20.06.2018;111.5700000;83796
21.06.2018;112.0000000;95747
22.06.2018;110.4000000;120618
25.06.2018;108.4400000;110192
26.06.2018;104.8700000;62079
27.06.2018;105.9500000;66278
28.06.2018;103.4100000;110170
29.06.2018;103.2900000;88455
02.07.2018;103.3700000;144605
03.07.2018;105.7800000;62544
05.07.2018;104.0500000;61330
06.07.2018;104.9300000;55423
09.07.2018;105.2100000;51021
10.07.2018;107.4000000;101176
11.07.2018;107.2300000;127526
12.07.2018;107.2600000;60357
13.07.2018;106.3100000;39271
16.07.2018;106.7200000;97162
17.07.2018;106.3100000;46442
18.07.2018;107.4700000;47521
19.07.2018;108.8400000;98928
20.07.2018;107.9300000;122682
23.07.2018;107.9600000;144515
24.07.2018;114.2200000;367673
25.07.2018;111.1200000;160363
26.07.2018;110.3300000;107874
27.07.2018;111.7600000;72449
30.07.2018;110.4000000;64752
31.07.2018;110.9700000;66823
01.08.2018;112.3000000;166997
02.08.2018;111.1800000;46740
03.08.2018;111.7000000;57120
06.08.2018;110.5200000;59518
07.08.2018;112.3500000;38117
08.08.2018;111.2900000;31224
09.08.2018;111.7000000;32767
10.08.2018;110.5300000;41998
13.08.2018;111.0600000;37449
14.08.2018;106.0000000;121692
15.08.2018;107.5800000;102957
16.08.2018;105.2800000;56629
17.08.2018;106.9800000;44610
20.08.2018;107.4200000;29172
21.08.2018;107.4800000;38982
22.08.2018;108.6100000;34603
23.08.2018;108.0000000;30004
24.08.2018;107.9600000;35017
27.08.2018;109.3800000;37787
28.08.2018;110.0000000;26829
29.08.2018;109.4600000;59643
30.08.2018;109.6300000;34477
31.08.2018;109.1700000;18216
04.09.2018;108.9700000;41095
05.09.2018;105.9400000;29215
06.09.2018;107.2800000;35176
07.09.2018;106.0500000;24068
10.09.2018;105.3200000;47039
11.09.2018;104.5100000;60338
12.09.2018;103.8300000;60217
13.09.2018;105.3700000;32519
14.09.2018;106.9700000;27654
17.09.2018;107.6600000;22931
18.09.2018;107.6300000;24912
19.09.2018;109.1900000;33521
20.09.2018;112.0000000;26315
21.09.2018;112.2000000;59702
24.09.2018;110.3800000;59681
25.09.2018;110.7600000;36806
26.09.2018;109.9700000;50987
27.09.2018;109.3300000;17338
28.09.2018;108.5500000;25409
01.10.2018;109.6600000;46024
02.10.2018;109.8400000;63058
03.10.2018;110.1500000;86304
04.10.2018;111.3100000;40111
05.10.2018;108.7100000;44775
08.10.2018;106.0900000;45197
09.10.2018;106.6100000;41000
10.10.2018;105.5200000;46788
11.10.2018;102.7800000;96814
12.10.2018;103.8600000;85213
15.10.2018;101.0700000;56216
16.10.2018;103.6600000;106888
17.10.2018;105.9200000;77429
18.10.2018;96.2000000;382375
19.10.2018;96.2400000;135634
22.10.2018;97.2500000;50235
23.10.2018;104.1200000;78499
24.10.2018;98.1100000;60013
25.10.2018;95.5200000;96673
26.10.2018;95.7800000;54115
29.10.2018;95.9100000;56933
30.10.2018;92.8100000;84879
31.10.2018;94.0600000;64928
01.11.2018;95.7600000;43919
02.11.2018;98.1900000;63917
05.11.2018;100.8700000;53801
06.11.2018;98.2900000;40721
07.11.2018;99.2200000;71158
08.11.2018;99.5000000;35927
09.11.2018;98.5000000;70005
12.11.2018;96.2800000;51175
13.11.2018;95.0900000;64765
14.11.2018;94.3700000;63602
15.11.2018;92.5400000;56792
16.11.2018;94.7300000;72470
19.11.2018;95.8500000;30457
20.11.2018;94.1700000;61127
21.11.2018;93.9300000;28865
23.11.2018;93.9900000;17610
26.11.2018;95.0600000;39094
27.11.2018;94.0600000;48526
28.11.2018;93.7300000;34832
29.11.2018;96.6200000;25890
30.11.2018;96.5200000;55584
03.12.2018;99.7700000;53490
04.12.2018;100.1700000;37786
06.12.2018;94.1100000;41709
07.12.2018;96.0300000;78944
10.12.2018;92.0700000;66117
11.12.2018;91.6900000;45910
12.12.2018;91.9500000;72439
13.12.2018;93.2400000;73088
14.12.2018;90.5200000;50546
17.12.2018;89.4700000;69375
18.12.2018;92.7100000;58713
19.12.2018;90.8400000;100505
20.12.2018;87.8000000;78169
21.12.2018;86.6000000;80654
24.12.2018;85.1000000;71240
26.12.2018;84.5900000;131144
27.12.2018;86.5500000;120408
28.12.2018;89.2100000;44010
31.12.2018;90.0600000;83246
02.01.2019;87.8000000;55053
03.01.2019;88.7800000;80133
04.01.2019;89.4500000;99180
07.01.2019;93.2400000;88217
08.01.2019;93.4300000;45949
09.01.2019;94.5500000;88214
10.01.2019;94.3000000;79794
11.01.2019;94.7100000;30880
14.01.2019;95.2700000;49844
15.01.2019;95.4900000;57382
16.01.2019;94.4100000;54482
17.01.2019;96.9100000;75248
18.01.2019;99.4400000;53763
22.01.2019;99.7500000;103190
23.01.2019;96.9000000;67956
24.01.2019;95.2100000;56915
25.01.2019;95.6700000;55638
28.01.2019;95.4900000;84000
29.01.2019;96.1100000;60311
30.01.2019;97.8300000;80896
31.01.2019;98.6700000;53934
01.02.2019;99.8200000;109188
04.02.2019;100.3900000;87336
05.02.2019;101.8800000;115356
06.02.2019;101.6200000;66955
07.02.2019;100.6500000;71003
08.02.2019;99.1700000;90155
11.02.2019;99.6200000;68071
12.02.2019;100.5900000;78607
13.02.2019;102.6300000;89555
14.02.2019;101.6100000;60527
15.02.2019;102.3800000;56777
19.02.2019;103.7100000;88363
20.02.2019;107.3900000;88421
21.02.2019;114.9900000;150824
22.02.2019;111.0300000;107748
25.02.2019;108.3400000;109185
26.02.2019;111.6900000;68113
27.02.2019;111.9500000;83424
28.02.2019;111.8300000;60549
01.03.2019;110.2700000;53209
04.03.2019;108.9700000;64817
05.03.2019;109.1200000;35955
06.03.2019;108.5000000;79959
07.03.2019;106.5100000;69258
08.03.2019;103.0100000;81818
11.03.2019;103.3500000;90763
12.03.2019;105.1200000;74419
13.03.2019;105.8400000;65709
14.03.2019;104.6300000;96429
15.03.2019;104.0200000;90263
18.03.2019;104.2500000;126018
19.03.2019;105.4800000;51334
20.03.2019;104.1900000;173012
21.03.2019;106.2100000;91921
22.03.2019;105.8400000;97342
25.03.2019;103.2900000;62182
26.03.2019;103.4600000;72911
27.03.2019;103.3800000;41817
28.03.2019;103.3800000;28159
29.03.2019;103.9500000;66614
01.04.2019;106.0300000;38356
02.04.2019;105.9200000;43685
03.04.2019;107.5400000;23917
04.04.2019;107.2700000;25006
05.04.2019;108.5100000;33179
08.04.2019;108.6500000;135777
09.04.2019;105.4300000;91433
10.04.2019;104.8600000;49135
11.04.2019;106.3300000;55559
12.04.2019;106.2100000;52558
15.04.2019;105.8400000;36109
16.04.2019;105.4100000;57289
17.04.2019;105.9900000;60491
18.04.2019;105.9800000;44556
22.04.2019;105.6000000;83830
23.04.2019;105.3000000;88247
24.04.2019;92.0000000;146275
25.04.2019;98.7500000;69738
26.04.2019;97.0800000;44214
29.04.2019;97.4400000;59661
30.04.2019;97.2200000;64583
01.05.2019;98.5100000;42193
02.05.2019;95.7600000;26228
03.05.2019;97.1900000;52826
06.05.2019;97.1100000;47681
07.05.2019;96.7800000;49552
08.05.2019;95.8500000;26185
09.05.2019;94.8700000;26412
10.05.2019;95.2100000;28219
13.05.2019;94.7400000;52203
14.05.2019;93.7000000;19908
15.05.2019;93.4600000;21544
16.05.2019;94.4500000;28734
17.05.2019;93.4600000;29270
20.05.2019;92.0800000;25808
21.05.2019;92.6000000;27786
22.05.2019;93.2800000;47376
23.05.2019;92.0800000;43722
24.05.2019;91.8300000;30802
28.05.2019;92.1700000;40503
29.05.2019;90.8600000;30736
30.05.2019;91.6600000;48016
31.05.2019;89.7000000;35379
03.06.2019;89.1100000;31229
04.06.2019;91.6600000;35917
05.06.2019;92.4300000;33344
06.06.2019;91.7300000;47875
07.06.2019;91.6900000;31187
10.06.2019;91.7400000;45304
11.06.2019;92.4000000;64296
12.06.2019;91.7000000;40716
13.06.2019;92.6000000;39228
14.06.2019;93.9700000;60718
17.06.2019;92.4100000;86329
18.06.2019;96.6200000;56437
19.06.2019;97.1200000;58839
20.06.2019;98.4300000;63566
21.06.2019;97.1900000;50809
24.06.2019;96.6700000;23796
25.06.2019;95.0700000;39990
26.06.2019;96.2100000;25756
27.06.2019;96.6500000;28593
28.06.2019;97.3400000;61022
01.07.2019;97.8800000;37453
02.07.2019;96.6400000;38071
03.07.2019;95.8000000;26816
05.07.2019;94.1600000;28899
08.07.2019;96.3800000;23828
09.07.2019;93.3900000;55670
10.07.2019;92.5800000;82511
11.07.2019;92.6400000;82243
12.07.2019;93.3900000;54259
15.07.2019;94.5800000;38956
16.07.2019;95.2700000;43726
17.07.2019;96.4100000;48342
18.07.2019;94.9200000;40589
19.07.2019;95.0200000;30440
22.07.2019;95.7000000;39751
23.07.2019;96.3000000;43441
24.07.2019;94.6200000;95399
25.07.2019;97.4900000;102100
26.07.2019;96.2600000;97375
29.07.2019;96.4600000;113670
30.07.2019;96.0400000;82251
31.07.2019;96.0000000;140410
01.08.2019;95.7100000;156493
02.08.2019;94.6500000;67882
05.08.2019;92.6600000;85931
06.08.2019;91.9300000;60907
07.08.2019;90.5700000;57424
08.08.2019;91.8700000;37189
09.08.2019;95.3600000;46993
12.08.2019;93.7000000;57704
13.08.2019;93.0800000;56958
14.08.2019;93.9500000;112768
15.08.2019;91.5600000;96506
16.08.2019;89.7500000;53814
19.08.2019;91.7500000;53633
20.08.2019;92.4900000;35844
21.08.2019;91.8000000;48896
22.08.2019;91.1200000;41676
23.08.2019;89.7500000;45192
26.08.2019;87.1300000;51829
27.08.2019;87.3600000;41164
28.08.2019;85.6100000;43310
29.08.2019;88.3900000;31856
30.08.2019;88.9900000;31822
03.09.2019;87.5600000;50351
04.09.2019;88.5100000;20738
05.09.2019;89.1200000;64698
06.09.2019;91.7500000;45284
09.09.2019;92.6400000;67958
10.09.2019;95.1200000;97147
11.09.2019;98.9900000;102100
12.09.2019;100.6800000;62344
13.09.2019;100.5700000;66407
16.09.2019;99.7600000;61386
17.09.2019;99.1400000;56474
18.09.2019;100.0800000;94077
19.09.2019;99.7000000;93177
20.09.2019;97.7700000;101420
23.09.2019;96.8500000;43036
24.09.2019;98.1900000;67404
25.09.2019;94.7800000;67061
26.09.2019;98.6200000;61859
27.09.2019;98.5200000;44752
30.09.2019;98.8100000;70875
01.10.2019;98.6500000;76567
02.10.2019;97.5600000;79061
03.10.2019;96.7200000;72077
04.10.2019;96.7300000;38530
07.10.2019;97.5900000;21438
08.10.2019;96.3800000;58795
09.10.2019;97.2300000;48878
10.10.2019;97.1400000;37354
11.10.2019;98.1600000;44726
14.10.2019;99.0500000;42791
15.10.2019;97.7200000;60892
16.10.2019;98.5000000;47362
17.10.2019;98.1600000;41310
18.10.2019;98.5800000;41828
21.10.2019;98.8800000;58634
22.10.2019;97.9800000;63011
23.10.2019;98.4700000;74032
24.10.2019;98.0800000;201110
25.10.2019;100.3200000;136077
28.10.2019;101.8800000;129470
29.10.2019;108.0100000;75735
30.10.2019;109.9900000;93416
31.10.2019;107.6100000;72664
01.11.2019;107.3700000;54590
04.11.2019;109.5900000;69796
05.11.2019;112.0300000;45570
06.11.2019;112.5700000;66047
07.11.2019;112.3200000;54597
08.11.2019;111.6300000;47405
11.11.2019;111.4100000;25684
12.11.2019;111.7300000;33231
13.11.2019;110.3000000;39199
14.11.2019;110.3000000;32374
15.11.2019;109.6900000;29726
18.11.2019;108.4600000;23181
19.11.2019;110.2800000;91526
20.11.2019;107.7700000;45618
21.11.2019;107.2500000;29970
22.11.2019;107.8800000;48359
25.11.2019;107.4900000;46869
26.11.2019;108.8100000;50464
27.11.2019;109.4100000;25940
29.11.2019;109.8000000;14707
02.12.2019;109.5400000;55208
03.12.2019;107.2200000;57760
04.12.2019;107.2800000;50498
05.12.2019;108.3500000;58036
06.12.2019;110.3400000;48133
09.12.2019;111.0700000;40899
10.12.2019;111.4400000;29343
11.12.2019;113.2300000;33173
12.12.2019;113.1000000;53214
13.12.2019;115.0900000;75518
16.12.2019;115.5100000;122271
17.12.2019;115.1500000;108153
18.12.2019;116.3800000;87581
19.12.2019;112.5800000;98617
20.12.2019;112.2100000;63475
23.12.2019;112.0000000;51734
24.12.2019;111.6500000;20383
26.12.2019;111.8300000;25552
27.12.2019;112.0900000;32902
30.12.2019;111.7300000;31537
31.12.2019;111.5500000;20628
02.01.2020;110.8800000;6202
03.01.2020;109.4200000;5000
06.01.2020;109.8900000;5400
07.01.2020;109.0200000;2640
08.01.2020;108.2700000;2600
09.01.2020;107.3750000;2400
10.01.2020;107.2200000;3400
13.01.2020;106.4000000;8900
14.01.2020;107.4500000;2800
15.01.2020;106.9200000;3400
16.01.2020;107.0700000;2600
17.01.2020;106.1700000;3594
21.01.2020;103.9600000;6404
22.01.2020;102.4900000;5300
23.01.2020;98.6000000;8669
24.01.2020;100.7600000;7300
27.01.2020;100.2100000;3900
28.01.2020;101.3300000;8000
29.01.2020;101.8800000;7532
30.01.2020;103.8700000;2800
31.01.2020;102.3100000;5800
03.02.2020;100.7100000;2900
04.02.2020;101.7900000;6104
05.02.2020;103.5600000;5286
06.02.2020;105.1900000;4000
07.02.2020;106.1200000;2900
10.02.2020;103.9500000;2000
11.02.2020;106.2800000;3700
12.02.2020;106.1300000;8363
13.02.2020;102.4700000;1300
14.02.2020;102.3800000;4400
18.02.2020;103.3400000;10900
19.02.2020;104.9300000;7161
20.02.2020;107.7200000;7480
21.02.2020;106.3300000;5200
24.02.2020;102.5000000;4500
25.02.2020;105.6600000;13456
26.02.2020;104.0800000;3250
27.02.2020;99.1800000;2900
28.02.2020;94.7500000;5287
02.03.2020;95.0000000;3600
03.03.2020;97.6000000;3223
04.03.2020;97.8900000;7500
05.03.2020;96.1200000;3300
06.03.2020;91.3550000;6770
09.03.2020;82.3100000;8359
10.03.2020;81.6900000;8700
11.03.2020;85.0500000;11951
12.03.2020;75.0500000;4556
13.03.2020;77.6600000;6700
16.03.2020;79.0000000;7353
17.03.2020;72.5400000;10745
18.03.2020;67.8400000;12870
19.03.2020;62.1700000;3099
20.03.2020;62.2700000;10403
23.03.2020;55.7100000;11633
24.03.2020;60.7600000;20471
25.03.2020;63.2500000;20394
26.03.2020;64.0000000;16441
27.03.2020;63.2400000;17606
30.03.2020;68.0300000;9014
31.03.2020;68.9000000;9000
01.04.2020;67.6600000;10595
02.04.2020;64.5000000;7126
03.04.2020;63.5400000;9626
06.04.2020;65.7500000;7459
07.04.2020;68.4500000;12469
08.04.2020;66.8200000;12823
09.04.2020;76.5500000;11205
13.04.2020;73.1600000;8078
14.04.2020;74.9100000;13992
15.04.2020;71.0600000;13735
16.04.2020;72.0300000;14637
17.04.2020;75.4100000;10541
20.04.2020;79.4200000;25642
21.04.2020;73.2200000;13157
22.04.2020;73.6000000;9858
23.04.2020;73.8400000;7019
24.04.2020;73.8000000;3900
27.04.2020;71.6400000;6616
28.04.2020;72.9200000;10202
29.04.2020;73.7700000;11449
30.04.2020;74.6100000;3000
01.05.2020;70.8900000;9093
04.05.2020;66.5600000;5900
05.05.2020;67.0300000;6932
06.05.2020;66.2700000;6600
07.05.2020;66.8200000;6600
08.05.2020;67.0100000;5089
11.05.2020;67.5200000;8865
12.05.2020;65.8600000;7500
13.05.2020;61.8200000;5516
14.05.2020;58.0700000;9791
15.05.2020;57.8600000;9794
18.05.2020;64.4500000;9590
19.05.2020;65.6900000;5900
20.05.2020;66.4800000;9745
21.05.2020;67.2900000;4086
22.05.2020;65.2300000;2900
26.05.2020;69.4500000;5300
27.05.2020;74.7800000;8344
28.05.2020;76.3100000;8112
29.05.2020;73.1000000;8567
01.06.2020;72.7000000;1100
02.06.2020;74.2200000;2500
03.06.2020;76.2500000;5161
04.06.2020;77.6300000;3347
05.06.2020;82.9000000;8757
08.06.2020;86.6800000;3580
09.06.2020;84.0100000;3160
10.06.2020;81.8300000;2918
11.06.2020;75.0100000;3402
12.06.2020;72.8200000;5653
15.06.2020;70.9200000;3200
16.06.2020;79.4200000;2500
17.06.2020;77.1700000;2400
18.06.2020;74.3700000;1004
19.06.2020;75.4300000;1000
22.06.2020;73.7700000;3006
23.06.2020;75.3800000;1974
24.06.2020;72.7700000;4900
25.06.2020;70.8800000;1922
26.06.2020;68.9400000;2200
29.06.2020;71.2950000;3714
30.06.2020;72.8200000;2700
01.07.2020;72.7600000;1096
02.07.2020;72.5100000;2887
06.07.2020;71.4100000;3036
07.07.2020;70.0300000;1910
08.07.2020;69.7900000;2229
09.07.2020;67.9700000;5705
10.07.2020;65.6300000;1500
13.07.2020;68.4800000;1800
14.07.2020;68.3700000;2354
15.07.2020;68.9100000;4591
16.07.2020;69.0700000;3399
17.07.2020;70.7300000;2200
20.07.2020;67.3300000;2753
21.07.2020;69.2500000;4225
22.07.2020;70.8700000;6476
23.07.2020;72.0000000;6279
24.07.2020;67.7400000;4300
27.07.2020;66.5200000;3100
28.07.2020;66.5200000;2393
29.07.2020;66.0000000;3407
30.07.2020;63.2600000;3200
31.07.2020;62.9600000;7411
03.08.2020;61.7900000;5003
04.08.2020;62.4300000;2000
05.08.2020;63.5500000;11024
06.08.2020;64.3900000;4278
07.08.2020;64.6600000;2068
10.08.2020;67.7000000;5276
11.08.2020;71.1300000;10312
12.08.2020;71.3500000;1000
13.08.2020;67.6500000;1200
14.08.2020;66.6900000;1700
17.08.2020;66.6700000;1200
18.08.2020;67.5000000;1400
19.08.2020;67.2100000;1900
20.08.2020;65.0000000;2134
21.08.2020;64.5600000;2738
24.08.2020;64.3700000;3238
25.08.2020;66.2900000;700
26.08.2020;65.8800000;1300
27.08.2020;66.0200000;2263
28.08.2020;65.5800000;1122
31.08.2020;65.3800000;1500
01.09.2020;64.4800000;600
02.09.2020;64.5200000;1526
03.09.2020;65.6400000;2770
04.09.2020;65.3100000;1500
08.09.2020;63.9000000;3900
09.09.2020;62.4100000;3146
10.09.2020;59.2200000;1825
11.09.2020;57.6400000;1400
14.09.2020;58.0100000;2064
15.09.2020;60.0100000;2509
16.09.2020;58.2500000;2100
17.09.2020;59.6000000;2000
18.09.2020;60.8900000;1000
21.09.2020;59.2250000;4072
22.09.2020;54.9100000;2400
23.09.2020;54.6050000;3484
24.09.2020;52.1700000;1000
25.09.2020;51.5100000;1100
28.09.2020;51.8300000;5800
29.09.2020;53.0300000;2200
30.09.2020;53.4700000;5800
01.10.2020;52.6900000;2600
02.10.2020;55.3800000;820
05.10.2020;55.9200000;4551
06.10.2020;57.2500000;1400
07.10.2020;56.1200000;4907
08.10.2020;58.6400000;2400
09.10.2020;60.9200000;4885
12.10.2020;62.4500000;1600
13.10.2020;60.1600000;1000
14.10.2020;60.4000000;1500
15.10.2020;61.7400000;2920
16.10.2020;64.1600000;2200
19.10.2020;64.5400000;3345
20.10.2020;66.7200000;3584
21.10.2020;65.0100000;2944
22.10.2020;62.6200000;4001
23.10.2020;64.1300000;2000
26.10.2020;62.4000000;2300
27.10.2020;62.9350000;8500
28.10.2020;60.5250000;4267
29.10.2020;60.4900000;2300
30.10.2020;64.6300000;2338
02.11.2020;63.1800000;3500
03.11.2020;66.3800000;2400
04.11.2020;63.0100000;1800
05.11.2020;64.2100000;1400
06.11.2020;65.5100000;1488
09.11.2020;73.7900000;5506
10.11.2020;71.7600000;2700
11.11.2020;75.6400000;11227
12.11.2020;73.0200000;600
13.11.2020;74.8000000;4559
16.11.2020;80.3000000;3300
17.11.2020;78.7800000;1300
18.11.2020;82.4300000;1722
19.11.2020;76.5200000;3600
20.11.2020;75.4900000;1900
23.11.2020;78.0000000;3300
24.11.2020;80.6400000;2300
25.11.2020;77.8600000;6494
27.11.2020;78.7200000;1500
30.11.2020;79.9000000;2465
01.12.2020;83.2700000;7180
02.12.2020;85.5900000;3439
03.12.2020;86.0000000;2100
04.12.2020;94.9900000;9710
07.12.2020;98.8900000;2200
08.12.2020;94.5900000;2009
09.12.2020;96.6900000;800
10.12.2020;94.5000000;3400
11.12.2020;96.7100000;1630
14.12.2020;94.6600000;2783
15.12.2020;94.6500000;2000
16.12.2020;94.7900000;1607
17.12.2020;93.9500000;1700
18.12.2020;94.5600000;3366
21.12.2020;91.4000000;3070
22.12.2020;92.8850000;4069
23.12.2020;93.7900000;1000
24.12.2020;95.1000000;1102
28.12.2020;95.8100000;1600
29.12.2020;94.2900000;3046
30.12.2020;97.0950000;2879
31.12.2020;98.3000000;1800
04.01.2021;100.5500000;2905
05.01.2021;98.3900000;2495
06.01.2021;102.6400000;4200
07.01.2021;109.8100000;4400
08.01.2021;106.9000000;1300
11.01.2021;107.0300000;3355
12.01.2021;107.6900000;2066
13.01.2021;107.1600000;2318
14.01.2021;106.5200000;2536
15.01.2021;103.2500000;1520
19.01.2021;104.1900000;1700
20.01.2021;103.5700000;677
21.01.2021;101.7600000;3903
22.01.2021;99.0800000;1100
25.01.2021;97.2800000;1700
26.01.2021;96.9500000;2464
27.01.2021;92.7450000;3770
28.01.2021;92.9050000;2734
29.01.2021;90.0000000;2100
01.02.2021;85.3900000;3099
02.02.2021;90.5000000;3504
03.02.2021;92.3100000;6731
04.02.2021;94.7900000;2218
05.02.2021;98.6900000;4100
08.02.2021;100.7500000;4000
09.02.2021;106.2400000;3320
10.02.2021;107.3700000;2500
11.02.2021;105.2400000;6000
12.02.2021;106.8050000;1200
16.02.2021;108.7500000;1800
17.02.2021;111.4600000;2000
18.02.2021;107.7000000;1800
19.02.2021;113.6600000;1600
22.02.2021;115.9700000;18365
23.02.2021;116.9500000;4810
24.02.2021;118.1700000;17586
25.02.2021;122.4600000;4906
26.02.2021;114.8100000;2206
01.03.2021;116.3400000;5100
02.03.2021;121.6400000;4244
03.03.2021;118.0900000;5201
04.03.2021;117.5500000;3515
05.03.2021;113.2000000;3835
08.03.2021;115.3200000;5100
09.03.2021;116.9700000;3300
10.03.2021;123.0000000;12551
11.03.2021;127.3000000;4600
12.03.2021;124.4900000;3641
15.03.2021;124.2500000;4600
16.03.2021;120.4000000;4009
17.03.2021;116.6800000;1300
18.03.2021;120.4500000;5800
19.03.2021;111.4400000;4497
22.03.2021;111.7700000;2900
23.03.2021;108.5000000;2202
24.03.2021;109.4000000;2700
25.03.2021;102.4950000;6740
26.03.2021;110.8500000;3117
29.03.2021;113.4600000;2700
30.03.2021;108.7300000;2300
31.03.2021;111.1200000;2400
01.04.2021;111.1000000;1907
05.04.2021;111.9300000;2200
06.04.2021;114.5900000;2322
07.04.2021;109.5600000;700
08.04.2021;108.6100000;1300
09.04.2021;110.2700000;1850
12.04.2021;110.5700000;2200
13.04.2021;110.0600000;2153
14.04.2021;112.8800000;1984
15.04.2021;113.7400000;1300
16.04.2021;114.0700000;2400
19.04.2021;112.3600000;1800
20.04.2021;109.3000000;2200
21.04.2021;109.8700000;2200
22.04.2021;110.3800000;1408
23.04.2021;112.4900000;1600
26.04.2021;114.5000000;2089
27.04.2021;116.6700000;4214
28.04.2021;121.3300000;3015
29.04.2021;119.6200000;4150
30.04.2021;126.1600000;4765
03.05.2021;121.7500000;1344
04.05.2021;127.0100000;2700
05.05.2021;132.4800000;3368
06.05.2021;139.1200000;2535
07.05.2021;139.1300000;1520
10.05.2021;136.9900000;3027
11.05.2021;132.0700000;1700
12.05.2021;137.8550000;1641
13.05.2021;135.8900000;1959
14.05.2021;129.0500000;1900
17.05.2021;131.2100000;1300
18.05.2021;132.6600000;1123
19.05.2021;125.9800000;3146
20.05.2021;127.3900000;1089
21.05.2021;127.5800000;1400
24.05.2021;123.8500000;1600
25.05.2021;122.7200000;800
26.05.2021;124.9500000;1100
27.05.2021;129.4500000;2800
28.05.2021;128.5900000;1907
01.06.2021;131.1200000;1787
