Date,Value,Prev_value
30.09.2023,"3,7","3,7"
31.08.2023,"3,7","3,2"
31.07.2023,"3,2",3
30.06.2023,3,"4,1"
31.05.2023,"4,1","4,9"
30.04.2023,"4,9",5
31.03.2023,5,6
28.02.2023,6,"6,4"
31.01.2023,"6,4","6,5"
31.12.2022,"6,5","7,1"
30.11.2022,"7,1","7,7"
31.10.2022,"7,7","8,2"
30.09.2022,"8,2","8,3"
31.08.2022,"8,3","8,5"
31.07.2022,"8,5","9,1"
30.06.2022,"9,1","8,6"
31.05.2022,"8,6","8,3"
30.04.2022,"8,3","8,5"
31.03.2022,"8,5","7,9"
28.02.2022,"7,9","7,5"
31.01.2022,"7,5",7
31.12.2021,7,"6,8"
30.11.2021,"6,8","6,2"
31.10.2021,"6,2","5,4"
30.09.2021,"5,4","5,3"
31.08.2021,"5,3","5,4"
31.07.2021,"5,4","5,4"
30.06.2021,"5,4",5
31.05.2021,5,"4,2"
30.04.2021,"4,2","2,6"
31.03.2021,"2,6","1,7"
28.02.2021,"1,7","1,4"
31.01.2021,"1,4","1,4"
31.12.2020,"1,4","1,2"
30.11.2020,"1,2","1,2"
31.10.2020,"1,2","1,4"
30.09.2020,"1,4","1,3"
31.08.2020,"1,3",1
31.07.2020,1,"0,6"
30.06.2020,"0,6","0,1"
31.05.2020,"0,1","0,3"
30.04.2020,"0,3","1,5"
31.03.2020,"1,5","2,3"
29.02.2020,"2,3","2,5"
31.01.2020,"2,5","2,3"
31.12.2019,"2,3","2,1"
30.11.2019,"2,1","1,8"
31.10.2019,"1,8","1,7"
30.09.2019,"1,7","1,7"
31.08.2019,"1,7","1,8"
31.07.2019,"1,8","1,6"
30.06.2019,"1,6","1,8"
31.05.2019,"1,8",2
30.04.2019,2,"1,9"
31.03.2019,"1,9","1,5"
28.02.2019,"1,5","1,6"
31.01.2019,"1,6","1,9"
31.12.2018,"1,9","2,2"
30.11.2018,"2,2","2,5"
31.10.2018,"2,5","2,3"
30.09.2018,"2,3","2,7"
31.08.2018,"2,7","2,9"
31.07.2018,"2,9","2,9"
30.06.2018,"2,9","2,8"
31.05.2018,"2,8","2,5"
30.04.2018,"2,5","2,4"
31.03.2018,"2,4","2,2"
28.02.2018,"2,2","2,1"
31.01.2018,"2,1","2,1"
31.12.2017,"2,1",
