"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.05.2024","919,08","918,23","919,80","911,20","","0,17%"
"30.05.2024","917,56","911,90","922,73","909,68","","0,68%"
"29.05.2024","911,40","896,38","912,95","895,49","","1,72%"
"28.05.2024","896,00","901,30","902,09","895,29","","-0,58%"
"27.05.2024","901,20","903,65","904,99","895,19","","-0,14%"
"24.05.2024","902,45","909,62","910,83","898,47","","-0,96%"
"23.05.2024","911,20","908,88","913,07","906,42","","0,42%"
"22.05.2024","907,40","888,51","910,95","888,40","","2,18%"
"21.05.2024","888,00","889,55","889,59","887,75","","-0,12%"
"20.05.2024","889,11","890,43","894,75","881,72","","0,08%"
"17.05.2024","888,43","899,18","903,83","887,28","","-1,14%"
"16.05.2024","898,66","904,73","908,22","896,67","","-0,60%"
"15.05.2024","904,10","914,50","915,50","903,17","","-1,07%"
"14.05.2024","913,90","923,77","923,80","912,51","","-0,92%"
"13.05.2024","922,40","926,90","927,11","918,07","","-0,40%"
"10.05.2024","926,10","925,95","929,49","917,25","","0,17%"
"09.05.2024","924,50","937,80","940,75","924,20","","-1,29%"
"08.05.2024","936,60","938,40","941,40","930,72","","-0,03%"
"07.05.2024","936,90","930,40","939,25","924,59","","0,76%"
"06.05.2024","929,80","938,97","939,04","926,33","","-0,96%"
"03.05.2024","938,78","944,95","944,95","931,69","","-0,54%"
"02.05.2024","943,90","960,50","961,00","944,90","","-1,63%"
"01.05.2024","959,50","960,27","960,50","960,27","","0,05%"
"30.04.2024","959,04","941,87","961,10","941,70","","1,86%"
"29.04.2024","941,50","949,35","949,51","938,50","","-0,77%"
"26.04.2024","948,83","949,11","952,13","942,43","","0,00%"
"25.04.2024","948,83","950,85","952,40","942,05","","-0,08%"
"24.04.2024","949,60","956,35","961,66","949,50","","-0,63%"
"23.04.2024","955,60","952,60","956,85","945,96","","0,42%"
"22.04.2024","951,60","955,00","960,94","948,48","","-0,30%"
"19.04.2024","954,44","965,13","973,18","949,55","","-1,17%"
"18.04.2024","965,70","978,03","978,60","962,43","","-1,21%"
"17.04.2024","977,50","980,50","982,50","970,57","","-0,24%"
"16.04.2024","979,90","978,88","989,60","978,05","","0,17%"
"15.04.2024","978,20","964,63","982,49","964,63","","1,43%"
"12.04.2024","964,38","956,33","971,17","954,85","","1,01%"
"11.04.2024","954,70","954,33","961,12","951,20","","0,09%"
"10.04.2024","953,80","941,52","960,24","937,00","","1,37%"
"09.04.2024","940,92","944,58","944,80","936,09","","-0,33%"
"08.04.2024","944,00","948,75","956,75","939,63","","-0,44%"
"05.04.2024","948,15","942,55","954,35","940,40","","0,66%"
"04.04.2024","941,90","954,78","955,29","937,57","","-1,32%"
"03.04.2024","954,50","974,73","977,30","952,16","","-2,02%"
"02.04.2024","974,20","984,90","986,79","973,91","","-1,02%"
"01.04.2024","984,20","979,77","988,18","971,53","","0,53%"
"29.03.2024","978,97","979,77","980,15","979,40","","0,00%"
