date;usd_to_rub;usd_to_rub_change
27.10.2023;94,125;0,18%
26.10.2023;93,96;0,67%
25.10.2023;93,3325;-0,07%
24.10.2023;93,4;-1,09%
23.10.2023;94,425;-0,94%
20.10.2023;95,32;-1,78%
19.10.2023;97,05;-0,35%
18.10.2023;97,39;-0,32%
17.10.2023;97,7;0,31%
16.10.2023;97,3975;0,16%
13.10.2023;97,24;-0,19%
12.10.2023;97,4275;-2,77%
11.10.2023;100,2;-0,10%
10.10.2023;100,3;0,98%
09.10.2023;99,3225;-1,07%
06.10.2023;100,4014;0,00%
05.10.2023;100,405;0,83%
04.10.2023;99,58;-0,03%
03.10.2023;99,6125;-0,15%
02.10.2023;99,765;1,83%
29.09.2023;97,9675;1,20%
28.09.2023;96,8025;-0,11%
27.09.2023;96,9075;0,55%
26.09.2023;96,3775;0,15%
25.09.2023;96,235;-0,02%
22.09.2023;96,25;0,35%
21.09.2023;95,91;-0,25%
20.09.2023;96,15;-0,71%
19.09.2023;96,84;0,31%
18.09.2023;96,545;-0,27%
15.09.2023;96,81;-0,54%
14.09.2023;97,34;1,16%
13.09.2023;96,225;1,35%
12.09.2023;94,9425;-0,15%
11.09.2023;95,0825;-2,76%
08.09.2023;97,7825;-0,47%
07.09.2023;98,2475;0,13%
06.09.2023;98,1225;0,22%
05.09.2023;97,905;1,07%
04.09.2023;96,87;0,81%
01.09.2023;96,09;0,07%
31.08.2023;96,025;-0,20%
30.08.2023;96,22;0,80%
29.08.2023;95,4575;0,15%
28.08.2023;95,31;-0,11%
25.08.2023;95,4175;0,58%
24.08.2023;94,865;0,64%
23.08.2023;94,26;-0,05%
22.08.2023;94,3025;0,69%
21.08.2023;93,655;-0,11%
18.08.2023;93,755;-0,02%
17.08.2023;93,7725;-0,94%
16.08.2023;94,665;-2,50%
15.08.2023;97,09;-0,59%
14.08.2023;97,6625;-1,78%
11.08.2023;99,43;2,02%
10.08.2023;97,4575;0,26%
09.08.2023;97,2;0,10%
08.08.2023;97,1;1,92%
07.08.2023;95,275;-0,43%
04.08.2023;95,685;0,73%
