"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.05.2024","1.815,00","1.815,00","1.815,00","1.815,00","","0,78%"
"30.05.2024","1.801,00","1.801,00","1.801,00","1.801,00","","0,61%"
"29.05.2024","1.790,00","1.790,00","1.790,00","1.790,00","","0,34%"
"28.05.2024","1.784,00","1.784,00","1.784,00","1.784,00","","-0,72%"
"24.05.2024","1.797,00","1.797,00","1.797,00","1.797,00","","0,06%"
"23.05.2024","1.796,00","1.796,00","1.796,00","1.796,00","","-0,44%"
"22.05.2024","1.804,00","1.804,00","1.804,00","1.804,00","","-1,37%"
"21.05.2024","1.829,00","1.829,00","1.829,00","1.829,00","","-0,97%"
"20.05.2024","1.847,00","1.847,00","1.847,00","1.847,00","","0,16%"
"17.05.2024","1.844,00","1.844,00","1.844,00","1.844,00","","1,49%"
"16.05.2024","1.817,00","1.817,00","1.817,00","1.817,00","","-3,81%"
"15.05.2024","1.889,00","1.889,00","1.889,00","1.889,00","","-5,22%"
"14.05.2024","1.993,00","1.993,00","1.993,00","1.993,00","","-3,53%"
"13.05.2024","2.066,00","2.066,00","2.066,00","2.066,00","","-2,96%"
"10.05.2024","2.129,00","2.129,00","2.129,00","2.129,00","","-1,71%"
"09.05.2024","2.166,00","2.166,00","2.166,00","2.166,00","","-1,68%"
"08.05.2024","2.203,00","2.203,00","2.203,00","2.203,00","","5,76%"
"07.05.2024","2.083,00","2.083,00","2.083,00","2.083,00","","11,03%"
"03.05.2024","1.876,00","1.876,00","1.876,00","1.876,00","","5,75%"
"02.05.2024","1.774,00","1.774,00","1.774,00","1.774,00","","5,09%"
"01.05.2024","1.688,00","1.688,00","1.688,00","1.688,00","","0,18%"
"30.04.2024","1.685,00","1.685,00","1.685,00","1.685,00","","0,06%"
"29.04.2024","1.684,00","1.684,00","1.684,00","1.684,00","","-2,15%"
"26.04.2024","1.721,00","1.721,00","1.721,00","1.721,00","","-1,26%"
"25.04.2024","1.743,00","1.743,00","1.743,00","1.743,00","","-1,75%"
"24.04.2024","1.774,00","1.774,00","1.774,00","1.774,00","","-1,66%"
"23.04.2024","1.804,00","1.804,00","1.804,00","1.804,00","","-4,14%"
"22.04.2024","1.882,00","1.882,00","1.882,00","1.882,00","","-1,93%"
"19.04.2024","1.919,00","1.919,00","1.919,00","1.919,00","","0,95%"
"18.04.2024","1.901,00","1.901,00","1.901,00","1.901,00","","3,09%"
"17.04.2024","1.844,00","1.844,00","1.844,00","1.844,00","","3,65%"
"16.04.2024","1.779,00","1.779,00","1.779,00","1.779,00","","2,83%"
"15.04.2024","1.730,00","1.730,00","1.730,00","1.730,00","","0,06%"
"12.04.2024","1.729,00","1.729,00","1.729,00","1.729,00","","2,31%"
"11.04.2024","1.690,00","1.690,00","1.690,00","1.690,00","","6,49%"
"10.04.2024","1.587,00","1.587,00","1.587,00","1.587,00","","1,08%"
"09.04.2024","1.570,00","1.570,00","1.570,00","1.570,00","","-1,51%"
"08.04.2024","1.594,00","1.594,00","1.594,00","1.594,00","","-2,09%"
"05.04.2024","1.628,00","1.628,00","1.628,00","1.628,00","","-2,46%"
"04.04.2024","1.669,00","1.669,00","1.669,00","1.669,00","","-2,45%"
"03.04.2024","1.711,00","1.711,00","1.711,00","1.711,00","","-0,18%"
"02.04.2024","1.714,00","1.714,00","1.714,00","1.714,00","","-5,88%"
"28.03.2024","1.821,00","1.821,00","1.821,00","1.821,00","","-1,30%"
"27.03.2024","1.845,00","1.845,00","1.845,00","1.845,00","","-7,24%"
