"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.05.2024","8.238,95","8.405,72","8.444,56","8.228,40","0,00K","-3,46%"
"30.05.2024","8.534,37","8.683,09","8.695,50","8.519,49","0,00K","-1,01%"
"29.05.2024","8.621,84","8.598,78","8.639,90","8.497,61","0,00K","-0,18%"
"28.05.2024","8.637,77","8.671,23","8.773,67","8.579,06","0,00K","-0,02%"
"27.05.2024","8.639,87","8.924,53","8.932,23","8.637,37","0,00K","-4,28%"
"24.05.2024","9.026,06","9.161,16","9.167,44","8.989,99","0,00K","-1,81%"
"23.05.2024","9.192,58","9.036,90","9.192,58","9.022,56","0,00K","0,94%"
"22.05.2024","9.106,99","9.121,67","9.150,65","9.096,85","0,00K","-0,25%"
"21.05.2024","9.129,78","9.064,49","9.132,71","9.052,02","0,00K","0,04%"
"20.05.2024","9.126,43","9.242,24","9.255,58","9.126,43","0,00K","-0,32%"
"17.05.2024","9.155,63","9.116,19","9.213,24","9.108,80","0,00K","0,40%"
"16.05.2024","9.118,76","9.171,07","9.187,66","9.104,34","0,00K","-0,04%"
"15.05.2024","9.122,06","9.081,06","9.142,39","9.076,10","0,00K","0,78%"
"14.05.2024","9.051,73","9.067,16","9.067,16","9.017,78","0,00K","0,21%"
"13.05.2024","9.033,08","9.026,14","9.052,49","9.023,20","0,00K","0,45%"
"10.05.2024","8.992,65","8.970,02","9.019,48","8.970,02","0,00K","0,94%"
"08.05.2024","8.908,91","8.882,05","8.916,74","8.875,24","","0,43%"
"07.05.2024","8.870,84","8.859,15","8.872,91","8.831,06","","-0,05%"
"06.05.2024","8.875,20","8.850,44","8.882,89","8.818,47","","0,58%"
"03.05.2024","8.824,36","8.845,92","8.871,87","8.793,03","","0,18%"
"02.05.2024","8.808,73","8.899,78","8.921,30","8.808,73","","-0,83%"
"30.04.2024","8.882,22","8.923,30","8.931,06","8.848,50","","-0,41%"
"29.04.2024","8.918,68","8.905,00","8.925,38","8.883,64","","0,02%"
"26.04.2024","8.916,65","8.907,42","8.960,92","8.891,03","","0,41%"
"25.04.2024","8.880,34","8.837,44","8.898,93","8.808,15","","0,54%"
"24.04.2024","8.832,73","8.855,82","8.892,96","8.811,80","","-0,03%"
"23.04.2024","8.835,28","8.928,70","8.935,66","8.828,70","","-1,16%"
"22.04.2024","8.939,26","8.924,66","8.951,06","8.909,26","","-0,36%"
"19.04.2024","8.971,47","8.967,15","8.982,13","8.928,67","","0,11%"
"18.04.2024","8.961,46","8.961,63","8.990,54","8.920,43","","0,18%"
"17.04.2024","8.945,53","8.971,75","8.979,27","8.909,45","","-0,45%"
"16.04.2024","8.986,35","9.069,36","9.071,32","8.961,71","","-0,92%"
"15.04.2024","9.070,09","9.089,51","9.098,48","9.022,30","","-0,73%"
"12.04.2024","9.136,91","9.051,39","9.167,09","9.051,39","","1,79%"
"11.04.2024","8.976,58","9.021,75","9.045,94","8.960,95","","-0,09%"
"10.04.2024","8.984,87","8.920,58","8.995,96","8.842,18","","1,50%"
"09.04.2024","8.851,79","8.828,69","8.911,83","8.794,18","","0,73%"
"08.04.2024","8.788,04","8.746,12","8.825,14","8.727,90","","1,25%"
"05.04.2024","8.679,50","8.633,49","8.703,08","8.620,75","","-0,45%"
"04.04.2024","8.718,84","8.698,64","8.726,21","8.655,01","","0,57%"
"03.04.2024","8.669,74","8.620,17","8.680,47","8.601,94","","0,98%"
"02.04.2024","8.585,31","8.527,27","8.599,65","8.500,91","","1,01%"
"01.04.2024","8.499,50","8.464,59","8.542,36","8.464,59","","0,72%"
"29.03.2024","8.438,68","8.405,87","8.438,68","8.359,00","","0,64%"
"28.03.2024","8.384,81","8.395,06","8.400,27","8.328,98","","0,14%"
"27.03.2024","8.372,87","8.348,21","8.372,87","8.285,68","","0,76%"
"26.03.2024","8.309,36","8.314,91","8.333,11","8.291,60","","0,18%"
"25.03.2024","8.294,83","8.168,85","8.294,83","8.145,92","","0,46%"
"22.03.2024","8.257,16","8.299,11","8.299,11","8.219,26","","-0,11%"
"21.03.2024","8.266,42","8.242,24","8.266,83","8.156,82","","1,30%"
"20.03.2024","8.160,05","8.142,30","8.195,14","8.119,58","","0,28%"
"19.03.2024","8.137,43","8.196,24","8.211,61","8.087,40","","-0,90%"
"18.03.2024","8.211,43","8.245,73","8.257,81","8.196,23","","-0,07%"
"15.03.2024","8.217,52","8.164,15","8.237,09","8.162,33","","0,27%"
"14.03.2024","8.195,33","8.223,98","8.243,04","8.159,52","","-0,61%"
"13.03.2024","8.245,35","8.243,12","8.276,29","8.233,42","","0,37%"
"12.03.2024","8.215,03","8.196,56","8.217,50","8.147,18","","0,41%"
"11.03.2024","8.181,88","8.209,67","8.238,82","8.175,30","","0,02%"
"07.03.2024","8.179,99","8.186,74","8.224,64","8.157,30","","-0,03%"
"06.03.2024","8.182,37","8.111,02","8.189,17","8.094,81","","0,84%"
"05.03.2024","8.114,40","8.134,41","8.145,61","8.077,95","","0,25%"
"04.03.2024","8.094,14","8.024,35","8.099,55","8.021,37","","1,38%"
"01.03.2024","7.983,79","7.955,71","7.991,66","7.909,70","","0,46%"
"29.02.2024","7.947,52","7.902,17","7.959,94","7.880,57","","0,51%"
"28.02.2024","7.907,09","7.914,67","7.922,30","7.887,93","","0,07%"
"27.02.2024","7.901,29","7.938,09","7.974,42","7.885,84","","-0,30%"
"26.02.2024","7.925,35","7.842,49","7.926,80","7.842,49","","2,02%"
"22.02.2024","7.768,37","7.784,35","7.837,14","7.756,04","","0,71%"
"21.02.2024","7.713,32","7.819,06","7.866,98","7.713,32","","-2,66%"
"20.02.2024","7.924,11","8.002,77","8.004,45","7.924,11","","-1,13%"
"19.02.2024","8.014,71","8.033,54","8.056,43","7.986,99","","-0,11%"
"16.02.2024","8.023,27","8.126,08","8.133,46","8.019,87","","-1,06%"
"15.02.2024","8.109,18","8.103,34","8.109,18","8.040,03","","-0,23%"
"14.02.2024","8.127,67","8.155,81","8.168,14","8.112,89","","-0,02%"
"13.02.2024","8.129,21","8.154,79","8.181,03","8.117,01","","-0,14%"
"12.02.2024","8.141,00","8.213,39","8.213,75","8.093,12","","-0,77%"
"09.02.2024","8.203,93","8.150,79","8.203,93","8.136,12","","0,03%"
"08.02.2024","8.201,39","8.288,55","8.288,55","8.192,17","","-0,99%"
"07.02.2024","8.283,48","8.327,12","8.330,06","8.273,62","","-0,42%"
"06.02.2024","8.318,14","8.352,74","8.358,10","8.303,88","","-0,25%"
"05.02.2024","8.338,79","8.327,04","8.351,47","8.313,62","","0,12%"
"02.02.2024","8.328,44","8.377,61","8.411,86","8.321,78","","-0,46%"
"01.02.2024","8.367,22","8.368,18","8.402,93","8.349,95","","0,13%"
"31.01.2024","8.356,76","8.349,37","8.361,62","8.319,80","","0,45%"
"30.01.2024","8.318,91","8.199,10","8.318,91","8.198,29","","1,53%"
"29.01.2024","8.193,94","8.167,64","8.207,31","8.143,52","","0,44%"
"26.01.2024","8.157,94","8.183,27","8.200,20","8.141,30","","-0,24%"
"25.01.2024","8.177,69","8.189,03","8.189,65","8.126,12","","0,00%"
"24.01.2024","8.177,79","8.226,25","8.245,92","8.138,09","","-0,73%"
"23.01.2024","8.237,53","8.292,26","8.292,26","8.198,07","","-0,46%"
"22.01.2024","8.275,53","8.243,70","8.302,42","8.236,78","","0,84%"
"19.01.2024","8.206,71","8.181,02","8.219,39","8.130,27","","-0,17%"
"18.01.2024","8.220,42","8.258,28","8.273,12","8.209,79","","-0,36%"
"17.01.2024","8.250,29","8.249,94","8.282,55","8.227,85","","-0,09%"
"16.01.2024","8.257,53","8.272,10","8.272,10","8.201,18","","-0,14%"
"15.01.2024","8.269,32","8.282,82","8.330,23","8.229,94","","0,17%"
"12.01.2024","8.255,33","8.212,72","8.298,09","8.184,03","","0,45%"
"11.01.2024","8.218,65","8.023,17","8.218,65","7.988,93","","2,44%"
"10.01.2024","8.022,95","8.008,56","8.056,12","7.990,23","","0,23%"
"09.01.2024","8.004,57","8.022,17","8.024,86","7.978,52","","0,10%"
"08.01.2024","7.996,63","7.957,40","7.996,63","7.951,50","","0,71%"
"05.01.2024","7.940,53","7.951,14","7.955,68","7.896,95","","0,12%"
"04.01.2024","7.930,63","7.910,54","7.942,80","7.907,22","","0,72%"
"03.01.2024","7.873,97","7.772,39","7.879,23","7.770,87","","1,32%"
"29.12.2023","7.771,69","7.756,41","7.780,78","7.739,12","","-0,18%"
"28.12.2023","7.785,49","7.765,93","7.788,78","7.743,67","","0,10%"
"27.12.2023","7.777,77","7.791,58","7.806,11","7.767,97","","0,08%"
"26.12.2023","7.771,71","7.735,86","7.782,43","7.727,48","","-0,30%"
"25.12.2023","7.795,31","7.829,10","7.864,15","7.786,83","","-0,36%"
"22.12.2023","7.823,52","7.807,24","7.860,69","7.788,95","","0,40%"
"21.12.2023","7.792,21","7.783,92","7.804,52","7.706,13","","-0,16%"
"20.12.2023","7.804,82","7.733,71","7.827,84","7.718,48","","1,49%"
"19.12.2023","7.690,48","7.628,84","7.702,44","7.611,04","","1,24%"
"18.12.2023","7.596,35","7.562,67","7.645,12","7.551,84","","1,32%"
"15.12.2023","7.497,70","7.355,00","7.504,53","7.349,88","","1,23%"
"14.12.2023","7.406,81","7.456,43","7.473,23","7.406,81","","0,04%"
"13.12.2023","7.403,52","7.357,15","7.440,11","7.335,41","","0,05%"
"12.12.2023","7.399,58","7.447,96","7.457,52","7.366,09","","-0,90%"
"11.12.2023","7.466,71","7.569,87","7.580,33","7.466,71","","-1,31%"
"08.12.2023","7.565,54","7.578,94","7.629,14","7.546,56","","0,10%"
"07.12.2023","7.557,65","7.502,52","7.561,55","7.438,39","","0,15%"
"06.12.2023","7.546,19","7.688,22","7.697,50","7.528,77","","-1,51%"
"05.12.2023","7.662,23","7.645,60","7.678,91","7.593,16","","-0,15%"
"04.12.2023","7.673,37","7.639,89","7.722,17","7.618,71","","0,02%"
"01.12.2023","7.671,85","7.679,15","7.702,96","7.642,34","","-0,43%"
"30.11.2023","7.704,81","7.805,94","7.817,51","7.669,82","","-1,30%"
