Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,63.700001,64.500000,63.450001,64.099998,46.945484,5346548
2017-11-02,63.750000,64.300003,63.650002,64.150002,46.982101,5109214
2017-11-03,64.150002,64.400002,63.599998,64.000000,46.872250,4254783
2017-11-06,64.099998,64.849998,63.700001,64.150002,46.982101,4453843
2017-11-07,64.099998,64.449997,63.799999,63.849998,46.762386,4083485
2017-11-08,63.650002,63.799999,62.950001,63.500000,46.506054,5266481
2017-11-09,62.250000,62.599998,60.549999,60.900002,44.601871,11391736
2017-11-10,60.799999,61.750000,60.650002,61.000000,44.675110,5164015
2017-11-13,61.150002,61.549999,59.900002,60.599998,44.382160,5164136
2017-11-14,60.799999,61.000000,59.650002,59.650002,43.686401,5671355
2017-11-15,59.049999,59.500000,58.650002,59.200001,43.356831,5222883
2017-11-16,59.500000,60.599998,59.450001,60.000000,43.942730,5998675
2017-11-17,60.200001,60.750000,59.650002,59.700001,43.723015,4904166
2017-11-20,59.450001,59.450001,58.450001,59.049999,43.246967,5098635
2017-11-21,59.150002,59.849998,58.849998,59.700001,43.723015,5373208
2017-11-22,59.750000,61.549999,59.500000,61.349998,44.931438,6342692
2017-11-23,61.000000,61.849998,60.750000,61.750000,45.224396,4689501
2017-11-24,61.700001,61.799999,61.049999,61.700001,45.187771,2751772
2017-11-27,61.150002,61.549999,60.099998,60.250000,44.125824,6371313
2017-11-28,59.900002,60.099998,59.099998,59.299999,43.430065,6278076
2017-11-29,60.099998,60.450001,59.200001,59.200001,43.356831,8017270
2017-11-30,58.599998,58.900002,56.400002,56.549999,41.416019,13352706
2017-12-01,57.000000,57.150002,55.950001,56.250000,41.196304,6183028
2017-12-04,56.349998,56.849998,56.099998,56.400002,41.306168,5374945
2017-12-05,55.500000,56.049999,54.700001,55.099998,40.354073,6852962
2017-12-06,54.000000,54.250000,53.500000,53.849998,39.438599,7074919
2017-12-07,53.250000,54.400002,53.200001,53.750000,39.365364,7168444
2017-12-08,53.450001,54.099998,53.450001,53.700001,39.328747,5468730
2017-12-11,54.200001,55.500000,54.049999,55.250000,40.463928,6355986
2017-12-12,55.599998,56.000000,55.150002,56.000000,41.013214,8319407
2017-12-13,56.200001,56.750000,56.000000,56.349998,41.269543,6758633
2017-12-14,56.200001,57.349998,56.200001,57.099998,41.818825,5894525
2017-12-15,57.099998,57.250000,56.400002,56.750000,41.562496,7504412
2017-12-18,57.049999,57.299999,56.700001,57.250000,41.928688,3322456
2017-12-19,57.650002,58.549999,57.500000,58.099998,42.551205,5969197
2017-12-20,58.650002,58.799999,57.950001,58.700001,42.990639,4040977
2017-12-21,59.349998,61.150002,59.200001,61.150002,44.784969,7124938
2017-12-22,61.049999,61.450001,60.500000,61.200001,44.821583,3181908
2017-12-27,61.250000,61.849998,61.250000,61.849998,45.297626,3227667
2017-12-28,61.900002,62.750000,61.799999,62.750000,45.956772,2655568
2017-12-29,62.849998,63.150002,62.349998,62.349998,45.663822,2914867
2018-01-02,63.400002,63.400002,61.720001,62.700001,45.920155,4639365
2018-01-03,62.860001,63.139999,61.040001,61.060001,44.719051,7270513
2018-01-04,61.599998,61.779999,61.099998,61.139999,44.777637,5235602
2018-01-05,61.459999,61.799999,60.439999,60.520000,44.323570,4576207
2018-01-08,60.919998,61.340000,60.560001,60.660000,44.426098,3511169
2018-01-09,60.939999,62.520000,60.919998,61.860001,45.304958,7175602
2018-01-10,61.860001,62.160000,60.980000,62.119999,45.495373,4525685
2018-01-11,62.200001,62.520000,61.880001,62.220001,45.568607,4434394
2018-01-12,62.560001,62.799999,61.560001,61.740002,45.217072,4604575
2018-01-15,62.200001,62.639999,62.080002,62.299999,45.627201,3098072
2018-01-16,61.779999,62.020000,60.520000,60.660000,44.426098,4270691
2018-01-17,60.160000,61.020000,59.820000,60.939999,44.631165,5915917
2018-01-18,59.860001,60.500000,59.520000,59.759998,43.766956,5334025
2018-01-19,59.759998,61.259998,59.700001,60.799999,44.528633,5354583
2018-01-22,60.939999,61.040001,60.480000,60.840000,44.557926,3564492
2018-01-23,60.900002,60.900002,58.720001,58.980000,43.195705,5354117
2018-01-24,58.820000,59.139999,58.040001,58.220001,42.639095,6084395
2018-01-25,58.240002,58.680000,57.360001,57.500000,42.111782,6092720
2018-01-26,57.400002,57.619999,56.799999,57.419998,42.053188,5089715
2018-01-29,57.820000,58.040001,57.299999,57.779999,42.316845,4389758
2018-01-30,57.099998,57.299999,56.060001,56.060001,41.057156,6223998
2018-01-31,56.500000,57.520000,56.080002,56.200001,41.159695,7038387
2018-02-01,56.380001,57.160000,56.180000,56.900002,41.672352,4492116
2018-02-02,57.000000,57.200001,55.220001,55.400002,40.573788,4057626
2018-02-05,55.200001,56.959999,55.000000,56.959999,41.716297,5781028
2018-02-06,54.500000,56.599998,53.540001,55.820000,40.881386,6379202
2018-02-07,56.980000,57.299999,54.980000,55.400002,40.573788,5858148
2018-02-08,55.000000,55.360001,53.919998,54.700001,40.061123,5973921
2018-02-09,54.000000,55.220001,53.820000,54.820000,40.149010,5526651
2018-02-12,55.200001,56.139999,54.860001,55.680000,40.778851,4879815
2018-02-13,55.720001,55.880001,55.220001,55.680000,40.778851,5511438
2018-02-14,55.799999,56.360001,54.939999,56.340000,41.262222,4596743
2018-02-15,56.880001,58.080002,56.599998,56.680000,41.511227,5341848
2018-02-16,58.799999,59.419998,56.720001,57.639999,42.214317,6669991
2018-02-19,57.660000,58.000000,55.700001,56.000000,41.013214,5079233
2018-02-20,56.299999,56.580002,55.779999,56.259998,41.203632,4342436
2018-02-21,56.099998,56.119999,55.419998,55.880001,40.925323,5132970
2018-02-22,55.340000,57.000000,55.040001,56.240002,41.188988,6225206
2018-02-23,56.400002,56.520000,56.099998,56.160000,41.130394,3595620
2018-02-26,56.240002,56.980000,55.919998,56.040001,41.042515,4323855
2018-02-27,54.680000,55.119999,54.000000,54.500000,39.914642,9333385
2018-02-28,54.000000,54.080002,53.360001,53.639999,39.284805,6468433
2018-03-01,53.000000,53.099998,52.240002,52.660000,38.567066,7004514
2018-03-02,52.099998,52.400002,51.400002,52.180000,38.215527,7788704
2018-03-05,52.160000,52.540001,51.060001,51.759998,37.907928,6274145
2018-03-06,52.480000,52.840000,51.900002,52.840000,38.698895,7174420
2018-03-07,52.200001,52.439999,51.200001,51.740002,37.893276,5405584
2018-03-08,51.580002,52.080002,51.080002,51.439999,37.673565,5976812
2018-03-09,51.279999,52.240002,50.900002,52.060001,38.127640,5646131
2018-03-12,51.500000,51.779999,50.040001,51.240002,37.527092,5876079
2018-03-13,50.160000,50.980000,50.000000,50.099998,36.692181,5924439
2018-03-14,50.299999,50.779999,49.639999,49.709999,36.406551,5453091
2018-03-15,49.709999,50.400002,48.820000,48.919998,35.827969,6232328
2018-03-16,48.500000,48.889999,47.759998,48.520000,35.535019,9627606
2018-03-19,48.000000,48.090000,47.240002,47.389999,34.707436,6399732
2018-03-20,47.209999,47.880001,46.770000,47.009998,34.429127,5763098
2018-03-21,46.759998,47.299999,45.490002,47.070000,34.473068,10778964
2018-03-22,47.049999,47.439999,45.830002,46.099998,33.762665,9612621
2018-03-23,45.750000,47.090000,45.360001,46.779999,34.260685,9925246
2018-03-26,46.779999,47.599998,46.119999,46.189999,33.828579,6278704
2018-03-27,47.090000,47.349998,46.439999,46.520000,34.070263,5569326
2018-03-28,46.259998,46.270000,44.939999,45.950001,33.652805,5552564
2018-04-03,46.020000,47.500000,45.330002,46.709999,34.209415,10294087
2018-04-04,47.000000,47.230000,45.459999,45.970001,33.667458,9665939
2018-04-05,46.939999,47.290001,46.490002,47.150002,34.531658,5742906
2018-04-06,46.680000,46.820000,45.250000,45.599998,33.396469,6262721
2018-04-09,46.709999,48.770000,46.660000,48.619999,35.608257,15473730
2018-04-10,49.320000,49.680000,48.099998,48.439999,35.476433,11544445
2018-04-11,48.419998,49.830002,48.369999,49.360001,36.150219,9389931
2018-04-12,49.860001,50.799999,49.549999,50.360001,36.882599,8307639
2018-04-13,50.980000,51.939999,50.840000,51.459999,37.688213,8206199
2018-04-16,51.880001,52.340000,50.680000,52.240002,38.259472,7738876
2018-04-17,52.500000,52.959999,50.840000,51.700001,37.863987,10217645
2018-04-18,52.639999,54.340000,51.919998,54.000000,39.548458,12007768
2018-04-19,56.400002,56.400002,53.099998,53.520000,39.196918,11992452
2018-04-20,53.660000,53.980000,53.119999,53.240002,38.991852,6316816
2018-04-23,53.660000,53.980000,49.900002,50.720001,37.146259,12326379
2018-04-24,50.700001,51.520000,50.220001,50.580002,37.043724,9959339
2018-04-25,50.639999,51.439999,47.700001,51.160000,37.468502,7843603
2018-04-26,51.119999,52.880001,49.930000,51.540001,37.746799,11509881
2018-04-27,51.580002,51.680000,50.320000,50.500000,36.985130,4642932
2018-04-30,50.500000,50.919998,50.020000,50.060001,36.662884,5995678
2018-05-02,50.180000,50.799999,49.509998,50.740002,37.160900,6771971
2018-05-03,50.799999,50.980000,50.119999,50.340000,36.867947,4318792
2018-05-04,50.560001,51.340000,50.220001,50.840000,37.234142,5636388
2018-05-07,50.000000,50.240002,48.750000,50.060001,36.662884,6876973
2018-05-08,48.849998,48.849998,47.500000,48.660000,36.928505,5760758
2018-05-09,48.549999,49.279999,48.000000,48.639999,36.913326,6739667
2018-05-11,48.880001,49.230000,48.070000,48.389999,36.723595,5783919
2018-05-14,48.369999,48.369999,47.450001,47.770000,36.253078,6630482
2018-05-15,47.590000,48.189999,47.299999,47.830002,36.298611,5492208
2018-05-16,47.930000,51.660000,47.790001,51.540001,39.114159,10931783
2018-05-18,51.799999,51.959999,50.540001,51.299999,38.932026,7920180
2018-05-22,50.900002,51.820000,50.000000,51.700001,39.235584,6434002
2018-05-23,51.279999,51.380001,50.080002,50.500000,38.324898,5717238
2018-05-24,50.500000,51.020000,49.500000,49.750000,37.755711,3873924
2018-05-25,49.990002,50.240002,49.410000,49.410000,37.497684,3713542
2018-05-28,49.540001,50.779999,49.500000,50.119999,38.036507,2665389
2018-05-29,51.000000,52.180000,51.000000,51.700001,39.235584,9598045
2018-05-30,51.320000,51.680000,50.680000,51.599998,39.159691,5739602
2018-05-31,52.000000,52.180000,51.279999,51.340000,38.962379,8495259
2018-06-01,51.279999,51.980000,51.119999,51.980000,39.448078,3783955
2018-06-04,52.279999,52.400002,51.459999,52.000000,39.463257,3600900
2018-06-05,52.000000,53.160000,51.759998,52.900002,40.146278,4938676
2018-06-06,53.119999,53.720001,53.119999,53.419998,40.540905,4142244
2018-06-07,53.639999,54.060001,53.220001,53.619999,40.692692,5494946
2018-06-08,53.880001,54.279999,53.380001,53.720001,40.768581,6385144
2018-06-11,54.119999,54.880001,53.919998,54.279999,41.193569,5862386
2018-06-12,53.000000,53.400002,52.060001,53.320000,40.465023,8079426
2018-06-13,53.320000,53.599998,52.619999,53.599998,40.677513,4764957
2018-06-14,53.000000,53.360001,52.400002,53.099998,40.298058,5429708
2018-06-15,53.080002,54.840000,52.840000,54.099998,41.056965,10725480
2018-06-18,53.720001,53.860001,52.680000,53.139999,40.328415,4792222
2018-06-19,52.299999,52.400002,51.720001,52.180000,39.599857,4890346
2018-06-20,52.200001,53.340000,52.000000,52.380001,39.751640,4559647
2018-06-21,52.720001,52.779999,51.259998,51.540001,39.114159,3759661
2018-06-22,51.439999,51.540001,51.040001,51.160000,38.825775,3946978
2018-06-25,51.180000,51.240002,49.900002,50.020000,37.960617,3429121
2018-06-26,50.000000,50.400002,49.070000,49.279999,37.399025,4582028
2018-06-27,49.400002,50.139999,48.400002,49.830002,37.816429,4477633
2018-06-28,49.610001,49.799999,48.759998,48.759998,37.004395,4307879
2018-06-29,49.259998,49.919998,48.689999,48.790001,37.027161,7144809
2018-07-02,48.500000,48.520000,47.779999,48.119999,36.518692,4358260
2018-07-03,48.160000,48.669998,47.540001,48.310001,36.662884,5198210
2018-07-04,48.060001,48.310001,47.549999,47.619999,36.139233,2438059
2018-07-05,47.570000,48.450001,47.549999,48.080002,36.488342,4386116
2018-07-06,48.040001,48.430000,47.080002,47.139999,35.774960,4214449
2018-07-09,47.540001,48.209999,47.540001,47.919998,36.366909,2555231
2018-07-10,48.169998,48.369999,47.660000,48.049999,36.465572,2967122
2018-07-11,47.509998,47.630001,46.419998,46.799999,35.516933,4444308
2018-07-12,47.000000,47.279999,46.700001,47.090000,35.737019,3404463
2018-07-13,47.189999,47.270000,46.299999,46.779999,35.501759,2970402
2018-07-16,47.299999,47.299999,46.639999,46.810001,35.524525,3511189
2018-07-17,47.180000,48.400002,46.939999,48.200001,36.579403,4790676
2018-07-18,47.200001,48.000000,47.000000,47.320000,35.911560,4296767
2018-07-19,47.299999,47.750000,46.610001,46.680000,35.425861,4406730
2018-07-20,46.400002,46.549999,45.119999,45.400002,34.454460,6429611
2018-07-23,45.500000,45.950001,45.049999,45.730000,34.704903,3972542
2018-07-24,46.000000,47.939999,45.799999,47.299999,35.896385,7424744
2018-07-25,46.990002,46.990002,45.709999,46.660000,35.410683,8071494
2018-07-26,46.990002,47.220001,46.700001,46.700001,35.441040,3624382
2018-07-27,46.790001,47.049999,46.369999,47.000000,35.668720,3772681
2018-07-30,46.700001,46.900002,46.200001,46.590000,35.357563,3769208
2018-07-31,46.590000,46.790001,45.910000,46.500000,35.289257,5732620
2018-08-01,46.419998,46.439999,45.380001,45.759998,34.727669,6052077
2018-08-02,45.560001,45.570000,44.459999,45.130001,34.249554,7214024
2018-08-03,45.389999,46.500000,45.310001,46.060001,34.955341,5347535
2018-08-06,46.849998,47.500000,45.939999,45.980000,34.894627,4367578
2018-08-07,46.470001,47.369999,46.380001,47.310001,35.903980,5094323
2018-08-08,47.330002,47.500000,46.919998,47.139999,35.774960,3831026
2018-08-09,48.000000,48.770000,48.000000,48.680000,36.943680,6677165
2018-08-10,48.290001,48.290001,46.720001,46.939999,35.623180,6183739
2018-08-13,46.799999,47.119999,46.369999,46.880001,35.577648,3125720
2018-08-14,46.900002,47.880001,46.630001,46.880001,35.577648,5562541
2018-08-15,46.889999,46.900002,45.150002,45.290001,34.370979,5626218
2018-08-16,45.939999,46.279999,45.290001,45.869999,34.811146,3854127
2018-08-17,45.880001,45.880001,44.209999,44.680000,33.908047,6814008
2018-08-20,45.090000,46.029999,45.049999,45.799999,34.758022,4533237
2018-08-21,45.860001,46.139999,45.509998,45.900002,34.833920,3232430
2018-08-22,45.900002,46.650002,45.580002,46.459999,35.258904,5538059
2018-08-23,46.360001,46.700001,46.119999,46.419998,35.228546,3558026
2018-08-24,46.439999,46.919998,46.119999,46.810001,35.524525,3380225
2018-08-27,47.000000,47.230000,46.669998,47.160000,35.790134,3176821
2018-08-28,47.400002,48.099998,47.349998,47.740002,36.230305,5055447
2018-08-29,47.750000,47.919998,47.230000,47.560001,36.093704,3168170
2018-08-30,47.560001,47.650002,46.500000,46.720001,35.456223,4531744
2018-08-31,46.500000,46.660000,46.110001,46.310001,35.145065,7165729
2018-09-03,46.250000,46.529999,45.599998,46.020000,34.924984,3720373
2018-09-04,46.000000,46.060001,45.330002,45.740002,34.712490,4036318
2018-09-05,45.500000,46.549999,45.110001,45.790001,34.750439,5584423
2018-09-06,47.700001,48.230000,47.000000,47.110001,35.752197,13052469
2018-09-07,47.000000,47.360001,45.660000,46.169998,35.038818,10549798
2018-09-10,46.750000,47.709999,46.029999,47.349998,35.934334,9983177
2018-09-11,47.430000,47.779999,46.000000,46.980000,35.653538,9712286
2018-09-12,47.099998,47.099998,45.250000,45.580002,34.591064,8656068
2018-09-13,45.750000,46.090000,44.889999,44.889999,34.067413,8594857
2018-09-14,45.230000,46.130001,45.200001,45.380001,34.439281,6461103
2018-09-17,45.299999,45.380001,44.750000,45.270000,34.355804,4496190
2018-09-18,46.040001,46.779999,45.860001,46.090000,34.978104,10480602
2018-09-19,46.400002,47.259998,46.259998,47.099998,35.744602,7693487
2018-09-20,47.240002,48.450001,47.119999,48.200001,36.579403,10093339
2018-09-21,48.660000,48.930000,48.240002,48.599998,36.882969,8286779
2018-09-24,48.240002,48.880001,47.889999,48.599998,36.882969,6377854
2018-09-25,49.270000,50.060001,48.750000,49.610001,37.649467,9906262
2018-09-26,50.000000,50.119999,49.029999,49.090000,37.254837,4311466
2018-09-27,49.040001,49.150002,48.369999,48.549999,36.845020,4065385
2018-09-28,48.529999,49.209999,48.410000,48.860001,37.080284,5837855
2018-10-01,49.040001,49.209999,48.520000,48.590000,36.875381,5738067
2018-10-02,48.529999,49.610001,48.410000,49.209999,37.345901,5244309
2018-10-03,49.500000,49.599998,42.209999,43.380001,32.921463,29656434
2018-10-04,40.720001,43.099998,40.549999,42.090000,31.942469,18298210
2018-10-05,42.779999,44.340000,42.520000,43.830002,33.262974,16495566
2018-10-08,46.770000,46.770000,45.320000,45.540001,34.560707,15931492
2018-10-09,46.480000,46.650002,44.410000,44.700001,33.923225,11028252
2018-10-10,44.959999,45.009998,43.509998,43.560001,33.058071,7295706
2018-10-11,42.220001,42.990002,41.400002,42.660000,32.375053,10538561
2018-10-12,43.000000,43.380001,42.200001,42.849998,32.519245,6974195
2018-10-15,42.900002,42.939999,42.020000,42.689999,32.397816,5391650
2018-10-16,42.549999,42.680000,41.779999,42.639999,32.359867,7483812
2018-10-17,42.680000,43.799999,41.759998,43.060001,32.678616,7373785
2018-10-18,43.000000,43.299999,41.840000,41.860001,31.767925,7746521
