date,lme_price,lme_price_3features,lme_volume,bloomberg_metals_price,bloomberg_metals_change,ftse_index,ftse_index_change,sp_metals_price,sp_metals_change,mosexchange_price,mosexchange_change,baltic_dry_index,baltic_dry_index_change,usd_clp_price,usd_clp_change,usd_cny_price,usd_cny_change,usd_jpy_price,usd_jpy_change,usd_eur_price,usd_eur_change,usd_rub_price,usd_rub_change,dxy_price,dxy_change,chalco_price,chalco_volume,hongqiao_price,hongqiao_volume,norsk_hydro_price,norsk_hydro_volume,rusal_price,rusal_volume,alcoa_price,alcoa_volume,kaiser_price,kaiser_volume,australia_fed_rate_value,brazil_pmi_value,brazil_inflation_value,brazil_fed_rate_value,china_gdp_value,china_pmi_value,china_inflation_value,china_fed_rate_value,china_composite_pmi_value,peru_gdp_value,peru_fed_rate_value,peru_producer_price_index,peru_consumer_price_index,usa_gdp_value,usa_fed_rate_value,usa_inflation_value,usa_pmi_value,import_brazil_value,export_brazil_value,import_usa_value,export_usa_value,import_china_value,export_china_value,import_australia_value,export_australia_value
2017-11-01,2188.0,2197.0,1186450.0,134.67,1.52,11876.23,-0.05,1588.5,0.84,,,1496.0,-1.71,,,,,,,,,,,,,6.08,52368844.0,10.1,38868750.0,64.099998,5346548.0,5.09,16428309.0,47.700001,3174600.0,98.139999,116600.0,,,,,,,,4.3,,,,,,,1.25,,,,,,,,,,
2017-11-02,2152.0,2167.0,1184200.0,134.08,-0.44,11892.46,0.14,1590.1,0.1,,,1482.0,-0.94,,,,,,,,,,,,,6.16,46011457.0,12.46,63885676.0,64.150002,5109214.0,5.18,14916853.0,47.459999,2059000.0,98.160004,121500.0,,,,,,,,4.3,,,,,,,,,,,,,,,,,
2017-11-03,2165.0,2183.5,1181300.0,133.69,-0.29,11814.76,-0.65,1577.3,-0.81,,,1476.0,-0.4,,,,,,,,,,,,,6.02,36063779.0,12.5,28651861.0,64.0,4254783.0,5.42,59797900.0,47.119999,1839000.0,97.940002,204700.0,,,,,,,,4.3,,,,,,,,,,,,,,,,,
2017-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-06,2152.0,2172.5,1179075.0,134.55,0.64,11874.72,0.51,1592.3,0.95,,,1473.0,-0.2,,,,,,,,,,,,,6.0,58073517.0,12.58,25298644.0,64.150002,4453843.0,5.45,30797023.0,47.290001,1726600.0,97.730003,89700.0,,,,,,,,4.3,,,,,,,,,,,,,,,,,
2017-11-07,2131.0,2150.5,1177050.0,131.8,-2.04,11995.46,1.02,1581.1,-0.7,,,1477.0,0.27,,,,,,,,,,,,,6.12,46136135.0,12.66,14021280.0,63.849998,4083485.0,5.37,11563000.0,46.970001,2168900.0,97.0,124100.0,1.5,,,,,,,4.3,,,,,,,,,,,,,,,,,
2017-11-08,2103.5,2120.0,1177300.0,131.84,0.03,11961.5,-0.28,1573.5,-0.48,,,1486.0,0.61,,,,,,,,,,,,,5.98,26650127.0,12.16,27255000.0,63.5,5266481.0,5.43,27532000.0,45.889999,3348200.0,95.970001,121200.0,,,,,,,,4.3,,,,,,,,,,,,,,,,,
2017-11-09,2078.0,2092.0,1171975.0,130.6,-0.94,12055.21,0.78,1545.8,-1.76,,,1481.0,-0.34,,,,,,,,,,,,,5.78,64307899.0,11.4,20906718.0,60.900002,11391736.0,5.4,32487792.0,43.330002,7673600.0,94.389999,118100.0,,,,,,,,4.3,,,,,,,,,,,,,,,,,
2017-11-10,2090.0,2104.0,1168375.0,130.54,-0.05,12133.72,0.65,1531.3,-0.94,,,1464.0,-1.15,,,,,,,,,,,,,5.81,33273131.0,10.76,12895718.0,61.0,5164015.0,5.46,34053000.0,43.009998,4465300.0,93.940002,105500.0,,,,,,,,4.3,,,,,,,,,,,,,,,,,
2017-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13,2100.0,2114.0,1165325.0,131.92,1.06,12180.33,0.38,1538.1,0.45,,,1445.0,-1.3,,,,,,,,,,,,,5.6,39665051.0,10.32,15953110.0,60.599998,5164136.0,5.39,31372915.0,43.130001,3162700.0,94.519997,109300.0,,,,,,,,4.3,,,3.25,,,,,,,,,,,,,,
2017-11-14,2085.0,2105.5,1161275.0,129.09,-2.15,12103.37,-0.63,1507.1,-2.02,,,1405.0,-2.77,,,,,,,,,,,,,5.75,29898329.0,9.8,22359734.0,59.650002,5671355.0,5.5,31833488.0,41.869999,8096800.0,93.550003,98300.0,,,,,,,,4.3,,,,,,,,,,,,,,,,,
2017-11-15,2082.0,2096.5,1165825.0,129.17,0.06,12024.45,-0.65,1513.4,0.42,,,1374.0,-2.21,,,,,,,,,,,,,5.7,40090351.0,9.88,10249000.0,59.200001,5222883.0,5.52,30441000.0,42.209999,4734000.0,91.18,286700.0,,,,,,,,4.3,,,,,,,,,,,,,,,,,
2017-11-16,2106.0,2123.5,1161475.0,128.43,-0.57,12110.75,0.72,1520.5,0.47,,,1361.0,-0.95,,,,,,,,,,,,,5.42,50756000.0,9.78,7311884.0,60.0,5998675.0,5.5,38393701.0,42.299999,3351200.0,92.940002,355400.0,,,,,,,,4.3,,,,,,,,,,,,,,,,,
2017-11-17,2077.0,2095.5,1157800.0,129.4,0.76,12097.31,-0.11,1536.3,1.04,,,1371.0,0.73,,,,,,,,,,,,,5.35,47140849.0,9.64,8882000.0,59.700001,4904166.0,5.51,35800148.0,43.400002,3569000.0,95.120003,123100.0,,,,,,,,4.3,,,,,,,,,,,,,,,,,
2017-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-20,2067.5,2082.0,1150875.0,129.56,0.12,12173.98,0.63,1538.5,0.14,,,1385.0,1.02,,,,,,,,,,,,,5.07,85156000.0,9.5,11057816.0,59.049999,5098635.0,5.43,29674000.0,42.209999,4846200.0,96.669998,197900.0,,,,,,,,4.3,,,,,,,,,,,,,,,,,
2017-11-21,2062.0,2080.0,1141700.0,130.63,0.83,12356.23,1.5,1554.1,1.02,,,1396.0,0.79,,,,,,,,,,,,,5.25,76663957.0,9.59,8788711.0,59.700001,5373208.0,5.3,21875556.0,41.389999,6260000.0,97.540001,212300.0,,,,,,,,4.3,,,,,,,,,,,,,,,,,
