date,lme_price,lme_price_3features,lme_volume,bloomberg_metals_price,bloomberg_metals_change,ftse_index,ftse_index_change,sp_metals_price,sp_metals_change,mosexchange_price,mosexchange_change,baltic_dry_index,baltic_dry_index_change,usd_clp_price,usd_clp_change,usd_cny_price,usd_cny_change,usd_jpy_price,usd_jpy_change,usd_eur_price,usd_eur_change,usd_rub_price,usd_rub_change,dxy_price,dxy_change,chalco_price,chalco_volume,hongqiao_price,hongqiao_volume,norsk_hydro_price,norsk_hydro_volume,rusal_price,rusal_volume,alcoa_price,alcoa_volume,kaiser_price,kaiser_volume,australia_fed_rate_value,brazil_pmi_value,brazil_inflation_value,brazil_fed_rate_value,china_gdp_value,china_pmi_value,china_inflation_value,china_fed_rate_value,china_composite_pmi_value,peru_gdp_value,peru_fed_rate_value,peru_producer_price_index,peru_consumer_price_index,usa_gdp_value,usa_fed_rate_value,usa_inflation_value,usa_pmi_value,import_brazil_value,export_brazil_value,import_usa_value,export_usa_value,import_china_value,export_china_value,import_australia_value,export_australia_value
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,103.49,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,,,,,,,,,,,,,,847.8,0.0,6.8986,0.02,130.73,-0.29,0.9376,0.37,,,,,,,,,73.279999,1244820.0,,,,,,,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-03,2337.5,2369.0,447250.0,165.46,0.07,10977.25,1.52,2515.5,-1.41,5935.15,0.78,1250.0,-17.49,862.4,1.72,6.9135,0.22,131.0,0.21,0.9475,1.06,71.1375,1.77,104.52,0.99,3.37,23736078.0,7.52,7773484.0,71.739998,3010547.0,3.94,635000.0,44.580002,2880000.0,75.669998,92500.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-04,2250.0,2287.0,442425.0,162.29,-1.92,10963.72,-0.12,2578.6,2.51,5939.75,0.08,1176.0,-5.92,854.96,-0.86,6.8875,-0.38,132.62,1.24,0.9431,-0.46,72.0,1.21,104.25,-0.26,3.36,30677455.0,7.42,26912828.0,68.059998,7057774.0,4.05,1117000.0,45.130001,3523400.0,78.150002,90300.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-05,2270.0,2304.0,436500.0,160.34,-1.2,11194.05,2.1,2592.2,0.53,5891.6,-0.81,1146.0,-2.55,851.4,-0.42,6.88,-0.11,133.4,0.59,0.9502,0.75,72.18,0.25,105.04,0.76,3.41,26394586.0,7.58,11176252.0,70.900002,4574883.0,3.88,825000.0,45.490002,3835700.0,79.230003,90900.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-06,2242.5,2275.0,428525.0,162.89,1.59,11263.63,0.62,2707.8,4.46,5881.6,-0.17,1130.0,-1.4,840.93,-1.23,6.837,-0.63,132.07,-1.0,0.9392,-1.16,72.1225,-0.08,103.88,-1.11,3.43,20952986.0,7.54,20654390.0,72.300003,2548594.0,3.88,221000.0,46.360001,4645200.0,82.309998,76500.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-09,2336.5,2370.0,422075.0,167.59,2.89,11484.3,1.96,2703.3,-0.17,5884.51,0.05,1139.0,0.8,834.84,-0.72,6.77,-0.98,131.88,-0.14,0.9318,-0.79,69.99,-2.96,103.0,-0.85,3.7,63875435.0,7.98,27584602.0,75.5,5514881.0,4.0,667562.0,50.27,6175600.0,84.779999,119800.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-10,2397.0,2432.0,418875.0,168.24,0.38,11508.81,0.21,2769.7,2.46,5864.29,-0.34,1096.0,-3.78,825.9,-1.07,6.777,0.1,132.25,0.28,0.9313,-0.05,69.8,-0.27,103.24,0.23,3.76,60742550.0,8.16,34898850.0,75.059998,3947247.0,3.99,353000.0,52.98,5734300.0,87.150002,86200.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-11,2451.0,2487.0,413700.0,170.16,1.15,11477.19,-0.27,2785.6,0.57,5906.76,0.72,1043.0,-4.84,823.1,-0.34,6.77,-0.1,132.47,0.17,0.9295,-0.19,68.7325,-1.53,103.19,-0.05,3.84,48777237.0,8.13,30074798.0,75.360001,3904377.0,3.91,218000.0,51.950001,5176000.0,87.18,60600.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-12,2447.0,2476.0,408875.0,171.55,0.82,11516.38,0.34,2840.7,1.98,5934.79,0.47,976.0,-6.42,817.32,-0.7,6.7365,-0.49,129.22,-2.45,0.9215,-0.86,67.7575,-1.42,102.25,-0.91,3.85,26625976.0,8.28,28731139.0,75.480003,5308212.0,3.94,178000.0,53.32,5733300.0,88.370003,61100.0,,,,,,,,3.65,,,7.75,,,,,,,,,,,,,,
2023-01-13,2511.0,2546.0,403250.0,173.45,1.11,11712.81,1.71,2878.5,1.33,5996.77,1.04,946.0,-3.07,815.93,-0.17,6.701,-0.53,127.88,-1.04,0.9232,0.18,68.7875,1.52,102.2,-0.04,3.93,29380880.0,8.42,14382253.0,76.540001,2525342.0,3.94,115476.0,54.610001,4697000.0,88.379997,52300.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-16,2603.0,2624.0,399650.0,,,11906.11,1.65,,,6114.57,1.96,946.0,0.0,821.1,0.63,6.7322,0.47,128.54,0.52,0.9242,0.11,68.43,-0.52,102.27,0.06,3.89,19952987.0,8.44,30942004.0,77.879997,2539364.0,3.93,175000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-17,2562.5,2587.0,395150.0,173.46,0.0,11788.8,-0.99,2851.6,-0.93,6062.22,-0.86,921.0,-2.64,814.36,-0.82,6.7723,0.6,128.13,-0.32,0.9269,0.29,69.15,1.05,102.39,0.12,3.89,23346032.0,8.65,33418272.0,80.019997,5716008.0,3.81,475000.0,54.860001,5288200.0,88.620003,53500.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-18,2636.0,2662.0,390400.0,176.01,1.47,11771.08,-0.15,2801.3,-1.76,6078.71,0.27,874.0,-5.1,823.21,1.09,6.745,-0.4,128.88,0.59,0.9263,-0.06,68.7475,-0.58,102.36,-0.03,3.93,30368629.0,8.71,27714184.0,83.099998,6183684.0,4.02,968000.0,53.450001,9115400.0,87.949997,99400.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-19,2541.0,2571.0,385850.0,176.88,0.49,11820.8,0.42,2796.6,-0.17,5995.87,-1.36,801.0,-8.35,822.44,-0.09,6.7738,0.43,128.42,-0.36,0.9233,-0.32,68.8,0.08,102.06,-0.3,4.01,24297151.0,8.66,5779193.0,79.879997,6535584.0,4.03,434000.0,49.52,12142700.0,85.620003,107800.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-20,2585.5,2614.0,381175.0,176.38,-0.28,11891.53,0.6,2864.6,2.43,5994.04,-0.03,763.0,-4.74,814.25,-1.0,6.7825,0.13,129.57,0.9,0.921,-0.25,68.83,0.04,102.01,-0.05,4.08,31439559.0,8.95,13377805.0,80.260002,3699695.0,4.1,659000.0,51.0,6098000.0,85.260002,147100.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-23,2593.0,2619.5,375950.0,176.07,-0.18,,,2874.2,0.33,6033.55,0.66,740.0,-3.01,813.03,-0.15,6.7845,0.03,130.66,0.84,0.9198,-0.13,68.925,0.14,102.14,0.12,,,,,81.779999,2142107.0,,,51.75,4311400.0,85.800003,74500.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-24,2594.5,2627.0,381550.0,177.28,0.69,,,2877.5,0.11,6023.5,-0.17,721.0,-2.57,801.2,-1.46,6.7845,0.0,130.15,-0.39,0.9189,-0.1,69.0,0.11,101.92,-0.22,,,,,80.199997,3280992.0,,,52.869999,5561500.0,85.169998,95100.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-25,2606.0,2638.5,381550.0,178.09,0.46,,,2914.3,1.28,6065.53,0.7,703.0,-2.5,803.15,0.24,6.7839,-0.01,129.59,-0.43,0.9158,-0.34,69.305,0.44,101.64,-0.27,,,,,81.220001,3364054.0,,,52.189999,4584100.0,88.080002,70600.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-26,2598.0,2642.0,419425.0,178.81,0.4,,,2935.8,0.74,6141.65,1.25,677.0,-3.7,802.03,-0.14,6.7845,0.01,130.21,0.48,0.918,0.24,69.265,-0.06,101.84,0.19,4.21,74629451.0,9.12,10870867.0,80.059998,4042895.0,4.1,1386432.0,52.110001,3967400.0,89.18,45600.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-27,2597.0,2638.0,415525.0,176.61,-1.23,,,2925.2,-0.36,6210.7,1.12,676.0,-0.15,805.73,0.46,6.7834,-0.02,129.85,-0.28,0.9199,0.21,69.46,0.28,101.93,0.09,4.27,21619277.0,9.14,4492310.0,81.139999,3447213.0,4.1,339000.0,52.75,4772500.0,87.089996,51300.0,,,,,,,,3.65,,,,,,,,,,,,,,,,,
2023-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
