Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,5.050000,5.100000,5.000000,5.090000,5.060059,16428309
2017-11-02,5.120000,5.210000,5.120000,5.180000,5.149529,14916853
2017-11-03,5.240000,5.430000,5.240000,5.420000,5.388118,59797900
2017-11-06,5.480000,5.480000,5.250000,5.450000,5.417941,30797023
2017-11-07,5.380000,5.450000,5.310000,5.370000,5.338411,11563000
2017-11-08,5.360000,5.480000,5.330000,5.430000,5.398058,27532000
2017-11-09,5.420000,5.420000,5.380000,5.400000,5.368235,32487792
2017-11-10,5.410000,5.480000,5.390000,5.460000,5.427882,34053000
2017-11-13,5.460000,5.460000,5.370000,5.390000,5.358294,31372915
2017-11-14,5.370000,5.600000,5.370000,5.500000,5.467647,31833488
2017-11-15,5.500000,5.530000,5.400000,5.520000,5.487529,30441000
2017-11-16,5.520000,5.550000,5.470000,5.500000,5.467647,38393701
2017-11-17,5.510000,5.580000,5.450000,5.510000,5.477588,35800148
2017-11-20,5.490000,5.620000,5.410000,5.430000,5.398058,29674000
2017-11-21,5.270000,5.330000,5.170000,5.300000,5.268824,21875556
2017-11-22,5.230000,5.240000,5.110000,5.180000,5.149529,26730000
2017-11-23,5.240000,5.340000,5.240000,5.320000,5.288706,6057150
2017-11-24,5.310000,5.320000,5.160000,5.180000,5.149529,4535000
2017-11-27,5.110000,5.150000,4.830000,4.910000,4.881117,15927918
2017-11-28,4.920000,4.960000,4.830000,4.860000,4.831412,13758409
2017-11-29,4.880000,4.900000,4.840000,4.880000,4.851294,12475000
2017-11-30,4.820000,4.830000,4.680000,4.730000,4.702177,18956184
2017-12-01,4.770000,4.790000,4.690000,4.750000,4.722059,12667491
2017-12-04,4.740000,4.780000,4.670000,4.710000,4.682294,3043644
2017-12-05,4.730000,4.830000,4.670000,4.820000,4.791647,14712782
2017-12-06,4.810000,4.860000,4.720000,4.830000,4.801588,27505000
2017-12-07,4.810000,4.850000,4.680000,4.810000,4.781706,30822289
2017-12-08,4.810000,4.930000,4.810000,4.900000,4.871176,5710817
2017-12-11,4.850000,4.900000,4.840000,4.880000,4.851294,2517372
2017-12-12,4.900000,5.040000,4.880000,4.890000,4.861235,5474000
2017-12-13,4.920000,4.940000,4.820000,4.920000,4.891059,5897982
2017-12-14,5.000000,5.150000,4.980000,5.110000,5.079941,9933153
2017-12-15,5.090000,5.140000,5.010000,5.030000,5.000412,11343391
2017-12-18,5.120000,5.370000,5.120000,5.300000,5.268824,11917184
2017-12-19,5.300000,5.370000,5.170000,5.200000,5.169412,10419983
2017-12-20,5.220000,5.320000,5.070000,5.220000,5.189294,9588148
2017-12-21,5.250000,5.250000,5.140000,5.150000,5.119706,3530909
2017-12-22,5.160000,5.350000,5.150000,5.280000,5.248941,6305700
2017-12-27,5.370000,5.370000,5.270000,5.330000,5.298647,3388400
2017-12-28,5.450000,5.500000,5.410000,5.480000,5.447764,7368000
2017-12-29,5.500000,5.680000,5.420000,5.480000,5.447764,10167000
2018-01-02,5.440000,5.730000,5.440000,5.690000,5.656529,5150555
2018-01-03,5.750000,6.050000,5.730000,5.900000,5.865294,10051786
2018-01-04,5.790000,5.950000,5.790000,5.840000,5.805647,7460633
2018-01-05,5.840000,5.950000,5.840000,5.920000,5.885176,4125570
2018-01-08,5.920000,5.940000,5.790000,5.900000,5.865294,5807056
2018-01-09,5.880000,5.930000,5.670000,5.750000,5.716177,6778419
2018-01-10,5.690000,5.730000,5.580000,5.700000,5.666470,4170241
2018-01-11,5.690000,5.800000,5.610000,5.710000,5.676412,4260678
2018-01-12,5.720000,5.750000,5.690000,5.710000,5.676412,1981036
2018-01-15,5.750000,5.780000,5.650000,5.730000,5.696294,8392956
2018-01-16,5.660000,5.770000,5.600000,5.690000,5.656529,3767928
2018-01-17,5.600000,5.820000,5.600000,5.760000,5.726118,11371678
2018-01-18,5.750000,5.800000,5.650000,5.700000,5.666470,6718000
2018-01-19,5.680000,5.870000,5.640000,5.840000,5.805647,12162000
2018-01-22,5.920000,6.000000,5.840000,5.840000,5.805647,4206600
2018-01-23,5.850000,5.950000,5.800000,5.840000,5.805647,18699227
2018-01-24,5.870000,5.870000,5.690000,5.700000,5.666470,8564965
2018-01-25,5.750000,5.890000,5.750000,5.820000,5.785765,10606300
2018-01-26,5.810000,5.910000,5.810000,5.840000,5.805647,15307213
2018-01-29,5.890000,6.000000,5.840000,5.870000,5.835470,15156678
2018-01-30,5.910000,5.910000,5.690000,5.700000,5.666470,5536178
2018-01-31,5.600000,5.750000,5.450000,5.680000,5.646588,16563839
2018-02-01,5.840000,6.090000,5.840000,5.880000,5.845412,18219438
2018-02-02,5.860000,6.000000,5.850000,5.940000,5.905059,23740886
2018-02-05,5.750000,6.020000,5.700000,5.910000,5.875235,7268354
